source_path	destination_path	type	mode	mtime_ns	size	sha256	symlink_target	action	classification	reason	encoded
.prompt-extra.md	.prompt-extra.md	file	0664	1779191601218996526	6890	d83215167e06730850a56f6828e834a3ad9cb81fca2a85fa139663ba7197fbf1		copy	run-evidence		
analysis-report.md	analysis-report.md	file	0664	1779192798831856540	22413	da98d8e24c9e0ffaa2c5403b050286684e5959b7d164e5174c030b79fc3c0872		copy	run-evidence		
artifact	.record/source-snapshots/artifact.tar	directory	0775	1779191765259011447	0	1e1ec507eb8a996824aed7f2ae3a233f43062a8805c035c280b6d8cf18f507c7		snapshot	source-snapshot	non-git-source-snapshot	"{""codec"": ""zstd"", ""codec_version"": ""1.5.5"", ""content_entries"": 1, ""content_id"": ""sha256:1e1ec507eb8a996824aed7f2ae3a233f43062a8805c035c280b6d8cf18f507c7"", ""content_manifest"": "".record/source-snapshots/artifact.tar.files.tsv"", ""content_manifest_bytes"": 108, ""content_manifest_sha256"": ""95dfcd1cfd3b3ad99686400bcfd3461a81cc14f0ef21e0f164428d4a1f1feddd"", ""encoded_bytes"": 23, ""encoded_sha256"": ""ef077a15315f941a8fc5700796762259eb286177402b33c31d5bddc62df4a397"", ""parts"": [{""bytes"": 23, ""path"": ""artifact.tar.zst"", ""sha256"": ""ef077a15315f941a8fc5700796762259eb286177402b33c31d5bddc62df4a397""}], ""tar_bytes"": 10240, ""tar_sha256"": ""84ff92691f909a05b224e1c56abb4864f01b4f8e3c854e4bb4c7baf1d3f6d652""}"
artifact/AlephBFT	.record/source-snapshots/artifact-AlephBFT-214c943c1a90.tar	directory	0775	1781427143077039251	763242	967d9ca430bf5cecfed5bbce9d72c0c66c3f25a4e97d6121ecef160c869ad851		snapshot	source-snapshot	non-git-source-snapshot	"{""codec"": ""zstd"", ""codec_version"": ""1.5.5"", ""content_entries"": 167, ""content_id"": ""sha256:967d9ca430bf5cecfed5bbce9d72c0c66c3f25a4e97d6121ecef160c869ad851"", ""content_manifest"": "".record/source-snapshots/artifact-AlephBFT-214c943c1a90.tar.files.tsv"", ""content_manifest_bytes"": 19083, ""content_manifest_sha256"": ""15aec456f3b772ce2a15621ea25a92cead6115992e3ab5395d138e5f5c068254"", ""encoded_bytes"": 170969, ""encoded_sha256"": ""fcb549a23741d4e92bfc1e387bee79e8be1b5878dd24afa211ce08cd08d80f7d"", ""parts"": [{""bytes"": 170969, ""path"": ""artifact-AlephBFT-214c943c1a90.tar.zst"", ""sha256"": ""fcb549a23741d4e92bfc1e387bee79e8be1b5878dd24afa211ce08cd08d80f7d""}], ""tar_bytes"": 1064960, ""tar_sha256"": ""b983cd5072dbd8a4af9429c96f4b8e6f11f2a07f9d0773ab20395ab2588ec49f""}"
harness	harness	directory	0775	1779196801964654861				mkdir	run-directory		
harness/INSTRUMENTATION.md	harness/INSTRUMENTATION.md	file	0664	1779196801962654825	11384	386b7b60df16fdd117e37a239fb2b21a4c5a449bec8dc9bdc48e21d3403da601		copy	run-evidence		
harness/apply.sh	harness/apply.sh	file	0775	1779196677750382990	1227	fddc14b186adbc52fc7787c60c4006ac3267c0e61b62e4676181c5ede49658c2		copy	run-evidence		
harness/patches	harness/patches	directory	0775	1779196652360915739				mkdir	run-directory		
harness/patches/instrumentation.patch	harness/patches/instrumentation.patch	file	0664	1779196652364915813	18730	386417d24fb669dbc0ea850657953c2db958d8714678880bd7a9846dfbb33bf1		copy	run-evidence		
harness/run.sh	harness/run.sh	file	0775	1779196692302650559	1877	bdc735af099c66eb7d8e302ea94e1d3855d1ed4518e34b6ea705efd545185ba5		copy	run-evidence		
harness/src	harness/src	directory	0775	1779195131768663149				mkdir	run-directory		
harness/src/tla_trace.rs	harness/src/tla_trace.rs	file	0664	1779196666616178000	14628	e224e721cea4887c20af4731d4ed74400510c847f026db0832164581d4d8ae3b		copy	run-evidence		
harness/src/trace_scenario.rs	harness/src/trace_scenario.rs	file	0664	1779196666618178037	3238	2c3e2a3d1a56366eb2f7e16143e051a7095050f9c53b3a809fc1eb83810762f5		copy	run-evidence		
modeling-brief.md	modeling-brief.md	file	0664	1779193002871617363	32388	a8e375db1faa2fa06f6bc2a2dbbb277d1cc12d9fa5267ac03c0227567444b1e1		copy	run-evidence		
pipeline-summary.md	pipeline-summary.md	file	0664	1779214210608168621	770	7c255d955531ac73059a803af71097ab1b7a084e0624067f3c98173d637e055d		copy	run-evidence		
repro	repro	directory	0775	1779213922882087787				mkdir	run-directory		
repro/.bug1_output.log	repro/.bug1_output.log	file	0664	1779213557778295293	3214	da47df7697dcbb50e1af1986bee9bb640e00396b8198d036a8f65d28819bd2cd		copy	run-evidence		
repro/.bug2_output.log	repro/.bug2_output.log	file	0664	1779213595507472435	1828	1320405b8cb88141b03a8d63591913ce50d2e54e4b8744ac8c0c812af6cb4564		copy	run-evidence		
repro/.bug3_output.log	repro/.bug3_output.log	file	0664	1779213619794787994	1135	68091386a09a7f7e22fd1e12e4ef25c8f6f1175f992b62bba793408053ea1163		copy	run-evidence		
repro/.bug4_output.log	repro/.bug4_output.log	file	0664	1779213646813362300	1423	11518d7f6b9ac1a3353d5e9804fa2d516324b92d7fc8d094d10f9248d742caaa		copy	run-evidence		
repro/.bug5_output.log	repro/.bug5_output.log	file	0664	1779213774818019387	1344	0053efdd3bfda918939383bd3e50529c3b697ad82ee6f0e28494660550fb8553		copy	run-evidence		
repro/.bug6_output.log	repro/.bug6_output.log	file	0664	1779213888600312889	2419	d30cd90e1986691e93f0525af4372b784bc9c345860581aba87c94b8a9af0eeb		copy	run-evidence		
repro/.bug7_output.log	repro/.bug7_output.log	file	0664	1779213807129084505	1129	cdff4bcb13963dc33836814394ee7e76d09a9027323e2678c16f131f35e34c58		copy	run-evidence		
repro/.bug8_output.log	repro/.bug8_output.log	file	0664	1779213840981080992	1818	33f72c26affd937926ba77edf93159bc091dca96b2a41e6ec7d7025e6c35f08e		copy	run-evidence		
repro/.bug9_output.log	repro/.bug9_output.log	file	0664	1779213862706664063	1355	622cc0e18fb60d712e947bd531f6abbb6c6152fd732f765492b13054972f048b		copy	run-evidence		
repro/.bugfamily5_output.log	repro/.bugfamily5_output.log	file	0664	1779213959981823982	2073	0f4bdfc30746806796966c6fcc4ebb423d316459c74eb66ddd6d6f79acd9f8aa		copy	run-evidence		
repro/repro_lib.rs	repro/repro_lib.rs	file	0664	1779213748096041712	10628	eec7b4becd822da5d98380379afbb30bf049f0abe16bd3401fb654b616bafa6e		copy	run-evidence		
repro/test_bug1_alerter_accept_verify.sh	repro/test_bug1_alerter_accept_verify.sh	file	0775	1779213527472154677	2271	02946d6defaed94f38290d242c5cd002b49d9bf2e2ff183a7bc590d2e01554f4		copy	run-evidence		
repro/test_bug2_local_fork_divergence.sh	repro/test_bug2_local_fork_divergence.sh	file	0775	1779213574626374435	1788	729503228a10bbdc36dcb7850d883d09a5f4de6cc457754b8e9370ba8432eb9a		copy	run-evidence		
repro/test_bug3_restart_equivocation.sh	repro/test_bug3_restart_equivocation.sh	file	0775	1779213611060545745	1994	6b68812d72c62648b342903fc935c392eba0b507f732419994e7b87be6275677		copy	run-evidence		
repro/test_bug4_election_async.sh	repro/test_bug4_election_async.sh	file	0775	1779213634573679975	2025	bbb63d4e61247f2f3d16f9d3b22a731a4a0cc60e6c2e6638c3601ec153def7b3		copy	run-evidence		
repro/test_bug5_reconstruction_bad_hash.sh	repro/test_bug5_reconstruction_bad_hash.sh	file	0775	1779213760516504060	1816	19c025ea95a296adad8243e003f312c0e1517955857625061b582465dbc1b56f		copy	run-evidence		
repro/test_bug6_collection_liveness_gap.sh	repro/test_bug6_collection_liveness_gap.sh	file	0775	1779213882660177465	2438	b1da4b906b44ada6686e59cd44ac5b7d53804d651a18aec3e2145287f0459e38		copy	run-evidence		
repro/test_bug7_generate_salt_entropy.sh	repro/test_bug7_generate_salt_entropy.sh	file	0775	1779213788727493243	1862	d6ac85921410868380f0a0620a1c2de46bc29d093b5467425730cbc74c6896df		copy	run-evidence		
repro/test_bug8_extender_no_retraction.sh	repro/test_bug8_extender_no_retraction.sh	file	0775	1779213825741640577	2589	03cba6bb864a103a6cd46d98ccc7a3ad62e668b4615eba635cbbb5dfa64b5a8a		copy	run-evidence		
repro/test_bug9_async_write_not_durable.sh	repro/test_bug9_async_write_not_durable.sh	file	0775	1779213857330514820	2203	c892c58d317f3a7e5511493d6006d170785389ae5bfbf77e13d76c20543a21c3		copy	run-evidence		
repro/test_bug_family5_async_lifecycle.sh	repro/test_bug_family5_async_lifecycle.sh	file	0775	1779213922866087405	2099	d78b24d03324b7bb8c84088c2ff7af69ac52899e353fa1d6fb9c0d42b21ed122		copy	run-evidence		
spec	spec	directory	0775	1779191765255011373				mkdir	run-directory		
