source_path	destination_path	type	mode	mtime_ns	size	sha256	symlink_target	action	classification	reason	encoded
.prompt-extra.md	.prompt-extra.md	file	0664	1779191560384252626	6756	187e43c99e98ad3a80b1f06e53599b1ce4cd30cd5d8b12441e04b02fac6e56ec		copy	run-evidence		
analysis-report.md	analysis-report.md	file	0664	1779192713580291686	30811	2ccf7c31c48bb6367487a5494ca5d4cb49cbd565b7128c94088020d0d6289528		copy	run-evidence		
artifact	.record/source-snapshots/artifact.tar	directory	0775	1779191760050915712	0	1db08a93a71337cd81bf610606b58f7ef515138d0aa19ef2f18857c2196d35e8		snapshot	source-snapshot	non-git-source-snapshot	"{""codec"": ""zstd"", ""codec_version"": ""1.5.5"", ""content_entries"": 1, ""content_id"": ""sha256:1db08a93a71337cd81bf610606b58f7ef515138d0aa19ef2f18857c2196d35e8"", ""content_manifest"": "".record/source-snapshots/artifact.tar.files.tsv"", ""content_manifest_bytes"": 110, ""content_manifest_sha256"": ""e48dd0423f3346a03965fb80f1162b932980843a405e9214a07e898d8ecea5d0"", ""encoded_bytes"": 23, ""encoded_sha256"": ""ef077a15315f941a8fc5700796762259eb286177402b33c31d5bddc62df4a397"", ""parts"": [{""bytes"": 23, ""path"": ""artifact.tar.zst"", ""sha256"": ""ef077a15315f941a8fc5700796762259eb286177402b33c31d5bddc62df4a397""}], ""tar_bytes"": 10240, ""tar_sha256"": ""84ff92691f909a05b224e1c56abb4864f01b4f8e3c854e4bb4c7baf1d3f6d652""}"
artifact/aptos-core	.record/source-snapshots/artifact-aptos-core-28bd6d2e62c9.tar	directory	0775	1781427139636974221	119647615	1c4bf26181c92c77e56bc7847db3bf4d5a53539d802ea424adcd0fe3abca68cc		snapshot	source-snapshot	non-git-source-snapshot	"{""codec"": ""zstd"", ""codec_version"": ""1.5.5"", ""content_entries"": 20610, ""content_id"": ""sha256:1c4bf26181c92c77e56bc7847db3bf4d5a53539d802ea424adcd0fe3abca68cc"", ""content_manifest"": "".record/source-snapshots/artifact-aptos-core-28bd6d2e62c9.tar.files.tsv"", ""content_manifest_bytes"": 3452552, ""content_manifest_sha256"": ""3cdbe8834c7a62b6f73f646e888f774c08cee67c58eb9a943b6aad191b721a04"", ""encoded_bytes"": 22594901, ""encoded_sha256"": ""942c30c1cb1e1f975640ceaf06dda62853c00852ce380f50af0aa0711264c637"", ""parts"": [{""bytes"": 22594901, ""path"": ""artifact-aptos-core-28bd6d2e62c9.tar.zst"", ""sha256"": ""942c30c1cb1e1f975640ceaf06dda62853c00852ce380f50af0aa0711264c637""}], ""tar_bytes"": 156057600, ""tar_sha256"": ""fec00eace092ede56ac85d9bf9602ffccfe19c9ef3528a8acd9e3f7227596ee3""}"
harness	harness	directory	0775	1779197049777208590				mkdir	run-directory		
harness/INSTRUMENTATION.md	harness/INSTRUMENTATION.md	file	0664	1779197049774208535	11484	ddfff4dc2a8dd6bff7172e0c7aae52f535635076c3a7ef202f5da068aed46086		copy	run-evidence		
harness/apply.sh	harness/apply.sh	file	0775	1779195620002875350	1310	80301de2c3f7a0c57281e4b10c2c6fc18250aeaa752190c81f417410136280ac		copy	run-evidence		
harness/patches	harness/patches	directory	0775	1779195608516660885				mkdir	run-directory		
harness/patches/instrumentation.patch	harness/patches/instrumentation.patch	file	0664	1779196932397048964	40688	fe4ea391c179b90ceb29e4876edd7fa7e07be7a7da5d6c2b5a6279d099281eee		copy	run-evidence		
harness/run.sh	harness/run.sh	file	0775	1779195634676149105	2051	c6ef375b8957ffad036da50b69d120a0ca234a6af3dbfc71f6e99fcf785e2627		copy	run-evidence		
harness/src	harness/src	directory	0775	1779196424255700776				mkdir	run-directory		
harness/src/tla_trace.rs	harness/src/tla_trace.rs	file	0664	1779196424252700721	9317	cf2f980b55c253db99a8284b0eeedea45ae40bd9677e45a7861c6fffb32ce97c		copy	run-evidence		
harness/src/tla_trace_scenario_test.rs	harness/src/tla_trace_scenario_test.rs	file	0664	1779196866150832028	17187	524999aa6b41d70b2e4527488b9eb2f5517f71cb903cc2c712eea1a380c6ba40		copy	run-evidence		
modeling-brief.md	modeling-brief.md	file	0664	1779192539717110683	35743	818442e40d4e2721e15f4489bdfd0f007aaab15a297164ea93a2d748413db8f2		copy	run-evidence		
pipeline-summary.md	pipeline-summary.md	file	0664	1779227259230808311	778	99aa66847998d2080ba2d072b0b12e1c82fc964af1d1a1e724b3f9cc1e25394a		copy	run-evidence		
repro	repro	directory	0775	1779226795516962799				mkdir	run-directory		
repro/T3	repro/T3	directory	0775	1781427139654974561				mkdir	run-directory		
repro/T3/Cargo.lock	repro/T3/Cargo.lock	file	0664	1779226100803479302	14764	ae628b65d1bbb0132a10b8da1f70aa079fba8fcd81fa08cd1fd2902dc1020957		copy	run-evidence		
repro/T3/Cargo.toml	repro/T3/Cargo.toml	file	0664	1779226096540361406	226	43b77c31d386511b087cac672c9a34458ffb73737d6355c8a65569eb52b91743		copy	run-evidence		
repro/run_all.sh	repro/run_all.sh	file	0775	1779226795513962777	979	d8f3cadf6e5494e25f07cfb3cb2a516a99857dd98513e5de69b1a5748e59f85b		copy	run-evidence		
repro/test_bug_T3_oneshot_busy_spin.rs	repro/test_bug_T3_oneshot_busy_spin.rs	file	0664	1779226158053006672	6538	ebaaa62cb534377052a79d4e023a71efdc7d185efb17648c2dbe8d7274220010		copy	run-evidence		
repro/test_bug_multi_specula_repro_tests.rs	repro/test_bug_multi_specula_repro_tests.rs	file	0664	1779226785612893876	20897	b880ddde832f83ce6c78a79e8322c2713868d449a3c288af98f41551fc79c071		copy	run-evidence		
spec	spec	directory	0775	1779191760047915657				mkdir	run-directory		
