source_path	destination_path	type	mode	mtime_ns	size	sha256	symlink_target	action	classification	reason	encoded
.prompt-extra.md	.prompt-extra.md	file	0664	1777148443525382659	2564	3c834514888abb03a5457a7b4c7990cced4d6ca18f981d6bff95e090d69eb539		copy	run-evidence		
.specula-output	.specula-output	directory	0775	1777231993605426819				mkdir	run-directory		
.specula-output/.spec-gen-prompt.md	.specula-output/.spec-gen-prompt.md	file	0664	1777231993605426819	6417	40e45b91a2dfcc9840c82fdd7cfbb34b2a0af83ec3d459cbbbd3444394110f21		copy	run-evidence		
.specula-output/modeling-brief.md	.specula-output/modeling-brief.md	file	0664	1777148443525382659	9925	e037511b492c3736274f4f8fb100e2c2ecad53dc3f01061776fee3fa352edf6c		copy	run-evidence		
.specula-output/pipeline-summary.md	.specula-output/pipeline-summary.md	file	0664	1777150237072610797	437	a798deb382afb1db2c6b3782e6fdac02624cbb2fdd50c3f01d9bd89dd3e90b98		copy	run-evidence		
.specula-output/pipeline.log	.specula-output/pipeline.log	file	0664	1777231993605426819	2953	ce8c1269c7eaa046d91937894ce52319e9742007a7cf476d812a32abb7d8d120		copy	run-evidence		
.specula-output/spec	.specula-output/spec	directory	0775	1777150213448175727				mkdir	run-directory		
.specula-output/spec-gen.log	.specula-output/spec-gen.log	file	0664	1777231993600426728	1403	cbb82c6cfab409ed0d956daeb71b263dd9b13052e571279dec572dd19cc8ee4a		copy	run-evidence		
.specula-output/spec-gen.pid		file	0664	1777149882338257649	8	83a9b4976e3b1d83d974abb7e975b497cdfb0611526ed2b472fbb33f6d03194e		exclude	non-evidence	ephemeral-process-id	
.specula-output/spec-gen.raw.json	.specula-output/spec-gen.raw.json	file	0664	1777231993604426801	2794	0392fa9ba88954b4e32f6d04690f77aba9610d375ca26e57687acc7b6fdead97		copy	run-evidence		
.specula-output/spec-gen.usage.json	.specula-output/spec-gen.usage.json	file	0664	1777150237042610259	1490	16668ce60e02f30a0159fe054491e8fb15bf65df2ce610f6226ebbaba03cc602		copy	run-evidence		
.specula-output/spec/MC.cfg	.specula-output/spec/MC.cfg	file	0664	1777150127001625720	401	1f6c2419ee87b64e06c2d918a2adb93a6e7940ddb5d3a3ab5ee979a143c91303		copy	run-evidence		
.specula-output/spec/MC.tla	.specula-output/spec/MC.tla	file	0664	1777150122415543831	1371	b31cb175f0eeac3cb53b5e32c360b755eb40be2f61f2604c7ea7f37a717c7d46		copy	run-evidence		
.specula-output/spec/Trace.cfg	.specula-output/spec/Trace.cfg	file	0664	1777150164160291036	471	99b20114a022e539785631f7fb78453df08ea32edb83648b4e1499460c0e80ae		copy	run-evidence		
.specula-output/spec/Trace.tla	.specula-output/spec/Trace.tla	file	0664	1777150157971180406	4188	effcd1d73ba1285d85d23b414ef7360a54f4dd993140535da259a141ef941cf7		copy	run-evidence		
.specula-output/spec/base.cfg	.specula-output/spec/base.cfg	file	0664	1777150110604332873	434	103bcd93d7474f51694ac57725fa4c29067d3a928a07b9c842155884f0cb0ebe		copy	run-evidence		
.specula-output/spec/base.tla	.specula-output/spec/base.tla	file	0664	1777150090080965762	9743	ea3dc15cbb7ffeff2f6356fda63a6e8faa4e8191e9924fe9f316eabf953e1719		copy	run-evidence		
.specula-output/spec/instrumentation-spec.md	.specula-output/spec/instrumentation-spec.md	file	0664	1777150213445175673	7620	aa37719f3aa2d32a7520b9d2c3e1fbf3c1b43836e30957dd6ac5de0c71c91acf		copy	run-evidence		
