source_path	destination_path	type	mode	mtime_ns	size	sha256	symlink_target	action	classification	reason	encoded
.prompt-extra.md	.prompt-extra.md	file	0664	1777148443510382385	2623	76be4cb755552b523c662e5c04f62a2fedccb833d93ad528fbe4d3e71b5ac94f		copy	run-evidence		
.specula-output	.specula-output	directory	0775	1777231993607426856				mkdir	run-directory		
.specula-output/.spec-gen-prompt.md	.specula-output/.spec-gen-prompt.md	file	0664	1777231993607426856	6440	611233bfee1de5bbf7550019efdc024841a7a53d3b7132422b60e1bcac5afabc		copy	run-evidence		
.specula-output/modeling-brief.md	.specula-output/modeling-brief.md	file	0664	1777148443510382385	10314	4159a3793b15b14ca0672e9e978fc42fc289dcef984362527b46882841e2b56c		copy	run-evidence		
.specula-output/pipeline-summary.md	.specula-output/pipeline-summary.md	file	0664	1777149881972251169	434	04218ac92dfe37ce4b50d2e9207abff131f581324813eac159ce6e0afc512694		copy	run-evidence		
.specula-output/pipeline.log	.specula-output/pipeline.log	file	0664	1777231993607426856	2938	57d101962ff6150533f9571fb2ab7fbc285bc4a615eb79fcc83506a130530af9		copy	run-evidence		
.specula-output/spec	.specula-output/spec	directory	0775	1777149813299030422				mkdir	run-directory		
.specula-output/spec-gen.log	.specula-output/spec-gen.log	file	0664	1777149881922250284	1989	3012e3b8e13ea89d2387b079421f89a44a0eb23a4bed344cd86bc2824fd4e6ff		copy	run-evidence		
.specula-output/spec-gen.pid		file	0664	1777149329157369300	8	e1ffc4d91c2d0143831d9afc8df2beb967e038c66e29f6b830aa440d3a9a389b		exclude	non-evidence	ephemeral-process-id	
.specula-output/spec-gen.raw.json	.specula-output/spec-gen.raw.json	file	0664	1777149881683246052	3411	9c29d37ea3a0a438f773c3a4f0811e8d50ece89d6953d360220662353de3309d		copy	run-evidence		
.specula-output/spec-gen.usage.json	.specula-output/spec-gen.usage.json	file	0664	1777149881943250656	1501	62cc0f8df103a59265de6ac6815520077b3f6664a11faa8affdd845e831a7cdd		copy	run-evidence		
.specula-output/spec/MC.cfg	.specula-output/spec/MC.cfg	file	0664	1777149709949181107	78	2159eff564aa9abcddc40eca150124437637097a6e8bd677844a1ba42f4ab410		copy	run-evidence		
.specula-output/spec/MC.tla	.specula-output/spec/MC.tla	file	0664	1777149706587120960	1602	a3413e1b21072e289eac19ad5b55e9e670b8e0932bfca19564d138a9a3830cf9		copy	run-evidence		
.specula-output/spec/Trace.cfg	.specula-output/spec/Trace.cfg	file	0664	1777149761184098927	97	2329423564e963fd9754fe67df6afc42565864caa3c9e9acd03d2b3a6d59b8ba		copy	run-evidence		
.specula-output/spec/Trace.tla	.specula-output/spec/Trace.tla	file	0664	1777149757835039106	6258	56008a4f451d93f02f37c9af27321eb6216e6d8088e75ef6d2aa88a5df0e62e4		copy	run-evidence		
.specula-output/spec/base.cfg	.specula-output/spec/base.cfg	file	0664	1777149676587580183	57	1e65eea53d4fc9418f0ee9890da1626ec02fa87aeff70b6f8fcaad8498e89ff9		copy	run-evidence		
.specula-output/spec/base.tla	.specula-output/spec/base.tla	file	0664	1777149669824459540	20609	09fa6bd4ee49e6f382e5568e5144c6e23ef200d54acf0622ae9f9187cb9cdd24		copy	run-evidence		
.specula-output/spec/instrumentation-spec.md	.specula-output/spec/instrumentation-spec.md	file	0664	1777149813296030369	8926	a298e1d5250e4b0e2131c8ac2591df60a4ed2a686dcfb4c7c396a830797172c0		copy	run-evidence		
