source_path	destination_path	type	mode	mtime_ns	size	sha256	symlink_target	action	classification	reason	encoded
.prompt-extra.md	.prompt-extra.md	file	0664	1777148443505382294	2561	e5a824154fbe7392637bddfc58abf946c8b55493b1fa0ccbce3cb970456727af		copy	run-evidence		
.specula-output	.specula-output	directory	0775	1777231993604426801				mkdir	run-directory		
.specula-output/.spec-gen-prompt.md	.specula-output/.spec-gen-prompt.md	file	0664	1777231993604426801	6342	68b0334c5802353c15d2a894d4fb85d9c4b508010069bfe4f90d6c2b7e5dde88		copy	run-evidence		
.specula-output/modeling-brief.md	.specula-output/modeling-brief.md	file	0664	1777148443505382294	10525	e6388bac12088e8b9ee359f353de747201fdef72ebb42085a51c025a006f365e		copy	run-evidence		
.specula-output/pipeline-summary.md	.specula-output/pipeline-summary.md	file	0664	1777148783346589604	431	95c83fb46486f89bc991ac2c95731dbfd0f7f52ce0ee9093a228787660190659		copy	run-evidence		
.specula-output/pipeline.log	.specula-output/pipeline.log	file	0664	1777231993604426801	2923	ee37a75b1c1e781f1340eb214f0672107214a570a3202d6b1deb2a4287642413		copy	run-evidence		
.specula-output/spec	.specula-output/spec	directory	0775	1777148755329076407				mkdir	run-directory		
.specula-output/spec-gen.log	.specula-output/spec-gen.log	file	0664	1777231993598426692	1508	e6022e12f3d66732d52a195dacf8d2a24b3bca92b5627dfa26f515826e8700ba		copy	run-evidence		
.specula-output/spec-gen.pid		file	0664	1777148472775916308	8	ce7380546d06cbe5570c6442992f40f83dd0af0e3c361166fe04521b05693542		exclude	non-evidence	ephemeral-process-id	
.specula-output/spec-gen.raw.json	.specula-output/spec-gen.raw.json	file	0664	1777231993603426783	2908	79a526dec90122db110e7f64111ef3516bea5ea1c09494c9011876291627e4b8		copy	run-evidence		
.specula-output/spec-gen.usage.json	.specula-output/spec-gen.usage.json	file	0664	1777148783316589056	1499	f4ca57d001a9aff13ab5e1769ea1b080cde29c7e5add57cf1b87eece1ad2bc8f		copy	run-evidence		
.specula-output/spec/MC.cfg	.specula-output/spec/MC.cfg	file	0664	1777148669237499533	96	db67d7d3a025786f6805b4f33c8a044c11f4e83d877605c7c2e5697388796185		copy	run-evidence		
.specula-output/spec/MC.tla	.specula-output/spec/MC.tla	file	0664	1777148666649452275	927	746dc480725747668ac48729500fd99f9b860f46c7756bff96773d852523dc4d		copy	run-evidence		
.specula-output/spec/Trace.cfg	.specula-output/spec/Trace.cfg	file	0664	1777148713592311670	113	8ce8a140cf2b102579fad9d8a29d724986f01a8e7c8ed83b7da117b6b4711035		copy	run-evidence		
.specula-output/spec/Trace.tla	.specula-output/spec/Trace.tla	file	0664	1777148710180249281	6252	39795a8527a43e3a636c8d1bdce733cecf61bb9e4a237e220c7fcb8dde7611ce		copy	run-evidence		
.specula-output/spec/base.cfg	.specula-output/spec/base.cfg	file	0664	1777148658219298324	77	3a83c135954e2490d2e7c17885cdcc57a3126cc2f9806d649c35fea57d4a7bfb		copy	run-evidence		
.specula-output/spec/base.tla	.specula-output/spec/base.tla	file	0664	1777148644090039371	9408	4e08a30efcc28301e741e5d01e8772ccf6580f4e1f1a4df1428bcbced3d0034a		copy	run-evidence		
.specula-output/spec/instrumentation-spec.md	.specula-output/spec/instrumentation-spec.md	file	0664	1777148755326076353	5989	839ffab69aeb8de4182cd60735d3648d0df08e10df61457c664e00d289f19bd4		copy	run-evidence		
