source_path	destination_path	type	mode	mtime_ns	size	sha256	symlink_target	action	classification	reason	encoded
.harness-gen-prompt.md	.harness-gen-prompt.md	file	0664	1773809567387188620	3521	a56e9554fce4bd8f5834a78ba1e72a2053ba1fd65f4a8a941213a74e844d08bd		copy	run-evidence		
.prompt-extra.md	.prompt-extra.md	file	0664	1773807664823035063	1321	2f70f6aac4b0358bbd41095ed2f7abeae40739270170f87038e125d3c995669f		copy	run-evidence		
.prompt.md	.prompt.md	file	0664	1773807664865035956	3971	a3d851bf1f48e852515a54a02ac6d42220083c617b20dd7506c0b95f147571a3		copy	run-evidence		
.spec-gen-prompt.md	.spec-gen-prompt.md	file	0664	1773808807310128027	4181	6c1543dc5a9c6279745ef13da8f4ef9e156e2b8a7f7667f3e57483f4255013a8		copy	run-evidence		
.spec-validation-prompt.md	.spec-validation-prompt.md	file	0664	1773810960871745517	3288	6a7e73bfbee15d9457a5870ef9efb33892f87128bba9711798ad6552072b87c0		copy	run-evidence		
agent.log	agent.log	file	0664	1773808806699116736	2078	8ce073981ba9197947062b759ba6a51c06ef832b3e156f85ff23f646b032d72b		copy	run-evidence		
agent.pid		file	0664	1773807664867035998	8	74a7e4f6e90893a67431fc334dca84128c6a54e0a34e4477cbb5fff31f68f01d		exclude	non-evidence	ephemeral-process-id	
analysis-report.md	analysis-report.md	file	0664	1773808782642671542	21388	564401d8e967e3399e83840842721e470f29ae835da52b7165deca5cea297e13		copy	run-evidence		
artifact	.record/source-snapshots/artifact.tar	directory	0775	1774064000315082056	0	97f2c6a7ff8d9f39f338b5a0ce54f56bdb0fd96f0b0dfb17dad13b5a81c22f6f		snapshot	source-snapshot	non-git-source-snapshot	"{""codec"": ""zstd"", ""codec_version"": ""1.5.5"", ""content_entries"": 1, ""content_id"": ""sha256:97f2c6a7ff8d9f39f338b5a0ce54f56bdb0fd96f0b0dfb17dad13b5a81c22f6f"", ""content_manifest"": "".record/source-snapshots/artifact.tar.files.tsv"", ""content_manifest_bytes"": 110, ""content_manifest_sha256"": ""b94d0bf3b2c18f244e7f3ab6d6cf15199210dd4bd78b2f3600877cecfd584119"", ""encoded_bytes"": 23, ""encoded_sha256"": ""ef077a15315f941a8fc5700796762259eb286177402b33c31d5bddc62df4a397"", ""parts"": [{""bytes"": 23, ""path"": ""artifact.tar.zst"", ""sha256"": ""ef077a15315f941a8fc5700796762259eb286177402b33c31d5bddc62df4a397""}], ""tar_bytes"": 10240, ""tar_sha256"": ""84ff92691f909a05b224e1c56abb4864f01b4f8e3c854e4bb4c7baf1d3f6d652""}"
artifact/async-raft	.record/source-snapshots/artifact-async-raft-c8a59025ba08.tar	directory	0775	1778171648411295088	502280	cbac08cffae6df5edbfad52bad3a7f7c037bc6a8ecbfaf55e044552ac2318c3e		snapshot	source-snapshot	non-git-source-snapshot	"{""codec"": ""zstd"", ""codec_version"": ""1.5.5"", ""content_entries"": 77, ""content_id"": ""sha256:cbac08cffae6df5edbfad52bad3a7f7c037bc6a8ecbfaf55e044552ac2318c3e"", ""content_manifest"": "".record/source-snapshots/artifact-async-raft-c8a59025ba08.tar.files.tsv"", ""content_manifest_bytes"": 8923, ""content_manifest_sha256"": ""42742698fbeb734f997431467c8310bdb137deb58708bfc35a3b60764656954e"", ""encoded_bytes"": 198514, ""encoded_sha256"": ""f5f4ce06d13a561b45e2b254949ea49daf9cb24f66b63432bcfea9b7a4500cba"", ""parts"": [{""bytes"": 198514, ""path"": ""artifact-async-raft-c8a59025ba08.tar.zst"", ""sha256"": ""f5f4ce06d13a561b45e2b254949ea49daf9cb24f66b63432bcfea9b7a4500cba""}], ""tar_bytes"": 634880, ""tar_sha256"": ""53f7731ab6103e1fcd11198d938821648fb50a051149fc9e3c1497f3814e2165""}"
harness	harness	directory	0775	1773810262675088590				mkdir	run-directory		
harness-gen.log	harness-gen.log	file	0664	1773810960300733827	2195	e704ee73b0d370eccd311c9a82383a6397b14ba023ee5166530871c1bb6e40d0		copy	run-evidence		
harness-gen.pid		file	0664	1773809567396188786	8	8a5ea7c2bbab3101374fa34a23cf1cb21ee823b37fa963739ed7c8f04d147fe5		exclude	non-evidence	ephemeral-process-id	
harness/INSTRUMENTATION.md	harness/INSTRUMENTATION.md	file	0664	1773810262657088243	3929	23cecab290e9554f1608debf7ecfd0307edaf6260068341ee7e14baf723e357b		copy	run-evidence		
harness/apply.sh	harness/apply.sh	file	0775	1773810070663366783	971	bff116a2640fd13d476430f1c0ec0653c6f71a75eab99ff25022693db5d0b35e		copy	run-evidence		
harness/patches	harness/patches	directory	0775	1773810027350511265				mkdir	run-directory		
harness/patches/instrumentation.patch	harness/patches/instrumentation.patch	file	0664	1773810741930303759	26878	ce4ef0a3e94da4b3e3a97cc318ea3c0949fa5ab383d7f4a702940fccfcb9946e		copy	run-evidence		
harness/run.sh	harness/run.sh	file	0775	1773810233605530775	2216	6d490609393afb921055e2090184d82f6dc6214890e2a2f63aa01a8a56624c43		copy	run-evidence		
harness/src	harness/src	directory	0775	1773810669778902992				mkdir	run-directory		
harness/src/tla_trace.rs	harness/src/tla_trace.rs	file	0664	1773810669694901344	5763	ad4e6146d1f0956e3e86c6759dd12a234142b0d11b7d90c7dc63c23d7a4163be		copy	run-evidence		
harness/src/tla_trace_scenario.rs	harness/src/tla_trace_scenario.rs	file	0664	1773810168426279352	2844	fee9de575f4ea3f2ebf4572e9926174b58f5a238cd3ad6df292143c956bcafe2		copy	run-evidence		
modeling-brief.md	modeling-brief.md	file	0664	1773808645772134329	19857	2aa4c2580c2b7de5a88325f409373d1219a66ee77d243be07f005bdd79486ab3		copy	run-evidence		
repro	repro	directory	0775	1775012472726937443				mkdir	run-directory		
repro/test_bug32_quorum_off_by_one.rs	repro/test_bug32_quorum_off_by_one.rs	file	0664	1775012472727937462	4306	74500325d1efea3cb182231de0f10432f26fb14dbb57477c4fffd1820d06da23		copy	run-evidence		
spec	spec	directory	0775	1778172742543121909				mkdir	run-directory		
spec-gen.log	spec-gen.log	file	0664	1773809566453171407	119	dd9169b33d14dcd5a3edcf27bdb1685be89197f2a0fe8f3886b6d9152076401a		copy	run-evidence		
spec-gen.pid		file	0664	1773808807312128063	8	6280460c35cbd492b0da78fcb5f007bde6e808e4039daec3f21424a2e19ae042		exclude	non-evidence	ephemeral-process-id	
spec-validation.log	spec-validation.log	file	0664	1773814664309638016	7	ce7b0fed80e2b0533ae28d678b4544e311b7ced841b385e9fdf3367a6a44829d		copy	run-evidence		
spec-validation.pid		file	0664	1773810960875745598	8	e86c6534927d3086302f99050fef8b09d62faa68c81f94159891d682e67fc2d1		exclude	non-evidence	ephemeral-process-id	
spec/MC.cfg	spec/MC.cfg	file	0664	1773813777992472098	2903	5ba2d5652ecf6b91824216b1b7c6ac2baff2904cf84d07b8969d01b2d3f7db7b		copy	run-evidence		
spec/MC.tla	spec/MC.tla	file	0664	1773812239179669749	9295	cb4273f011caab1e9cfdee37c896cbd6142c76f1ca1835a4d3016cef1265abc4		copy	run-evidence		
spec/MC_hunt_commit.cfg	spec/MC_hunt_commit.cfg	file	0664	1773809267223618164	1533	51227bd780626c8d577f3edbdf86f03cde501cebe3c883812bd8f929cd78087f		copy	run-evidence		
spec/MC_hunt_election.cfg	spec/MC_hunt_election.cfg	file	0664	1773809258052449724	1453	3e84a7b70749eb5067e518d091209e082c419bcc1fb09bbf2fcc3850db473727		copy	run-evidence		
spec/MC_hunt_linearizable_read.cfg	spec/MC_hunt_linearizable_read.cfg	file	0664	1773809282356897674	1462	7ce186b3cce90170fe9fc8de3e7a6e83095813ab091d419c4aed8708dadbbea8		copy	run-evidence		
spec/MC_hunt_quorum.cfg	spec/MC_hunt_quorum.cfg	file	0664	1773809251214323448	1457	85f4d5aa0219cdfe723201edc086567486a5af4056319110453a0f1184f55ccc		copy	run-evidence		
