source_path	destination_path	type	mode	mtime_ns	size	sha256	symlink_target	action	classification	reason	encoded
.specula-output	.specula-output	directory	0775	1783831741748951522				mkdir	run-directory		
.specula-output/.stop-gate	.specula-output/.stop-gate	directory	0775	1783831741031938861				mkdir	run-directory		
.specula-output/.stop-gate/gate.log	.specula-output/.stop-gate/gate.log	file	0664	1783839763016773204	1908	63392e5e2cf6b59bf6d2942b9b7a5e7c9449fd146dbc86123fdbf108d0ada839		copy	run-evidence		
.specula-output/bug-confirmation.log	.specula-output/bug-confirmation.log	file	0664	1783839763782787700	1067	5e35aed35edf4bdb13e973ed424d2fa3a64b52fc0d8bba10f30ddf1439a35c51		copy	run-evidence		
.specula-output/confirmation	.specula-output/confirmation	directory	0775	1783838759626889472				mkdir	run-directory		
.specula-output/confirmation/CR-2	.specula-output/confirmation/CR-2	directory	0775	1783836548244820405				mkdir	run-directory		
.specula-output/confirmation/CR-2/autobahn-source	.record/source-snapshots/.specula-output-confirmation-CR-2-autobahn-source-68720eb39aab.tar	directory	0775	1783835982142167870	2641293	c376193aa683fe4bced38038c9dec4ca97e06edf728b71d2cbbcabf56b497d67		snapshot	source-snapshot	non-git-source-snapshot	"{""codec"": ""zstd"", ""codec_version"": ""1.5.5"", ""content_entries"": 469, ""content_id"": ""sha256:c376193aa683fe4bced38038c9dec4ca97e06edf728b71d2cbbcabf56b497d67"", ""content_manifest"": "".record/source-snapshots/.specula-output-confirmation-CR-2-autobahn-source-68720eb39aab.tar.files.tsv"", ""content_manifest_bytes"": 67056, ""content_manifest_sha256"": ""124561b5a3eadaa7922a9dc24ee15c73e264b894a0e304370197fe32dddb8c93"", ""encoded_bytes"": 1038288, ""encoded_sha256"": ""c813e5dd40a70e622acaa58966ca2879848d6e529bb437a560b340e25d18f80b"", ""parts"": [{""bytes"": 1038288, ""path"": "".specula-output-confirmation-CR-2-autobahn-source-68720eb39aab.tar.zst"", ""sha256"": ""c813e5dd40a70e622acaa58966ca2879848d6e529bb437a560b340e25d18f80b""}], ""tar_bytes"": 3450880, ""tar_sha256"": ""c6c794db269cbdede99d1cd70186f5d52c61cc6cf0008c61692687e5d81dad9e""}"
.specula-output/confirmation/CR-2/debate.md	.specula-output/confirmation/CR-2/debate.md	file	0664	1783836548215819858	599	c9be697a88620dc7bbad6824b6a81053c7756bd781d6cfae02597b6c53c47d98		copy	run-evidence		
.specula-output/confirmation/CR-2/investigation.md	.specula-output/confirmation/CR-2/investigation.md	file	0664	1783836158249467685	6293	1fd6191ed87eb16fd5adf84ba7ce10f218d5df39506d77376a703281f5178f5d		copy	run-evidence		
.specula-output/confirmation/CR-2/turn01_A.last-message.txt	.specula-output/confirmation/CR-2/turn01_A.last-message.txt	file	0664	1783836179921875540	2497	b9193d2c7b6db38d5b1ea976bda1f54000450a4b835549fe43d09c2b46d79828		copy	run-evidence		
.specula-output/confirmation/CR-2/turn01_A.log	.specula-output/confirmation/CR-2/turn01_A.log	file	0664	1783836179921875540	642789	a062dd0b21aa917708e4df1f31eed006460d727b5d3b7bc46efce945dd41c5b8		copy	run-evidence		
.specula-output/confirmation/CR-2/turn01_A.prompt.md	.specula-output/confirmation/CR-2/turn01_A.prompt.md	file	0664	1783835558743310553	6046	6a262b3683ab9c70d9ca1d63cbfdb5aea83913224d5682e12b4a8a16a7de6c89		copy	run-evidence		
.specula-output/confirmation/CR-2/turn01_A.usage.json	.specula-output/confirmation/CR-2/turn01_A.usage.json	file	0664	1783836180765891301	245	a33fcca20535fde28e7ca156674cdce8bf57747949e3882dfa80cf3d155c5307		copy	run-evidence		
.specula-output/confirmation/CR-2/turn02_B.last-message.txt	.specula-output/confirmation/CR-2/turn02_B.last-message.txt	file	0664	1783836547514806635	2025	feb4bbe00edda8574e6b47b24be8811077aebb0609dd601f1599de78b35a2507		copy	run-evidence		
.specula-output/confirmation/CR-2/turn02_B.log	.specula-output/confirmation/CR-2/turn02_B.log	file	0664	1783836547514806635	538315	303edd4e7651a0e43fff824ddcafb5cf57f435f4205fbbf05b87aa0e58af1eb5		copy	run-evidence		
.specula-output/confirmation/CR-2/turn02_B.prompt.md	.specula-output/confirmation/CR-2/turn02_B.prompt.md	file	0664	1783836180773891451	7379	056a7991838929715e2c503570c7d86be30b7b277037e4c387d88c41ff6f3709		copy	run-evidence		
.specula-output/confirmation/CR-2/turn02_B.usage.json	.specula-output/confirmation/CR-2/turn02_B.usage.json	file	0664	1783836548208819726	245	a694ffac80338863ee5d8cdece48482c3dd311aa99ec68ee7799f61a95722188		copy	run-evidence		
.specula-output/confirmation/CR-2/verdict.json	.specula-output/confirmation/CR-2/verdict.json	file	0664	1783836548244820405	2830	0e7fc0a6928e71e8d2b09c92fe0f1a5a29ecfc3592d36844f6fc3007fef6c2b2		copy	run-evidence		
.specula-output/confirmation/CR-3	.specula-output/confirmation/CR-3	directory	0775	1783837262960970416				mkdir	run-directory		
.specula-output/confirmation/CR-3/debate.md	.specula-output/confirmation/CR-3/debate.md	file	0664	1783837262257957393	599	2000db6dca1e971b4e4be07192105c259d907cb7decd297de49d6a5b2dc66b26		copy	run-evidence		
.specula-output/confirmation/CR-3/investigation.md	.specula-output/confirmation/CR-3/investigation.md	file	0664	1783836894944178043	7445	2c66e3fa1f653e65920b823ffdf1f93b1e3c66e779b0716d1051bff750b7ca60		copy	run-evidence		
.specula-output/confirmation/CR-3/turn01_A.last-message.txt	.specula-output/confirmation/CR-3/turn01_A.last-message.txt	file	0664	1783837066119296841	2667	a027ff47b2c4d49b8d5af98f3dafcbfb9e0260c8566e5aff22cdeb4192f2540d		copy	run-evidence		
.specula-output/confirmation/CR-3/turn01_A.log	.specula-output/confirmation/CR-3/turn01_A.log	file	0664	1783837066121296887	565043	3a0b67bafea849a85c9eeaad8275c6cdbd51c139aa13d748fa417ec94bd9dedd		copy	run-evidence		
.specula-output/confirmation/CR-3/turn01_A.prompt.md	.specula-output/confirmation/CR-3/turn01_A.prompt.md	file	0664	1783836548301821480	6112	3908169d8736128ba2767d4576275448f1be8097e650213fcbdca79c016d0edb		copy	run-evidence		
.specula-output/confirmation/CR-3/turn01_A.usage.json	.specula-output/confirmation/CR-3/turn01_A.usage.json	file	0664	1783837066807311757	245	e5244afab6fd462ac47f1ca596d35fc823cde39d7480d2ebdaec40a93c40504a		copy	run-evidence		
.specula-output/confirmation/CR-3/turn02_B.last-message.txt	.specula-output/confirmation/CR-3/turn02_B.last-message.txt	file	0664	1783837261565944574	1904	349edc1787c3944fb9d95e77bfedc3fea7cc39dd3da535cb46485a833e140764		copy	run-evidence		
.specula-output/confirmation/CR-3/turn02_B.log	.specula-output/confirmation/CR-3/turn02_B.log	file	0664	1783837261565944574	566713	c9905cde2970cd38373fae54d2de78d98631657ee44341ea48d4d45f008792d7		copy	run-evidence		
.specula-output/confirmation/CR-3/turn02_B.prompt.md	.specula-output/confirmation/CR-3/turn02_B.prompt.md	file	0664	1783837066814311883	7445	c209cf1d89a1ba293308fcd6c3828f6c3a59a44b437cd5ac39c9ce14bcccfe19		copy	run-evidence		
.specula-output/confirmation/CR-3/turn02_B.usage.json	.specula-output/confirmation/CR-3/turn02_B.usage.json	file	0664	1783837262250957264	245	3fe4be4688e92fd9866d7b2df052fcff79f4be359ff83654921219bbb5c10ddb		copy	run-evidence		
.specula-output/confirmation/CR-3/verdict.json	.specula-output/confirmation/CR-3/verdict.json	file	0664	1783837262960970416	3006	2bc03324c0a81382e3e4626f191c1c08a5c5986e7ed54676d12ede1e8de7db6b		copy	run-evidence		
.specula-output/confirmation/CR-4	.specula-output/confirmation/CR-4	directory	0775	1783838759626889472				mkdir	run-directory		
.specula-output/confirmation/CR-4/debate.md	.specula-output/confirmation/CR-4/debate.md	file	0664	1783838758919876242	811	23503d2b9e362378744e2cf9443659db850910df2fd976adfe41b55a7c4aaadf		copy	run-evidence		
.specula-output/confirmation/CR-4/investigation.md	.specula-output/confirmation/CR-4/investigation.md	file	0664	1783837920569199133	5520	54f26e8184a69aeb29e3485148e391818bb16b63ea61a33fc5cc1ad33f587fde		copy	run-evidence		
