source_path	destination_path	type	mode	mtime_ns	size	sha256	symlink_target	action	classification	reason	encoded
agent.log	agent.log	file	0664	1772109246435996553	42	36311090efd2b3be21e8ae5cae26601107ae381c257a7db0023bcc697b848530		copy	run-evidence		
agent.pid		file	0664	1772107895089974615	7	cd2c412d5dd1f78139274d0dae49f95901f28316d5201bfbdf6e4bf8424308bf		exclude	non-evidence	ephemeral-process-id	
analysis-report.md	analysis-report.md	file	0664	1772109246097992557	19468	28cdac7c62d8d0e7c0fe6e42a550a18eacbd9340d53e100d52bf35ee30a8a47d		copy	run-evidence		
artifact	.record/source-snapshots/artifact.tar	directory	0775	1772443102469231801	0	2a27c6386554af4e9decb08435113669b14cbc1fa16a90b8f8ac61d3f3de95f5		snapshot	source-snapshot	non-git-source-snapshot	"{""codec"": ""zstd"", ""codec_version"": ""1.5.5"", ""content_entries"": 1, ""content_id"": ""sha256:2a27c6386554af4e9decb08435113669b14cbc1fa16a90b8f8ac61d3f3de95f5"", ""content_manifest"": "".record/source-snapshots/artifact.tar.files.tsv"", ""content_manifest_bytes"": 104, ""content_manifest_sha256"": ""a3d1374f5650661b3e1794819a917cf82997cb9aa59c8e6f6103497284a898c4"", ""encoded_bytes"": 23, ""encoded_sha256"": ""ef077a15315f941a8fc5700796762259eb286177402b33c31d5bddc62df4a397"", ""parts"": [{""bytes"": 23, ""path"": ""artifact.tar.zst"", ""sha256"": ""ef077a15315f941a8fc5700796762259eb286177402b33c31d5bddc62df4a397""}], ""tar_bytes"": 10240, ""tar_sha256"": ""84ff92691f909a05b224e1c56abb4864f01b4f8e3c854e4bb4c7baf1d3f6d652""}"
artifact/besu	.record/source-snapshots/artifact-besu-76db05894893.tar	directory	0775	1773665384290969612	115738691	00781f70c87f3169286f56e30476a8ee2fb1ff9baed2566e556894f66e3e4675		snapshot	source-snapshot	non-git-source-snapshot	"{""codec"": ""zstd"", ""codec_version"": ""1.5.5"", ""content_entries"": 12354, ""content_id"": ""sha256:00781f70c87f3169286f56e30476a8ee2fb1ff9baed2566e556894f66e3e4675"", ""content_manifest"": "".record/source-snapshots/artifact-besu-76db05894893.tar.files.tsv"", ""content_manifest_bytes"": 2205426, ""content_manifest_sha256"": ""16aea4fce33f0527cb9583e636cbe10e419c90ed4839850d9eec08b7f5fa0d0c"", ""encoded_bytes"": 28521451, ""encoded_sha256"": ""5b8f5f019e3203b6df4e27242b09b8d9f25ec1883a3702bfe80cc46ecce6adbf"", ""parts"": [{""bytes"": 28521451, ""path"": ""artifact-besu-76db05894893.tar.zst"", ""sha256"": ""5b8f5f019e3203b6df4e27242b09b8d9f25ec1883a3702bfe80cc46ecce6adbf""}], ""tar_bytes"": 131696640, ""tar_sha256"": ""f572b80b6c5a0d98050efc25a60ef031046f80605fc00c97b006402c458f685a""}"
artifact/besu/substrate/artifact/substrate	.record/source-snapshots/artifact-besu-substrate-artifact-substrate-877318c30237.tar	directory	0775	1772443135715797780	47001229	78de884b58003d61fec62965d538d5710b99fed1715677ebdffdb4e0bf794e14		snapshot	source-snapshot	non-git-source-snapshot	"{""codec"": ""zstd"", ""codec_version"": ""1.5.5"", ""content_entries"": 3435, ""content_id"": ""sha256:78de884b58003d61fec62965d538d5710b99fed1715677ebdffdb4e0bf794e14"", ""content_manifest"": "".record/source-snapshots/artifact-besu-substrate-artifact-substrate-877318c30237.tar.files.tsv"", ""content_manifest_bytes"": 438240, ""content_manifest_sha256"": ""12629d583f25ccf500c2657058de475759ae374e0fd8ebf2ca9ea5767cff0168"", ""encoded_bytes"": 16022697, ""encoded_sha256"": ""a4b4abc5151c20a03c1a888eb627a4eb2c89bce8775fb2cd9fd407bd02c15077"", ""parts"": [{""bytes"": 16022697, ""path"": ""artifact-besu-substrate-artifact-substrate-877318c30237.tar.zst"", ""sha256"": ""a4b4abc5151c20a03c1a888eb627a4eb2c89bce8775fb2cd9fd407bd02c15077""}], ""tar_bytes"": 52981760, ""tar_sha256"": ""fb99beb7b6cda4f876371a4b9a3045a4d6eb8c0636ca679f7263e54ba190046e""}"
bug-hunting.log	bug-hunting.log	file	0664	1772239834721752168	1695	0993606ad4ceb0242802452b8bb070e7f0ef7ddd13717fcefb7f16b05759fc51		copy	run-evidence		
bug-hunting.pid		file	0664	1772232048760125873	8	b9cf0ecff803906e1ef91b4f1f584a3adf831f8c1c36ef7b8f76c831b70edcb3		exclude	non-evidence	ephemeral-process-id	
bug-report.md	bug-report.md	file	0664	1772239665736532431	11227	09aa747a68caf79340f89b446b7707edb16cd8f3dee81e65663157421a6e20aa		copy	run-evidence		
harness	harness	directory	0775	1772717902701252259				mkdir	run-directory		
harness/INSTRUMENTATION.md	harness/INSTRUMENTATION.md	file	0664	1772717902693252117	3116	0c272fab42763b4395bef724a5d41bac34dccc1c3b1d4737900ab5141fb4f67f		copy	run-evidence		
harness/apply.sh	harness/apply.sh	file	0775	1772714764598523326	579	8b822aa0b6c4f08c05316cf304d6e0cca0fec45aadfc9f07ac7235a33d6f5f0b		copy	run-evidence		
harness/compile.sh	harness/compile.sh	file	0775	1772714775442715935	316	a76b941c527a2280e004db61ff0d31f5948e305d967dbdeeb1a85391066637a5		copy	run-evidence		
harness/patches	harness/patches	directory	0775	1772714752397307437				mkdir	run-directory		
harness/patches/instrumentation.patch	harness/patches/instrumentation.patch	file	0664	1772714422306488191	11060	bdc10dcddc4cf17a93de15f9ddfa66b555b0fe5ef5b470112b2fba17f9e04af9		copy	run-evidence		
harness/patches/test.patch	harness/patches/test.patch	file	0664	1772714752401307508	9088	91397d03ac2fad6075586325734b80ce755c21cedeb1d14927733dbecb986128		copy	run-evidence		
harness/run.sh	harness/run.sh	file	0775	1772714771317643106	776	0cb83f5d1015e69ec7cef2897cd76349fe341a1074a3f73473fade57fcc788f6		copy	run-evidence		
modeling-brief.md	modeling-brief.md	file	0664	1772109123652370817	22696	21b3afe93d6326e81ffc6f0bb968d31b2584a15d4493a9e6a5803884c3e5fd93		copy	run-evidence		
pipeline.log	pipeline.log	file	0664	1772128930768566477	1313	8abc9c5f751140f0f3c5b077e0e0e48d41943eee0f36cd5b39754e06aa28e587		copy	run-evidence		
pr-block-timer-guard.md	pr-block-timer-guard.md	file	0664	1773665567710288727	1058	f43b32c6d6d8db466425247cb9401991a5ac81ad194b0c84dfe726b9f3d0ffd6		copy	run-evidence		
review-analysis.log	review-analysis.log	file	0664	1772106933182687846	43	26a21c6c8613198e37a5c9f6ac653d5ff0551a2e70fafe81019097287bcfdc13		copy	run-evidence		
