source_path	destination_path	type	mode	mtime_ns	size	sha256	symlink_target	action	classification	reason	encoded
agent.log	agent.log	file	0664	1771844500809216180	2248	54943a3a44c88c0aae8663e5f0a438940bca271793475e4587b22d4650c5e18b		copy	run-evidence		
agent.pid		file	0664	1771843290354765368	8	a037b709ee0726c75e056f8bca446eaba8da7b5ed29167e6666ea04a27c5a0ce		exclude	non-evidence	ephemeral-process-id	
analysis-report.md	analysis-report.md	file	0664	1772767136955634166	21776	1d17d5267d47817807d227979b924fa72c6a3ebe66ba95ca107f1085a60ea9dd		copy	run-evidence		
artifact	.record/source-snapshots/artifact.tar	directory	0775	1772444776591253220	0	8480b5c3ea0fa4accf49059a7a2b2e1d64488872190cfa3f270cc73b9adc2f8e		snapshot	source-snapshot	non-git-source-snapshot	"{""codec"": ""zstd"", ""codec_version"": ""1.5.5"", ""content_entries"": 2, ""content_id"": ""sha256:8480b5c3ea0fa4accf49059a7a2b2e1d64488872190cfa3f270cc73b9adc2f8e"", ""content_manifest"": "".record/source-snapshots/artifact.tar.files.tsv"", ""content_manifest_bytes"": 158, ""content_manifest_sha256"": ""b83b6f5834a7e65f00e1eb93aed12cd62bb4814fa47ce32177b0305e1b4970ce"", ""encoded_bytes"": 23, ""encoded_sha256"": ""ef077a15315f941a8fc5700796762259eb286177402b33c31d5bddc62df4a397"", ""parts"": [{""bytes"": 23, ""path"": ""artifact.tar.zst"", ""sha256"": ""ef077a15315f941a8fc5700796762259eb286177402b33c31d5bddc62df4a397""}], ""tar_bytes"": 10240, ""tar_sha256"": ""84ff92691f909a05b224e1c56abb4864f01b4f8e3c854e4bb4c7baf1d3f6d652""}"
artifact/braft	.record/source-snapshots/artifact-braft-4c95374a5ae4.tar	directory	0775	1772456670747827788	2749305849	f1f8ad8651ce22b881e1b7d928653fd9deddbdc56813d9b5febf6cae82ec05bd		snapshot	source-snapshot	non-git-source-snapshot	"{""codec"": ""zstd"", ""codec_version"": ""1.5.5"", ""content_entries"": 791, ""content_id"": ""sha256:f1f8ad8651ce22b881e1b7d928653fd9deddbdc56813d9b5febf6cae82ec05bd"", ""content_manifest"": "".record/source-snapshots/artifact-braft-4c95374a5ae4.tar.files.tsv"", ""content_manifest_bytes"": 107792, ""content_manifest_sha256"": ""696579376a75d044358e4ed034ae09755e2c3ab4ce508d3ecca4177f2c95f697"", ""encoded_bytes"": 1009163263, ""encoded_sha256"": ""9bdfa4f2fb3a4da7c8b68dccfae5825c19b755508da71c55bc57443e69bd506f"", ""parts"": [{""bytes"": 50331648, ""path"": ""artifact-braft-4c95374a5ae4.tar.zst.part-0000"", ""sha256"": ""2e19ac32ae48b3dbaedbe7ed52f1276fd5d2a64b18199bb835edf3d7dd415d3b""}, {""bytes"": 50331648, ""path"": ""artifact-braft-4c95374a5ae4.tar.zst.part-0001"", ""sha256"": ""bcf6a528756af6780530e4e1d70c668c785f9b997f90abbce616c84068dc273f""}, {""bytes"": 50331648, ""path"": ""artifact-braft-4c95374a5ae4.tar.zst.part-0002"", ""sha256"": ""c10007879124a1661e68910255b6173e460c65a8fcd452256d8646663d7d55ce""}, {""bytes"": 50331648, ""path"": ""artifact-braft-4c95374a5ae4.tar.zst.part-0003"", ""sha256"": ""de61ba716ff86d504241124104a4b781e53fb4553dcabb79b8c7959ffccdf578""}, {""bytes"": 50331648, ""path"": ""artifact-braft-4c95374a5ae4.tar.zst.part-0004"", ""sha256"": ""f09350b5e63ed218090a7e3ce0aa0e49299b87350447a3defba9a476883bef78""}, {""bytes"": 50331648, ""path"": ""artifact-braft-4c95374a5ae4.tar.zst.part-0005"", ""sha256"": ""962bd6a91b100e0d0c30c3660f227ea51513d4c861f26661e2971cfbc96a5211""}, {""bytes"": 50331648, ""path"": ""artifact-braft-4c95374a5ae4.tar.zst.part-0006"", ""sha256"": ""2268eb538dae1138e5d8c6705c9fa344e54140ca41e6946cc2e037a7165047b1""}, {""bytes"": 50331648, ""path"": ""artifact-braft-4c95374a5ae4.tar.zst.part-0007"", ""sha256"": ""065e9c033bf2b9860e2ef3cbca9466b520a4d28d966e5121637e181b77a47711""}, {""bytes"": 50331648, ""path"": ""artifact-braft-4c95374a5ae4.tar.zst.part-0008"", ""sha256"": ""4ece87b0ce4bcdfb2e9f90caf421dea44a9ba3393bdba150a02e8dc275e9a136""}, {""bytes"": 50331648, ""path"": ""artifact-braft-4c95374a5ae4.tar.zst.part-0009"", ""sha256"": ""1f64e4db8aae99806180b9980a39b84ffc0119bb17479de7f0eb8cc243dbc9c8""}, {""bytes"": 50331648, ""path"": ""artifact-braft-4c95374a5ae4.tar.zst.part-0010"", ""sha256"": ""a4674b26adf5bb4fd5049046abd64c0c947302d766065e4cc0dea8add39ca92c""}, {""bytes"": 50331648, ""path"": ""artifact-braft-4c95374a5ae4.tar.zst.part-0011"", ""sha256"": ""f30387038d651886f2cdf4f2b470de94b603e9deb5c0f1d72567e088a328c03c""}, {""bytes"": 50331648, ""path"": ""artifact-braft-4c95374a5ae4.tar.zst.part-0012"", ""sha256"": ""8491fd6e2ad3a865a10ced3faabc56542ba8bcfc6fa6c003246faa443335f1ca""}, {""bytes"": 50331648, ""path"": ""artifact-braft-4c95374a5ae4.tar.zst.part-0013"", ""sha256"": ""838771487c9ea9266c23373ed03f3e335381afa0b27aff4efa13bb6df8e26f1a""}, {""bytes"": 50331648, ""path"": ""artifact-braft-4c95374a5ae4.tar.zst.part-0014"", ""sha256"": ""0d4ae8667090555256b9f31afed04b6c8d74ea34a0936b1da35fe1c67ee9958c""}, {""bytes"": 50331648, ""path"": ""artifact-braft-4c95374a5ae4.tar.zst.part-0015"", ""sha256"": ""e1dcd0f481cd4c580ff85609c047bf033088f10ec16c4c0ce6d2edbf4ef39323""}, {""bytes"": 50331648, ""path"": ""artifact-braft-4c95374a5ae4.tar.zst.part-0016"", ""sha256"": ""1f4756a455db16f51bcd48a8a7a5d68ec4c44d617012e5b282471650c6d5336e""}, {""bytes"": 50331648, ""path"": ""artifact-braft-4c95374a5ae4.tar.zst.part-0017"", ""sha256"": ""93e4d2c534ea1ac98e2fba90c44332189879f846c9d0872d4643aea2891b28bc""}, {""bytes"": 50331648, ""path"": ""artifact-braft-4c95374a5ae4.tar.zst.part-0018"", ""sha256"": ""a82790e68397329727731e728ae1c1d90b63fcd41c5bfb1940cf862a82779984""}, {""bytes"": 50331648, ""path"": ""artifact-braft-4c95374a5ae4.tar.zst.part-0019"", ""sha256"": ""7b0292bb5ce5889322cb308b42f7f9bb1eff9d91fd3a302039c0f60483e541cb""}, {""bytes"": 2530303, ""path"": ""artifact-braft-4c95374a5ae4.tar.zst.part-0020"", ""sha256"": ""998c220ae673e644dcd1d5f01c67aa425015d3607a813f775faab5020216fbb7""}], ""tar_bytes"": 2750607360, ""tar_sha256"": ""ea8c9fde9888bde8c5720ecc966abca6672ddbd50006baef052251a7f8363ae4""}"
artifact/brpc	.record/source-snapshots/artifact-brpc-85cd135afa86.tar	directory	0775	1772444792118606962	36267016	1474384fbbde58269e6eee3e941b03c0d5e25660ccaa3248c74520c476b08177		snapshot	source-snapshot	non-git-source-snapshot	"{""codec"": ""zstd"", ""codec_version"": ""1.5.5"", ""content_entries"": 1731, ""content_id"": ""sha256:1474384fbbde58269e6eee3e941b03c0d5e25660ccaa3248c74520c476b08177"", ""content_manifest"": "".record/source-snapshots/artifact-brpc-85cd135afa86.tar.files.tsv"", ""content_manifest_bytes"": 223930, ""content_manifest_sha256"": ""0f1807379f52966ca449360ce0ef39974a4cb8f0c0e294717d736866671f1fd3"", ""encoded_bytes"": 23434904, ""encoded_sha256"": ""282301978f83d5348dd31ac0836cff60e90549d05e7e624e5168732b0315a292"", ""parts"": [{""bytes"": 23434904, ""path"": ""artifact-brpc-85cd135afa86.tar.zst"", ""sha256"": ""282301978f83d5348dd31ac0836cff60e90549d05e7e624e5168732b0315a292""}], ""tar_bytes"": 39342080, ""tar_sha256"": ""16303f6d37b0c99a0571ccaffb5dcf30c06bbd5b2d4256d0559c2580e42700c4""}"
bug-list.md	bug-list.md	file	0664	1772767136955634166	11279	e8c2cbb9157d1b29a0d8be0d17c24471dc7a4d62ebbfa748038a29ef047396f2		copy	run-evidence		
modeling-brief.md	modeling-brief.md	file	0664	1772767136956634184	21682	6135c05c15183e56c16e8fc649a76c7b8a5fd53d93fa58984c70b7a4467c0fd1		copy	run-evidence		
spec	spec	directory	0775	1780328256494881674				mkdir	run-directory		
spec/MC-bug1.cfg	spec/MC-bug1.cfg	file	0664	1772767136956634184	1700	9e10a0318d02f98131faa662bcce32b40fb8627840c0713a2b0ce4250e66e357		copy	run-evidence		
spec/MC-bug2.cfg	spec/MC-bug2.cfg	file	0664	1772767136956634184	1685	0033fee24e15103889bc20b220edf7cf07b0f61cb4e8b66f8d96c1d87622a2da		copy	run-evidence		
spec/MC-bug3.cfg	spec/MC-bug3.cfg	file	0664	1772767136956634184	1714	97472702a86e06ca47172e9d46c65ba6e9756759b404629a90eab338b314b655		copy	run-evidence		
spec/MC-bug4.cfg	spec/MC-bug4.cfg	file	0664	1772767136956634184	1679	a80de3741f95be64e6174f24f4a342a0021ba0495bb79f4095da80272ff7f2bd		copy	run-evidence		
spec/MC-coverage.cfg	spec/MC-coverage.cfg	file	0664	1772767136956634184	1559	854cdafb8e5e8702d36d07aeef6fbab7f2120298d11e4f1d78d46e88690069e6		copy	run-evidence		
spec/MC.cfg	spec/MC.cfg	file	0664	1772767136956634184	3162	5fcf314e66b5df2e300af162dbd8438b0db70cdf1b1e82e1229b23b5459fd697		copy	run-evidence		
spec/MC.tla	spec/MC.tla	file	0664	1772767136956634184	11668	7c22a6b006c9d8f7a8f7999c8e5175644fff49cb0ca4caec184896fcb9a83479		copy	run-evidence		
spec/Trace.cfg	spec/Trace.cfg	file	0664	1772767136956634184	783	99031a07c31be9120f0ff95da77872e41f7c4563ae0cb22500ceeb00439346ad		copy	run-evidence		
spec/Trace.tla	spec/Trace.tla	file	0664	1772767136956634184	20539	8cc9f794c893c5f3e922872640f21edfc303c57c0f5124141bf83affc3ae22b6		copy	run-evidence		
spec/base.cfg	spec/base.cfg	file	0664	1772767136956634184	686	a980eaa56e9232c74da44e41f785eb70460ef1b3ed2894401a2db43e566a84af		copy	run-evidence		
spec/base.tla	spec/base.tla	file	0664	1772767136957634202	44093	4e8071bffa7e47bc22d04accc7629bb2768326926c79283a2c6e59a3cf67a45e		copy	run-evidence		
spec/instrumentation-spec.md	spec/instrumentation-spec.md	file	0664	1772767136957634202	12833	4be92c9cc405e04f9bc4306f77f4b42a2e3c60ff7ae584f04f90e69a8782989d		copy	run-evidence		
traces	traces	directory	0775	1771925193925402183				mkdir	run-directory		
traces/trace.ndjson	traces/trace.ndjson	file	0664	1772456937633166425	10629	079567b2107c62c81906dfbef136eaf022063c926712f1dda49216716db1510d		copy	run-evidence		
