source_path	destination_path	type	mode	mtime_ns	size	sha256	symlink_target	action	classification	reason	encoded
analysis-report.md	analysis-report.md	file	0664	1778908017860951791	26430	9c15070bc44d4bddc25912906265a8ec3b24fad39e518fd6754f8ead27877a75		copy	run-evidence		
artifact	.record/source-snapshots/artifact.tar	directory	0775	1778901573832389943	0	7c0c8a6e16db6d59bc7cc146aaacb601568fd2553d59a8a6e026a481bbccb0b7		snapshot	source-snapshot	non-git-source-snapshot	"{""codec"": ""zstd"", ""codec_version"": ""1.5.5"", ""content_entries"": 1, ""content_id"": ""sha256:7c0c8a6e16db6d59bc7cc146aaacb601568fd2553d59a8a6e026a481bbccb0b7"", ""content_manifest"": "".record/source-snapshots/artifact.tar.files.tsv"", ""content_manifest_bytes"": 105, ""content_manifest_sha256"": ""455c94a84b9f9cff5516287399a7a20bae4d0fbb11f630040c189d0cffad64f8"", ""encoded_bytes"": 23, ""encoded_sha256"": ""ef077a15315f941a8fc5700796762259eb286177402b33c31d5bddc62df4a397"", ""parts"": [{""bytes"": 23, ""path"": ""artifact.tar.zst"", ""sha256"": ""ef077a15315f941a8fc5700796762259eb286177402b33c31d5bddc62df4a397""}], ""tar_bytes"": 10240, ""tar_sha256"": ""84ff92691f909a05b224e1c56abb4864f01b4f8e3c854e4bb4c7baf1d3f6d652""}"
artifact/braft	.record/source-snapshots/artifact-braft-4c95374a5ae4.tar	directory	0775	1778929682972660937	667245595	46e9e9c92cc11dfd677184d3a6e620275ea49c598358eb482173739b96f3c1cd		snapshot	source-snapshot	non-git-source-snapshot	"{""codec"": ""zstd"", ""codec_version"": ""1.5.5"", ""content_entries"": 768, ""content_id"": ""sha256:46e9e9c92cc11dfd677184d3a6e620275ea49c598358eb482173739b96f3c1cd"", ""content_manifest"": "".record/source-snapshots/artifact-braft-4c95374a5ae4.tar.files.tsv"", ""content_manifest_bytes"": 104577, ""content_manifest_sha256"": ""f955bd9959a95874e6f7f632d15533dfd2b49f0463de5f1796542cb87854531a"", ""encoded_bytes"": 238127090, ""encoded_sha256"": ""6a17908218b3147aecdab369668fd8ed036c51db146c2ca71b27bcdf4b386017"", ""parts"": [{""bytes"": 50331648, ""path"": ""artifact-braft-4c95374a5ae4.tar.zst.part-0000"", ""sha256"": ""ad2aeee4f6d0c32ae9c14cc6f80b1c648e7afa6d302bed99456d5cb8e6508f39""}, {""bytes"": 50331648, ""path"": ""artifact-braft-4c95374a5ae4.tar.zst.part-0001"", ""sha256"": ""fe605d25f7e2fb3c392699e9232d047aa1a0479866b9452f6019b4e7abcdbb36""}, {""bytes"": 50331648, ""path"": ""artifact-braft-4c95374a5ae4.tar.zst.part-0002"", ""sha256"": ""fa545c1ba8e5711dccec273b0115c692c112941ac0a8530a25735897b17bf462""}, {""bytes"": 50331648, ""path"": ""artifact-braft-4c95374a5ae4.tar.zst.part-0003"", ""sha256"": ""f6ef46c334e7ed69f386b0e6802b86c24c5dd5958f4bdc9c798fce78b69845fd""}, {""bytes"": 36800498, ""path"": ""artifact-braft-4c95374a5ae4.tar.zst.part-0004"", ""sha256"": ""01403dcfe7ea8332e25d1f77ca8f85ae4f7e6454452f0e8908a663a2fc05e25a""}], ""tar_bytes"": 668538880, ""tar_sha256"": ""864e3a15c004832ec45ee9b6a6c7bdd27b602e9397fa4628b2a283cf2c4d0d6a""}"
harness	harness	directory	0775	1778911143302587634				mkdir	run-directory		
harness/INSTRUMENTATION.md	harness/INSTRUMENTATION.md	file	0664	1778911143298587559	12755	8d5ea646c6bb73dbe2bc38d7e1aa6a7b40c57c99c72e827858e8ed72b9199ada		copy	run-evidence		
harness/apply.sh	harness/apply.sh	file	0775	1778910681904146366	1247	23fb807cf571539a17dc8ea93260528407b5664bc20f608ede6c54d2c340e36e		copy	run-evidence		
harness/clean.sh	harness/clean.sh	file	0775	1778910687867254532	456	7985f7f4865ba59b3ba4fca224032c2a5d65d88a68962507e79f93e79717889c		copy	run-evidence		
harness/patches	harness/patches	directory	0775	1778910672454974094				mkdir	run-directory		
harness/patches/instrumentation.patch	harness/patches/instrumentation.patch	file	0664	1778910999623956549	29582	5e08f2e305133137b43a564b38ae9e7ab17f9b4ffda1d64c4d9be3f3c69fbd23		copy	run-evidence		
harness/run.sh	harness/run.sh	file	0775	1778910706206592925	2993	cfc94d568689ddfbbbf1e14ff63e35d11c88e31225659afe146268d2ece461d7		copy	run-evidence		
harness/src	harness/src	directory	0775	1778910404633031592				mkdir	run-directory		
harness/src/test_bug_repro.cpp	harness/src/test_bug_repro.cpp	file	0664	1778910380196586092	24242	8528c5c5eec7942782a025d0ec7ee0a635dc9a47108827d755e5c80f4ed42632		copy	run-evidence		
harness/src/test_trace_smoke.cpp	harness/src/test_trace_smoke.cpp	file	0664	1778910404630031538	3577	6cc060df0d3f627df3cf823cd1c3fcb3eecc59006d85ff8e6bdf5745c1bf4d49		copy	run-evidence		
harness/src/trace_logger.cpp	harness/src/trace_logger.cpp	file	0664	1778909788215801246	10750	86aeb81334585b1a8550c6c93e231a9f8cd768389195f79d8c83653862e7e3f2		copy	run-evidence		
harness/src/trace_logger.h	harness/src/trace_logger.h	file	0664	1778909711478408690	5576	492f780cfab3c9802c08b207efe79f5962363b37efb25990f42ada4be76357f4		copy	run-evidence		
modeling-brief.md	modeling-brief.md	file	0664	1778908205965357691	29642	6b47a9400890c13337a9b6757404aedf956bb8af79c0d0cd6cb3ec64f90d951d		copy	run-evidence		
pipeline-summary.md	pipeline-summary.md	file	0664	1778930329864862892	525	a3a906d118a8ea4e6c6ae1398172421ce196fad6473c095d3e3f7dfe30167178		copy	run-evidence		
repro	repro	directory	0775	1778930116938503838				mkdir	run-directory		
repro/bug1_output.log	repro/bug1_output.log	file	0664	1778930310582475726	21234	c03fb6f34063c48ad99076ee4eaa7added346f33203bab6516c1dd3effadaec4		copy	run-evidence		
repro/bug2_output.log	repro/bug2_output.log	file	0664	1778930107290288826	37559	ad06472db976b32c0eccdcacddb06b47c005669f6591dec30be1928a8e7f5ed1		copy	run-evidence		
repro/run_bug1.sh	repro/run_bug1.sh	file	0775	1778929880267338315	2246	7a41e184ec00e22b9485e145f0b57b802c6b61aafbb9b627f42d96fa1e18c193		copy	run-evidence		
repro/run_bug2.sh	repro/run_bug2.sh	file	0775	1778930116935503773	1172	a136591d4071fe56c99cdc6b26d9c9c78e266713668e14b6ae59fb52cb27b02e		copy	run-evidence		
repro/test_bug1_elect_self_persist.cpp	repro/test_bug1_elect_self_persist.cpp	file	0664	1778929863937034086	23937	1786620792bdfba9a34e754a89b29aa228cf90e2287c7a0891fdd162910baf0c		copy	run-evidence		
repro/test_bug2_snapshot_regression.cpp	repro/test_bug2_snapshot_regression.cpp	file	0664	1778930008721101748	7061	be5147ce7954e0670bd34d910702b44ecd490be4143bdfe85a5739e0b890d8ac		copy	run-evidence		
spec	spec	directory	0775	1778901573828389870				mkdir	run-directory		
