source_path	destination_path	type	mode	mtime_ns	size	sha256	symlink_target	action	classification	reason	encoded
cometbft-appmempool	cometbft-appmempool	directory	0700	1784222851864929299				mkdir	run-directory		
cometbft-appmempool/.specula-output	cometbft-appmempool/.specula-output	directory	0700	1784222967345232245				mkdir	run-directory		
cometbft-appmempool/.specula-output/.prompt-extra.md	cometbft-appmempool/.specula-output/.prompt-extra.md	file	0600	1784222851866929339	2502	b327f2b293d0ec51f4773f3914bcd06e1c0ca05c91d617daaca116e96b496db7		copy	run-evidence		
cometbft-appmempool/.specula-output/.prompt.md	cometbft-appmempool/.specula-output/.prompt.md	file	0600	1784222852205936000	3758	1ae08f597fed304fbe50cb9cafc1566dfd5321fd8c468332014064193bbe2e54		copy	run-evidence		
cometbft-appmempool/.specula-output/agent.activity.jsonl	cometbft-appmempool/.specula-output/agent.activity.jsonl	file	0600	1784222967299231350	8837	869157d65bee7b6ced38f123ccd4e6ef95a28a3da28be5015ccb5cd43a8f3155		copy	run-evidence		
cometbft-appmempool/.specula-output/agent.log	cometbft-appmempool/.specula-output/agent.log	file	0600	1784222967288231136	2845	7e34ba4186f00c8e0af1545f55d1d97441f57c8f2f88eb4816be4a8a63a52612		copy	run-evidence		
cometbft-appmempool/.specula-output/agent.pid		file	0600	1784222852206936019	8	e456cce1b923db0a60a2ae4a1a4c226f61ed94150b8566cc50e4d714e64b6573		exclude	non-evidence	ephemeral-process-id	
cometbft-appmempool/.specula-output/agent.usage.json	cometbft-appmempool/.specula-output/agent.usage.json	file	0600	1784222968125247602	245	f3107e31d9f970792a29c41fe4818b2ae9fa229b7f13c50ce944fa57a789faa6		copy	run-evidence		
external:artifact	.record/source-snapshots/external-artifact-539554476da0.tar	directory	0700	1784221822237755266	72181379	31ff2c94662a9db02c9dadba03f756192c8f577fffd72aefac26687e1e0d9f60		snapshot	source-snapshot	non-git-source-snapshot	"{""codec"": ""zstd"", ""codec_version"": ""1.5.5"", ""content_entries"": 1976, ""content_id"": ""sha256:31ff2c94662a9db02c9dadba03f756192c8f577fffd72aefac26687e1e0d9f60"", ""content_manifest"": "".record/source-snapshots/external-artifact-539554476da0.tar.files.tsv"", ""content_manifest_bytes"": 254338, ""content_manifest_sha256"": ""6dabd177ffd217c3f69b2dd3a09c8a98f142cacfcc530fa5cf1101d1168119b0"", ""encoded_bytes"": 60062225, ""encoded_sha256"": ""2c8974aa68ee4cb5b09125066ae0c487b87c6dfdd7f1a7dc9ba411fd7fb68640"", ""parts"": [{""bytes"": 50331648, ""path"": ""external-artifact-539554476da0.tar.zst.part-0000"", ""sha256"": ""bd2c88493b2c3f551a4204b37af5aacb9ade71a69bc2cfca34a718ac59d1b1dd""}, {""bytes"": 9730577, ""path"": ""external-artifact-539554476da0.tar.zst.part-0001"", ""sha256"": ""9c0130a68d3ab70c44ec03bfa546921207448a8066a8d6e4db9fad1d9798934c""}], ""tar_bytes"": 75663360, ""tar_sha256"": ""b68ea208eb64d3216c732cf6184e9ee7810d5aea7fa898b36ad5b217f2b3a1de""}"
pipeline.log	pipeline.log	file	0600	1784222968305251175	5704	12416ab309157d0e773a4983f6ae1d6fa949315d93e767e7027f8ad7306dba56		copy	run-evidence		
run.json	run.json	file	0600	1784222851967931323	1059	6b96cf3617a8ffe602b6262921a5fae6176a7d30f79ee18a7618f771594c75f9		copy	run-evidence		
tlc-resources.json	tlc-resources.json	file	0600	1784222851961931205	69	6069a8883123abb4236d69b1be53f2d7de8e990560396ea3aa0d3e3cb695e025		copy	run-evidence		
