source_path	destination_path	type	mode	mtime_ns	size	sha256	symlink_target	action	classification	reason	encoded
cometbft-appmempool	cometbft-appmempool	directory	0700	1784262801932677294				mkdir	run-directory		
cometbft-appmempool/.specula-output	cometbft-appmempool/.specula-output	directory	0700	1784263094531969684				mkdir	run-directory		
cometbft-appmempool/.specula-output/.prompt-extra.md	cometbft-appmempool/.specula-output/.prompt-extra.md	file	0600	1784262801934677332	2502	b327f2b293d0ec51f4773f3914bcd06e1c0ca05c91d617daaca116e96b496db7		copy	run-evidence		
cometbft-appmempool/.specula-output/.prompt.md	cometbft-appmempool/.specula-output/.prompt.md	file	0600	1784263094451968089	4253	7e67c88b54f1d582225af15bdea0e7e6c1de6e587927ecd85010410fe49d3410		copy	run-evidence		
cometbft-appmempool/.specula-output/agent.activity.jsonl	cometbft-appmempool/.specula-output/agent.activity.jsonl	file	0600	1784263513508965811	8476	b2d4339f63600f267c415f03a0e2430124d66379279ffb06dca89ef8f48a3af6		copy	run-evidence		
cometbft-appmempool/.specula-output/agent.log	cometbft-appmempool/.specula-output/agent.log	file	0600	1784263513508965811	3368	f7e8dc5ee0a8a3e6a090978526cd96efcae3f168016347df1d144b5f867c06f5		copy	run-evidence		
cometbft-appmempool/.specula-output/agent.pid		file	0600	1784263094452968109	8	afe94165ef4f11e3ed17bcd1792610bc2d4efa9e7c6264d9bfcf156a3c1588b3		exclude	non-evidence	ephemeral-process-id	
cometbft-appmempool/.specula-output/agent.usage.json	cometbft-appmempool/.specula-output/agent.usage.json	file	0600	1784263514097977629	245	b313bbdb7648168ec4f2f62116f0e25045b1e78598ca90dc3257122fd38c19f7		copy	run-evidence		
external:artifact	.record/source-snapshots/external-artifact-539554476da0.tar	directory	0700	1784262677198357455	72145905	39565b1654b293121de2821f01cab99fb6111d9edba0bf5d16a618829635b2f8		snapshot	source-snapshot	non-git-source-snapshot	"{""codec"": ""zstd"", ""codec_version"": ""1.5.5"", ""content_entries"": 1972, ""content_id"": ""sha256:39565b1654b293121de2821f01cab99fb6111d9edba0bf5d16a618829635b2f8"", ""content_manifest"": "".record/source-snapshots/external-artifact-539554476da0.tar.files.tsv"", ""content_manifest_bytes"": 253868, ""content_manifest_sha256"": ""d13fc1f64550b47abc6c79deb54b866542c7a0398cf80279d373a7211a3bcbf7"", ""encoded_bytes"": 60055457, ""encoded_sha256"": ""dc1f25e3a75f1e8b7406629b1c4cbd4e0da188cb96dcc380843542bbe779304b"", ""parts"": [{""bytes"": 50331648, ""path"": ""external-artifact-539554476da0.tar.zst.part-0000"", ""sha256"": ""e8ffd7b02f26fcea9735532bf4e3b23c714f302da7e3f89e1bb7460e7a4b6a21""}, {""bytes"": 9723809, ""path"": ""external-artifact-539554476da0.tar.zst.part-0001"", ""sha256"": ""fbe08007be79c4ca050fc183586faa08999d69958adbd7656389f817b89a6288""}], ""tar_bytes"": 75622400, ""tar_sha256"": ""3ca1326dc79159fdb975e1290612b93cf4609260dc2f7756ef09f7b78542d626""}"
pipeline.log	pipeline.log	file	0600	1784263514741990552	11811	9ed8b00ebe5f5a740f35b51f3341c954fc1488ff46c76f27bf58f40c4dee8228		copy	run-evidence		
run.json	run.json	file	0600	1784262802039679351	1111	1fa2f07562f913367fbb6ba2a5ec494e030a8388699ca9a450f14be4fcf5da6c		copy	run-evidence		
tlc-resources.json	tlc-resources.json	file	0600	1784262802031679197	69	6069a8883123abb4236d69b1be53f2d7de8e990560396ea3aa0d3e3cb695e025		copy	run-evidence		
