source_path	destination_path	type	mode	mtime_ns	size	sha256	symlink_target	action	classification	reason	encoded
cometbft-appmempool	cometbft-appmempool	directory	0700	1784281097889545356				mkdir	run-directory		
cometbft-appmempool/.specula-output	cometbft-appmempool/.specula-output	directory	0700	1784284591723553245				mkdir	run-directory		
cometbft-appmempool/.specula-output/.prompt-extra.md	cometbft-appmempool/.specula-output/.prompt-extra.md	file	0600	1784281097891545395	2502	b327f2b293d0ec51f4773f3914bcd06e1c0ca05c91d617daaca116e96b496db7		copy	run-evidence		
cometbft-appmempool/.specula-output/.prompt.md	cometbft-appmempool/.specula-output/.prompt.md	file	0600	1784284591642551577	4259	81b90a0a98ec5ae43632b2c9ed97c7e34844289b498bb0a8c2767e278c9f6357		copy	run-evidence		
cometbft-appmempool/.specula-output/agent.activity.jsonl	cometbft-appmempool/.specula-output/agent.activity.jsonl	file	0600	1784284808109895428	6454	7a7631ac41f52675cab0c7032cad873eb5fded176c13b74e2e3ceecdb66ba810		copy	run-evidence		
cometbft-appmempool/.specula-output/agent.log	cometbft-appmempool/.specula-output/agent.log	file	0600	1784284808098895208	2394	ff81fbc4012b6394a9181e3076a13d4305e4b33567982772fca29a3b9922cab8		copy	run-evidence		
cometbft-appmempool/.specula-output/agent.pid		file	0600	1784284591644551619	7	317ec024c524be9cc830467ad423ba70430b0b54389811bc7e754d9f01946246		exclude	non-evidence	ephemeral-process-id	
cometbft-appmempool/.specula-output/agent.usage.json	cometbft-appmempool/.specula-output/agent.usage.json	file	0600	1784284808957912344	245	10e47322d33505f9f604d6f98b3807e912153ffe0e1fc829e2f4b4e2c0c67feb		copy	run-evidence		
external:artifact	.record/source-snapshots/external-artifact-539554476da0.tar	directory	0700	1784262677198357455	72145905	39565b1654b293121de2821f01cab99fb6111d9edba0bf5d16a618829635b2f8		snapshot	source-snapshot	non-git-source-snapshot	"{""codec"": ""zstd"", ""codec_version"": ""1.5.5"", ""content_entries"": 1972, ""content_id"": ""sha256:39565b1654b293121de2821f01cab99fb6111d9edba0bf5d16a618829635b2f8"", ""content_manifest"": "".record/source-snapshots/external-artifact-539554476da0.tar.files.tsv"", ""content_manifest_bytes"": 253868, ""content_manifest_sha256"": ""d13fc1f64550b47abc6c79deb54b866542c7a0398cf80279d373a7211a3bcbf7"", ""encoded_bytes"": 60055457, ""encoded_sha256"": ""dc1f25e3a75f1e8b7406629b1c4cbd4e0da188cb96dcc380843542bbe779304b"", ""parts"": [{""bytes"": 50331648, ""path"": ""external-artifact-539554476da0.tar.zst.part-0000"", ""sha256"": ""e8ffd7b02f26fcea9735532bf4e3b23c714f302da7e3f89e1bb7460e7a4b6a21""}, {""bytes"": 9723809, ""path"": ""external-artifact-539554476da0.tar.zst.part-0001"", ""sha256"": ""fbe08007be79c4ca050fc183586faa08999d69958adbd7656389f817b89a6288""}], ""tar_bytes"": 75622400, ""tar_sha256"": ""3ca1326dc79159fdb975e1290612b93cf4609260dc2f7756ef09f7b78542d626""}"
pipeline.log	pipeline.log	file	0600	1784284809813929419	89461	fcabe131cacbd89df7fd52342969f8a49fa84e697a0ecf9c1c9a27d8494d3e12		copy	run-evidence		
run.json	run.json	file	0600	1784281097994547401	1139	c664aa29dbdfc32115c5a91b6f0a04b228dcc12ba456e6dbff6d696c7afd27c0		copy	run-evidence		
tlc-resources.json	tlc-resources.json	file	0600	1784281097989547303	69	6069a8883123abb4236d69b1be53f2d7de8e990560396ea3aa0d3e3cb695e025		copy	run-evidence		
