source_path	destination_path	type	mode	mtime_ns	size	sha256	symlink_target	action	classification	reason	encoded
agent.log	agent.log	file	0664	1772082756391197949	1729	17a4db224d82e1ca75b7a57bf003e10265442caa2219a7a3813b0b4ec6a72778		copy	run-evidence		
agent.pid		file	0664	1772081036346607750	6	c9e6c87583bb942beade6bcc5b19dcf42406d0c8d699fa5c76a7ecfef7ec5bb7		exclude	non-evidence	ephemeral-process-id	
analysis-report.md	analysis-report.md	file	0664	1773051741932997832	13318	2f24e7682f3fe176ee73bcda8e49d84fb59adc4b176510444004a4af461f0fa6		copy	run-evidence		
artifact	.record/source-snapshots/artifact.tar	directory	0775	1772444172228473472	0	467f1e27a35983f8ab39b5214fa3a530ccf4a5690df19afdbdde86a96a03d5bd		snapshot	source-snapshot	non-git-source-snapshot	"{""codec"": ""zstd"", ""codec_version"": ""1.5.5"", ""content_entries"": 1, ""content_id"": ""sha256:467f1e27a35983f8ab39b5214fa3a530ccf4a5690df19afdbdde86a96a03d5bd"", ""content_manifest"": "".record/source-snapshots/artifact.tar.files.tsv"", ""content_manifest_bytes"": 108, ""content_manifest_sha256"": ""c81c516185e3971bb119aa89b90ab21a5fcfacf967ccf3efb29ec11669cf5dc6"", ""encoded_bytes"": 23, ""encoded_sha256"": ""ef077a15315f941a8fc5700796762259eb286177402b33c31d5bddc62df4a397"", ""parts"": [{""bytes"": 23, ""path"": ""artifact.tar.zst"", ""sha256"": ""ef077a15315f941a8fc5700796762259eb286177402b33c31d5bddc62df4a397""}], ""tar_bytes"": 10240, ""tar_sha256"": ""84ff92691f909a05b224e1c56abb4864f01b4f8e3c854e4bb4c7baf1d3f6d652""}"
artifact/cometbft	.record/source-snapshots/artifact-cometbft-8920dc6b1f93.tar	directory	0775	1772444178824585990	71858903	527151b78fe82c71630b117a15f82d521e16f47373e1b8e07c7ec47d60812576		snapshot	source-snapshot	non-git-source-snapshot	"{""codec"": ""zstd"", ""codec_version"": ""1.5.5"", ""content_entries"": 1935, ""content_id"": ""sha256:527151b78fe82c71630b117a15f82d521e16f47373e1b8e07c7ec47d60812576"", ""content_manifest"": "".record/source-snapshots/artifact-cometbft-8920dc6b1f93.tar.files.tsv"", ""content_manifest_bytes"": 249420, ""content_manifest_sha256"": ""3c415ba6f140028a09dee8aebb0f24efdcd7e0798f4c57f090288eb2868df508"", ""encoded_bytes"": 60004115, ""encoded_sha256"": ""5dd543a4108028e5327d9b5a8ae4e9bae5e898e347cb0268d3d32194edb221f7"", ""parts"": [{""bytes"": 50331648, ""path"": ""artifact-cometbft-8920dc6b1f93.tar.zst.part-0000"", ""sha256"": ""0fd3b483756c52d986dabf790411783fd4af6177a1d7de1e023cbdd5dd5c3ace""}, {""bytes"": 9672467, ""path"": ""artifact-cometbft-8920dc6b1f93.tar.zst.part-0001"", ""sha256"": ""58caa7a2dabffa9ff6115d5ed4922ae1fe84e4166b529cd00e07edae833f77fa""}], ""tar_bytes"": 75264000, ""tar_sha256"": ""a61f4d1f7f158f88fe07204eabcbe621cffbfa185778d59cd2341671e6eb3c72""}"
bug-hunting.log	bug-hunting.log	file	0664	1772183004558092863	1418	fd5235b7a2db9be1ac001ccad4cb3a5a20d531ae6d4fac7f0d7c80a672415b22		copy	run-evidence		
bug-hunting.pid		file	0664	1772177277034007008	7	d3e22e1098fc4387f961157111d3592b21a2a8c03da737df8c3b2b0892206fd0		exclude	non-evidence	ephemeral-process-id	
bug-report.md	bug-report.md	file	0664	1773051741932997832	12903	790616f6fba955e17a8da7b3618ea22190a06e8fd64ceb1a7237a7f9d381c100		copy	run-evidence		
bug-summary.md	bug-summary.md	file	0664	1773051741932997832	7121	54dd433d20843e181132760344ffc6f0728daeb8f1dfd3e9479058f1fead2977		copy	run-evidence		
fix_log.md	fix_log.md	file	0664	1773051741932997832	6492	484ad6d5c8dd3f5233b3ab1a5fc4af86ec1ed6f8369177a83aa06dda64063f27		copy	run-evidence		
