source_path	destination_path	type	mode	mtime_ns	size	sha256	symlink_target	action	classification	reason	encoded
.specula-output	.specula-output	directory	0775	1782828760701397632				mkdir	run-directory		
.specula-output/agent.log	.specula-output/agent.log	file	0664	1781363118363260069	2834	45f00bf0ca7cdccc38f2fdc97d9ce40d2e20ffa4c6c7f31886cd5eb2bf95fa1e		copy	run-evidence		
.specula-output/agent.pid		file	0664	1781360682823847249	8	7330c4f417b22b28b7b6e550b8fdfcce7e06c0e1887459154fb64e9783f3d4c9		exclude	non-evidence	ephemeral-process-id	
.specula-output/agent.raw.json	.specula-output/agent.raw.json	file	0664	1781363118090254865	4335	b91d4162e220b03e4a27c52febd360548f1b84e77a135c2ace904587459195da		copy	run-evidence		
.specula-output/agent.usage.json	.specula-output/agent.usage.json	file	0664	1781363118394260660	1573	f74ce64e454e90e3e7775c7ee5975311a078b4026bd499e03c223f90391fb796		copy	run-evidence		
.specula-output/harness	.specula-output/harness	directory	0775	1782828760700397613				mkdir	run-directory		
.specula-output/harness-gen.log	.specula-output/harness-gen.log	file	0664	1781367563033852563	2527	4c04e5ff5d3ad3e314565f5eef317768d41e4871c8462e77d7990297f1f56ab0		copy	run-evidence		
.specula-output/harness-gen.pid		file	0664	1781365777710707399	7	a842d0935752b3af89db9ab2ba9b7b48b250626e0a584ec75311a0b9a9f29d8a		exclude	non-evidence	ephemeral-process-id	
.specula-output/harness-gen.raw.json	.specula-output/harness-gen.raw.json	file	0664	1781367562753847197	4043	524ed717f34015aee3fa2255641bce7006baca5cf624e65aa8685a0c8ccf5caa		copy	run-evidence		
.specula-output/harness-gen.usage.json	.specula-output/harness-gen.usage.json	file	0664	1781367563066853195	1575	c2c65ee96b9fc5b8f77f7c1251e59bb4c469520c9161f92a6733a41a03f59a46		copy	run-evidence		
.specula-output/harness/apply.sh	.specula-output/harness/apply.sh	file	0775	1781367315745140065	1013	fc8e10a2d671229fba51c42b59572f20ebf4f35fbc202b3c4e426f608188f1f0		copy	run-evidence		
.specula-output/harness/clean.sh	.specula-output/harness/clean.sh	file	0775	1781367318917200914	652	adc509f634a06298d3c1d568d2963a20aca4025956312e23a286aa6a84665c97		copy	run-evidence		
.specula-output/harness/patches	.specula-output/harness/patches	directory	0775	1781367257852025561				mkdir	run-directory		
.specula-output/harness/patches/instrumentation.patch	.specula-output/harness/patches/instrumentation.patch	file	0664	1781367257854025599	6021	906db4e64da2288bec6742ba83088688bfa92c9a779b637581b4e258d1aa8dc3		copy	run-evidence		
.specula-output/harness/run.sh	.specula-output/harness/run.sh	file	0775	1781367344760696203	3885	585a8c185bc98ab3e88991bc43cbd11050234789012373b014249ffd0d03d7f8		copy	run-evidence		
.specula-output/harness/src	.specula-output/harness/src	directory	0775	1781367257851025542				mkdir	run-directory		
.specula-output/harness/src/trace_emit.go	.specula-output/harness/src/trace_emit.go	file	0664	1781367257849025503	4303	7705883d8f7eb8c2a7b9b7524bd010c3b5a86eb0b52a8a9a5839bc1bd95203ee		copy	run-evidence		
.specula-output/harness/src/trace_reactor_switch_test.go	.specula-output/harness/src/trace_reactor_switch_test.go	file	0664	1781367257851025542	3130	3f0d8b20f3e6d14bfc218abf3144da6b97129228a3be84ea1211aef4193d118f		copy	run-evidence		
.specula-output/harness/src/trace_scenarios_test.go	.specula-output/harness/src/trace_scenarios_test.go	file	0664	1781367257850025522	6573	6b967f96267d1cb72f95271e218fe6d2ba2322d5411c495a9ef766ba8ba3ee3e		copy	run-evidence		
.specula-output/pipeline.log	.specula-output/pipeline.log	file	0664	1781368955076224345	5933	c6347165d86308387d2572b75b5095f0c84cdf2cb5c67378ec0a2d03a072b5be		copy	run-evidence		
.specula-output/spec	.specula-output/spec	directory	0775	1782828760701397632				mkdir	run-directory		
.specula-output/spec-gen.log	.specula-output/spec-gen.log	file	0664	1781365777272699052	2751	e71a3f8b98c04e2c34c6c33125d182f88298d59260f70af8e7a67b7335a87deb		copy	run-evidence		
.specula-output/spec-gen.pid		file	0664	1781363118768267788	7	0ed0ca9dc6ddcd685c90e78909e6a5df1eb9e13945ae06bb7d95ab0d519592ea		exclude	non-evidence	ephemeral-process-id	
.specula-output/spec-gen.raw.json	.specula-output/spec-gen.raw.json	file	0664	1781365777017694192	4262	85fdfc0a6ccf1227cdb1ea37eb0e13df1e104986aff2939d174eb5c27c826891		copy	run-evidence		
.specula-output/spec-gen.usage.json	.specula-output/spec-gen.usage.json	file	0664	1781365777304699662	1575	d6fc5fc6f918813622f4f441be85b9b4390e680177956ca313cb8533468f3386		copy	run-evidence		
.specula-output/spec-validation.log	.specula-output/spec-validation.log	file	0664	1781368954546213519	449	22f28f958feaf1421b1094b079f283b733bcf58bafbb1b0504e2f98f97538d77		copy	run-evidence		
.specula-output/spec-validation.pid		file	0664	1781367563421859998	7	c693c20c528857812924df9a8e210042ac4a8e2c66a1828587435c6c1f7ab074		exclude	non-evidence	ephemeral-process-id	
.specula-output/spec-validation.raw.json	.specula-output/spec-validation.raw.json	file	0664	1781368954232207105	1915	d76629918fd960e7a531c8b4c7e078093f25549e2d62480453bddc215d295225		copy	run-evidence		
.specula-output/spec-validation.usage.json	.specula-output/spec-validation.usage.json	file	0664	1781368954600214622	1562	e067c1ead00cde39f98433006ae9ca8e087d50e8759c1000b2c2d9a8ccc6f848		copy	run-evidence		
.specula-output/spec/MC.cfg	.specula-output/spec/MC.cfg	file	0664	1781364850935127435	1481	6301d5e7aa52153a29fd5cf0a2c0c2e44c5335e7c279af6a12f297bda754320a		copy	run-evidence		
.specula-output/spec/MC.tla	.specula-output/spec/MC.tla	file	0664	1781364641481155209	6353	78156118e92d90484d62b7dd7bec7fe8af64eca8378b92678eed05777f6fc5bc		copy	run-evidence		
.specula-output/spec/MC_hunt_catchup_stall.cfg	.specula-output/spec/MC_hunt_catchup_stall.cfg	file	0664	1781364860639311546	1359	28270038679a491b2f4ce07b2cd651a513d16af5a7451097a149a05095d8da33		copy	run-evidence		
.specula-output/spec/MC_hunt_ingest_crash.cfg	.specula-output/spec/MC_hunt_ingest_crash.cfg	file	0664	1781364888203834661	1499	78ed435a0dbb89c6f753d3e64cf97219af5f4339902b2445f5dce90af4417f1b		copy	run-evidence		
.specula-output/spec/MC_hunt_ingest_doublesign.cfg	.specula-output/spec/MC_hunt_ingest_doublesign.cfg	file	0664	1781365398856519295	1563	e50b0691bc5ba23457e85f039d2597a2d76a302d95f15c0141ed81c17b8da819		copy	run-evidence		
.specula-output/spec/MC_hunt_premature_switch.cfg	.specula-output/spec/MC_hunt_premature_switch.cfg	file	0664	1781364869026470636	1337	5feecfa99f27acd1f4b01df2a4c81cec5040793906db5c85f7c9b01d2397b13f		copy	run-evidence		
.specula-output/spec/Trace.cfg	.specula-output/spec/Trace.cfg	file	0664	1781365295027549426	748	ddc76b6552824b41211ce558b6fa254aad31345e81979c27f52b02feda2863ce		copy	run-evidence		
.specula-output/spec/Trace.tla	.specula-output/spec/Trace.tla	file	0664	1781365256104811335	7436	b2ea94496ea26071c8744c5c67fba81921bf7328c83f99e8811095688036865b		copy	run-evidence		
.specula-output/spec/Trace_reactor.cfg	.specula-output/spec/Trace_reactor.cfg	file	0664	1781367207167053585	891	8318bdaccbea8919369043025544027197de862e164766f4f576326df9e8f341		copy	run-evidence		
.specula-output/spec/base.cfg	.specula-output/spec/base.cfg	file	0664	1781364089384676571	625	b7dbe5fdac6ae0f59924862c687a2517506ec60ab592d90e678dc5de42c55952		copy	run-evidence		
.specula-output/spec/base.tla	.specula-output/spec/base.tla	file	0664	1781367825189852323	36944	e683332dca51b1312295c1d085523490e0bf6cc14cfaa5fa63e34fead794783b		copy	run-evidence		
.specula-output/spec/output	.specula-output/spec/output	directory	0775	1781367992914366149				mkdir	run-directory		
.specula-output/spec/output/MC_run1.out	.specula-output/spec/output/MC_run1.out	file	0664	1781369799747666245	8597	9f07b4eec1ca706703802d189cdabf06164e90c066af703fbb954de8b4058612		copy	run-evidence		
.specula-output/spec/output/MC_run1.out.pid		file	0664	1781367992914366149	7	896f1718503f2a32929472d39ec62c478abb01f344bdd3a0b80736760133503a		exclude	non-evidence	ephemeral-process-id	
.specula-output/traces	.specula-output/traces	directory	0775	1781367213068166770				mkdir	run-directory		
.specula-output/traces/trace.ndjson	.specula-output/traces/trace.ndjson	file	0664	1781365327275161105	759	79f3ea5a73d6055754bc4f7bb5a0dd43a50224fc487a2b0eeb36555bbdf73f21		copy	run-evidence		
.specula-output/traces/trace_ban.ndjson	.specula-output/traces/trace_ban.ndjson	file	0664	1781367381518398504	527	d9b475457de4b0c54ca5c635bc78f4d4135e406361fec1d90fabbb6659644b7c		copy	run-evidence		
.specula-output/traces/trace_catchup.ndjson	.specula-output/traces/trace_catchup.ndjson	file	0664	1781367381411396466	1018	4345943c3d2e53179d8c437595f9b09b1f62fae13f83e327fae4f709854fab0e		copy	run-evidence		
.specula-output/traces/trace_pruned.ndjson	.specula-output/traces/trace_pruned.ndjson	file	0664	1781367381526398656	730	1ce123a2f44b8d0f35385520a26faf67fab0dc2febc470d5ecf6c16e4d6d8dcd		copy	run-evidence		
.specula-output/traces/trace_reactor_switch.ndjson	.specula-output/traces/trace_reactor_switch.ndjson	file	0664	1781367386123486597	18220	bbc51d475a6fbfd058cf838af0b536a597843b44000300208a9b8917b590c378		copy	run-evidence		
.specula-output/traces/trace_reactor_switch_raw.ndjson	.specula-output/traces/trace_reactor_switch_raw.ndjson	file	0664	1781367385757479590	18258	dcb3aa330b36b5515096ba41a923866d0bdacfa20ccdb74bab0ab9f75a21588b		copy	run-evidence		
.specula-output/traces/trace_remove.ndjson	.specula-output/traces/trace_remove.ndjson	file	0664	1781367381522398580	628	c906d173153bf0dd2154075427a96ee9b4ebc09d23021a1eb7e1cb90068b3706		copy	run-evidence		
_job.sh	_job.sh	file	0664	1781360656668350248	803	da0fb820f5b7933b38266ba165d10fcb9dc93f8166651f8e389a3a1b9815b64e		copy	run-evidence		
run.out	run.out	file	0664	1781368955076224345	6158	7376bc9e9444792dd01e5199f19c31097a6a6f2765fe8babf4647b43bbfa48c6		copy	run-evidence		
src	.record/source-snapshots/src-25a6634263c1.tar	directory	0775	1781360682411839434	72214045	be08a8b8f4839fd7c9cb6f7a992f963c78adfaedb8ecf4e3d5bae2684c6fe14d		snapshot	source-snapshot	non-git-source-snapshot	"{""codec"": ""zstd"", ""codec_version"": ""1.5.5"", ""content_entries"": 2000, ""content_id"": ""sha256:be08a8b8f4839fd7c9cb6f7a992f963c78adfaedb8ecf4e3d5bae2684c6fe14d"", ""content_manifest"": "".record/source-snapshots/src-25a6634263c1.tar.files.tsv"", ""content_manifest_bytes"": 256810, ""content_manifest_sha256"": ""d02592ba2034d4c16d6434ca3c19e30ba162d85fb639311ae60646ceaef1d02a"", ""encoded_bytes"": 60078446, ""encoded_sha256"": ""d9fce4161b804d3fdbdbd8f1d9e7f1fd24314c8addfcc3692e78d3e342e6e260"", ""parts"": [{""bytes"": 50331648, ""path"": ""src-25a6634263c1.tar.zst.part-0000"", ""sha256"": ""7e02659503fdf9c04fef9f2e090d9e750bdc3c1752938d93e851adfc7f51b29b""}, {""bytes"": 9746798, ""path"": ""src-25a6634263c1.tar.zst.part-0001"", ""sha256"": ""f3134d73af6dd229deec04f94de0f2088f8a5967779090c0815fad807328ebab""}], ""tar_bytes"": 75735040, ""tar_sha256"": ""1d5cc4773cd3a1e4ff8a43e533f9378be1100fda409fe565d3fdd1a5886fe181""}"
