source_path	destination_path	type	mode	mtime_ns	size	sha256	symlink_target	action	classification	reason	encoded
.specula-output	.specula-output	directory	0775	1782828760702397651				mkdir	run-directory		
.specula-output/agent.pid		file	0664	1780629003748283528	7	9abdecf7e6293828097bb407d0792b8abfdc92dceacc32a2b0542bf1e90d0369		exclude	non-evidence	ephemeral-process-id	
.specula-output/agent.raw.json	.specula-output/agent.raw.json	file	0664	1780629003750283570	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855		copy	run-evidence		
.specula-output/pipeline.log	.specula-output/pipeline.log	file	0664	1780629003751283591	1528	c3c4e461dc5efa509bcb844e26c477ec924253342c1f543e4ba731eb358a3243		copy	run-evidence		
recovered	recovered	directory	0775	1782828760703397670				mkdir	run-directory		
recovered/spec	recovered/spec	directory	0775	1782828760703397670				mkdir	run-directory		
recovered/spec/MC.cfg	recovered/spec/MC.cfg	file	0664	1780630019633446627	1645	3a6a9464b3281f59299cad809d32123ca9e1b921c39a6953b4ff54f8b2a6d961		copy	run-evidence		
recovered/spec/MC.tla	recovered/spec/MC.tla	file	0664	1780630019633446627	4528	28246f512043e56dfd2b2c87b05badf637e663482841dda842383713d9808779		copy	run-evidence		
recovered/spec/MC_conv.cfg	recovered/spec/MC_conv.cfg	file	0664	1780630019633446627	920	bd57d09213705434d34bd51a47cca6373b66a8dfd676f999f52c0ed8364686e9		copy	run-evidence		
recovered/spec/MC_hunt_familyB.cfg	recovered/spec/MC_hunt_familyB.cfg	file	0664	1780630019633446627	1910	95f7cf2c6ae2717224d4e973ce72e649012c0db36ae78acc9962eb85356f9fc3		copy	run-evidence		
recovered/spec/MC_live.cfg	recovered/spec/MC_live.cfg	file	0664	1780630019633446627	718	5619d092591abd3a1f67367350fee2f6b9384251960980c6930de61475aaa3b4		copy	run-evidence		
recovered/spec/MC_small.cfg	recovered/spec/MC_small.cfg	file	0664	1780630019633446627	586	997b1b71ea111f62f2e951e8be157015780790cff787d558dd1f109b4ae7107c		copy	run-evidence		
recovered/spec/Trace.cfg	recovered/spec/Trace.cfg	file	0664	1780630019633446627	1158	b3979006906da2ecf15c94ed66ca24c97d35c1c0474d285705f6e386cee2f2d9		copy	run-evidence		
recovered/spec/Trace.tla	recovered/spec/Trace.tla	file	0664	1780630019633446627	11735	076211135c521e2e1b01d10b3124c41d302fb7607a343bc3dcad1d8a55e86e10		copy	run-evidence		
recovered/spec/base.cfg	recovered/spec/base.cfg	file	0664	1780630019632446607	625	51796749be74ffa07d763abcdf03c02be0f9ed5317131bf49fda4cd72d77558e		copy	run-evidence		
recovered/spec/base.tla	recovered/spec/base.tla	file	0664	1780630019632446607	25675	8b496fb0b0030c6e687dd90e78eb83ca3c289d9f6ab780b1248b3db1c542c34e		copy	run-evidence		
run.out	run.out	file	0664	1780629003751283591	1528	c3c4e461dc5efa509bcb844e26c477ec924253342c1f543e4ba731eb358a3243		copy	run-evidence		
src	.record/source-snapshots/src-25a6634263c1.tar	directory	0775	1780582345447358929	77432222	6ee4770aa88d5d928b3201b54428bcb1f5502d1bba391b23785d7bed6b41103b		snapshot	source-snapshot	non-git-source-snapshot	"{""codec"": ""zstd"", ""codec_version"": ""1.5.5"", ""content_entries"": 2632, ""content_id"": ""sha256:6ee4770aa88d5d928b3201b54428bcb1f5502d1bba391b23785d7bed6b41103b"", ""content_manifest"": "".record/source-snapshots/src-25a6634263c1.tar.files.tsv"", ""content_manifest_bytes"": 345584, ""content_manifest_sha256"": ""d2438f67d48b52aa8e97342d1a449a36bab11d3ec8490ccb7f263eabff9098d8"", ""encoded_bytes"": 61477749, ""encoded_sha256"": ""1a4ff1486b6a2527a11d4a632073d3bb9f44be1c7ec683a7733a00e100ab47e3"", ""parts"": [{""bytes"": 50331648, ""path"": ""src-25a6634263c1.tar.zst.part-0000"", ""sha256"": ""1f838dab0058e2dc887592b185b3e44e554fcf9a17bccf67e781ae470f6c1136""}, {""bytes"": 11146101, ""path"": ""src-25a6634263c1.tar.zst.part-0001"", ""sha256"": ""0f2f1699d02ea71b7c61115ff0a2051a55765fdce110293e6d74495822640176""}], ""tar_bytes"": 82083840, ""tar_sha256"": ""f5dbd2cce26e2615e2cfb2016980d292a51c449a72c68747abf02bfc4a4d9729""}"
