source_path	destination_path	type	mode	mtime_ns	size	sha256	symlink_target	action	classification	reason	encoded
.specula-output	.specula-output	directory	0775	1782828760793399388				mkdir	run-directory		
.specula-output/agent.log	.specula-output/agent.log	file	0664	1782036755362200521	2493	9fbb9fe4552109bbd3659b4d18c80af02e096243755c529d99d155779ee09655		copy	run-evidence		
.specula-output/agent.pid		file	0664	1782035050001636039	8	190f12ca59469ec6741e2070501c540d48f76424a0490f2e4d8c845461343d90		exclude	non-evidence	ephemeral-process-id	
.specula-output/agent.raw.json	.specula-output/agent.raw.json	file	0664	1782036754961192837	3991	5ff43b738ddff4fe2f58601a0d327c5f1ff07881ba5aad4d52496c202fdf91d1		copy	run-evidence		
.specula-output/agent.usage.json	.specula-output/agent.usage.json	file	0664	1782036755391201077	1571	93641c7844fd3944ac2b0f0e23f59576a9b654b2b180c83c49c6d31b6ef330a9		copy	run-evidence		
.specula-output/bug-classification.log	.specula-output/bug-classification.log	file	0664	1782050444906814086	2320	f782d6c0e601b313f5c1a1fb5e5a492c2453c187ce638211e70cc53a2f6ed160		copy	run-evidence		
.specula-output/bug-classification.pid		file	0664	1782050175200465090	8	26fb0de227c1fa391142cbac6fc063d6e62ca9de7e3abaa042304a34299f5b83		exclude	non-evidence	ephemeral-process-id	
.specula-output/bug-classification.raw.json	.specula-output/bug-classification.raw.json	file	0664	1782050444647808960	3791	1c210521139223813f014981475614e49e3709e1468f2d6404d1505485ff0149		copy	run-evidence		
.specula-output/bug-classification.usage.json	.specula-output/bug-classification.usage.json	file	0664	1782050444933814620	1537	14fa5270e64bc0e278dcab7ebe03c1b327ca8d842e63abf0f785ad11bb6b65ea		copy	run-evidence		
.specula-output/bug-confirmation.log	.specula-output/bug-confirmation.log	file	0664	1782050174733455683	2764	b5537f7601c5b9c88499552b7f00e894588cbfa043d85e69df468660aec42302		copy	run-evidence		
.specula-output/bug-confirmation.pid		file	0664	1782048164558797636	8	66ad2586b20216e89b8e4da766a8e6a08f39930b4b5dccdbd8732b2a407289a4		exclude	non-evidence	ephemeral-process-id	
.specula-output/bug-confirmation.raw.json	.specula-output/bug-confirmation.raw.json	file	0664	1782050174463450243	4287	9f190e7c8b7df59b2d6f7be6318b5a51805ce663854e2bb58854e15c6e6c5c86		copy	run-evidence		
.specula-output/bug-confirmation.usage.json	.specula-output/bug-confirmation.usage.json	file	0664	1782050174764456307	1595	44da5b48539f8989b7e873069b2ccd5520e93743ef1c1b07ad85ca0d5a723b17		copy	run-evidence		
.specula-output/harness	.specula-output/harness	directory	0775	1782828760792399369				mkdir	run-directory		
.specula-output/harness-gen.log	.specula-output/harness-gen.log	file	0664	1782040911103182166	2545	e5f8ee9b4a5edce902edf6ae023399f099f779f615be17a47b4a7c97bc6a5126		copy	run-evidence		
.specula-output/harness-gen.pid		file	0664	1782039602033263494	8	7c308555b4a7926fe103154e87eb1e5ae4dc5735839e6aca39da7c4ddec93f2f		exclude	non-evidence	ephemeral-process-id	
.specula-output/harness-gen.raw.json	.specula-output/harness-gen.raw.json	file	0664	1782040910837177249	4049	3b434f2f38a8f84cc1248becd04fe029bfed7fba0f7921d9d9101969613ee9ab		copy	run-evidence		
.specula-output/harness-gen.usage.json	.specula-output/harness-gen.usage.json	file	0664	1782040911131182684	1562	81ee697c1e9ca94d1ddaa5c735065c8204a5fc3e4cc1ab4cf57e80fd65b466c4		copy	run-evidence		
.specula-output/harness/apply.sh	.specula-output/harness/apply.sh	file	0775	1782040677893908756	2394	51439bc430bd914606ea82999c646f977dba1f1f7b3c001c77dbfe3604f7c6d8		copy	run-evidence		
.specula-output/harness/patches	.specula-output/harness/patches	directory	0775	1782040640219264294				mkdir	run-directory		
.specula-output/harness/run.sh	.specula-output/harness/run.sh	file	0775	1782040734129917359	4761	10451d190cbc13296382c92312fdd72827ce78059837f31bb4e9c411a66bfab8		copy	run-evidence		
.specula-output/harness/src	.specula-output/harness/src	directory	0775	1782828760792399369				mkdir	run-directory		
.specula-output/harness/src/scenario_trace_test.go	.specula-output/harness/src/scenario_trace_test.go	file	0664	1782040640222264352	9014	55b05dd825ded456e5a17fa5a058523b8c2b331203bfc845a36c4e1870a93c21		copy	run-evidence		
.specula-output/harness/src/state.go	.specula-output/harness/src/state.go	file	0664	1782040640223264371	90173	2b14d0bf11fa54d197ca11419aac9abbf6fa3250972c073201e85a43cc71a912		copy	run-evidence		
.specula-output/harness/src/trace_emit.go	.specula-output/harness/src/trace_emit.go	file	0664	1782040640220264314	3689	a8c871470f893250ee7fce85a2756061faec9c1c2423e4fce7ebecad8c908fbb		copy	run-evidence		
.specula-output/pipeline.log	.specula-output/pipeline.log	file	0664	1782050444988815709	9360	3d4d203e3d7e445ccfc18d54708c148501577c52605c6df295550275a17f481d		copy	run-evidence		
.specula-output/repro	.specula-output/repro	directory	0775	1782828760793399388				mkdir	run-directory		
.specula-output/repro/cr4_strace_evidence.txt	.specula-output/repro/cr4_strace_evidence.txt	file	0664	1782049909802004950	962	85954d243c6c8086f62ae8bcb9c40026877307a945cffe19eee7c71d1d7f66c5		copy	run-evidence		
.specula-output/repro/cr4probe_main.go	.specula-output/repro/cr4probe_main.go	file	0664	1782049881585393426	1542	96b0d0bd5089fbdd74fec96110b0f3ce5f09f20c20c9049cb4a180cf361f0edc		copy	run-evidence		
.specula-output/repro/test_bug1_ve_asymmetry_test.go	.specula-output/repro/test_bug1_ve_asymmetry_test.go	file	0664	1782049881580393315	7169	aef19bd578947b22197d7173d7465659637628d0ba92d6b850e2c603ffa0e11f		copy	run-evidence		
.specula-output/repro/test_bug2_pol_value_unbound_test.go	.specula-output/repro/test_bug2_pol_value_unbound_test.go	file	0664	1782049881581393337	5692	7e25e37c53f2b68135477816dd32b72a326babfa3f2709b85d705d6f2dfc6f81		copy	run-evidence		
.specula-output/repro/test_bug3_catchup_part_dropped_test.go	.specula-output/repro/test_bug3_catchup_part_dropped_test.go	file	0664	1782049881582393360	3086	895caf5466d9e6a6367f5e87c32d90a9fd310815eea84872d4b8b9088c44cd71		copy	run-evidence		
.specula-output/repro/test_bug_cr4_dir_fsync.sh	.specula-output/repro/test_bug_cr4_dir_fsync.sh	file	0775	1782049903240863603	2575	9be9be4e137152c9719d9cfe970134ec1aad8a14053cecd5d9d0fc3396d7f5b1		copy	run-evidence		
.specula-output/repro/test_bug_cr5_bitarray_overcount_test.go	.specula-output/repro/test_bug_cr5_bitarray_overcount_test.go	file	0664	1782049881584393404	2476	41f730381ada5567d5a3676c6dc7a7e6f835ffb8eb233614f5b9585af9fd3583		copy	run-evidence		
.specula-output/spec	.specula-output/spec	directory	0775	1784693605301322552				mkdir	run-directory		
