source_path	destination_path	type	mode	mtime_ns	size	sha256	symlink_target	action	classification	reason	encoded
cometbft-p2p-mconn	cometbft-p2p-mconn	directory	0700	1784263514796991655				mkdir	run-directory		
cometbft-p2p-mconn/.specula-output	cometbft-p2p-mconn/.specula-output	directory	0700	1784264109562212153				mkdir	run-directory		
cometbft-p2p-mconn/.specula-output/.prompt-extra.md	cometbft-p2p-mconn/.specula-output/.prompt-extra.md	file	0600	1784263514798991696	2525	6f30c03a91dd12adf241704123285fa87c9d70e118926d4d77e8e2384b53e28b		copy	run-evidence		
cometbft-p2p-mconn/.specula-output/.prompt.md	cometbft-p2p-mconn/.specula-output/.prompt.md	file	0600	1784264109483210663	4270	107ff43e718d2edd7f183352b059059463f47e98d0d131d990c555b858c00e2b		copy	run-evidence		
cometbft-p2p-mconn/.specula-output/agent.activity.jsonl	cometbft-p2p-mconn/.specula-output/agent.activity.jsonl	file	0600	1784264961576473008	36943	d44b3a9e5f3f200702d09fcfba8b779b60e564f21cb4825d243597e04b3c20c3		copy	run-evidence		
cometbft-p2p-mconn/.specula-output/agent.log	cometbft-p2p-mconn/.specula-output/agent.log	file	0600	1784264961549472514	15475	f12d2ac81024727ecbdaa1ba02d3d3c3833ec81ec59602f9277772f040661bc1		copy	run-evidence		
cometbft-p2p-mconn/.specula-output/agent.pid		file	0600	1784264109484210682	8	107708910be77d0081925100804fa500c3a4e0f5967848766fa2121940925cd5		exclude	non-evidence	ephemeral-process-id	
cometbft-p2p-mconn/.specula-output/agent.usage.json	cometbft-p2p-mconn/.specula-output/agent.usage.json	file	0600	1784264962457489150	245	6bd1cc868c951af45005276bf5c33ba6417ce95e5647e30ccc06b7596850a3cf		copy	run-evidence		
external:artifact	.record/source-snapshots/external-artifact-539554476da0.tar	directory	0700	1784262678484382269	72145905	3939467ec8b955d495865c648d0678931302a4142d3468f4835f81bb2faa7ef4		snapshot	source-snapshot	non-git-source-snapshot	"{""codec"": ""zstd"", ""codec_version"": ""1.5.5"", ""content_entries"": 1972, ""content_id"": ""sha256:3939467ec8b955d495865c648d0678931302a4142d3468f4835f81bb2faa7ef4"", ""content_manifest"": "".record/source-snapshots/external-artifact-539554476da0.tar.files.tsv"", ""content_manifest_bytes"": 253868, ""content_manifest_sha256"": ""14a6c1ffe55218bd22d6a9816bcd0cd8dafe6600afd6aad49507e27d87854365"", ""encoded_bytes"": 60054810, ""encoded_sha256"": ""5868dcd5f68723c1850cc7ffeb8242be4bbde9825ad8c8c432d6e2fdd454b28e"", ""parts"": [{""bytes"": 50331648, ""path"": ""external-artifact-539554476da0.tar.zst.part-0000"", ""sha256"": ""9ee2dc7518861c71b3821423ec09ec356dd5af22323d644677be5e60accd5c85""}, {""bytes"": 9723162, ""path"": ""external-artifact-539554476da0.tar.zst.part-0001"", ""sha256"": ""eb681bebadbaacac42f5559e3b2909fc8aaf379301d017193c9f06bffa9ce86b""}], ""tar_bytes"": 75622400, ""tar_sha256"": ""27a7808c05ca352859ef0e4b0505143d544c73d4cc68e0f3c92486f7b200a077""}"
pipeline.log	pipeline.log	file	0600	1784264963023499520	34150	74e61e955ef97a33712196137472c82679631f53ca52d1f315a425511ff2ab07		copy	run-evidence		
run.json	run.json	file	0600	1784263514902993782	1105	15665ab278eed48132160ed8e0a61deeb313afef837f858e71a23fa4a067b1c1		copy	run-evidence		
tlc-resources.json	tlc-resources.json	file	0600	1784263514895993642	69	6069a8883123abb4236d69b1be53f2d7de8e990560396ea3aa0d3e3cb695e025		copy	run-evidence		
