source_path	destination_path	type	mode	mtime_ns	size	sha256	symlink_target	action	classification	reason	encoded
cometbft-p2p-mconn	cometbft-p2p-mconn	directory	0700	1784284809867930496				mkdir	run-directory		
cometbft-p2p-mconn/.specula-output	cometbft-p2p-mconn/.specula-output	directory	0700	1784288098580239625				mkdir	run-directory		
cometbft-p2p-mconn/.specula-output/.prompt-extra.md	cometbft-p2p-mconn/.specula-output/.prompt-extra.md	file	0600	1784284809869930536	2525	6f30c03a91dd12adf241704123285fa87c9d70e118926d4d77e8e2384b53e28b		copy	run-evidence		
cometbft-p2p-mconn/.specula-output/.prompt.md	cometbft-p2p-mconn/.specula-output/.prompt.md	file	0600	1784288098501238087	4276	90d94061420bb5a4399af2ca5f0168a825a426a65be788d5f24baf04ed265199		copy	run-evidence		
cometbft-p2p-mconn/.specula-output/agent.activity.jsonl	cometbft-p2p-mconn/.specula-output/agent.activity.jsonl	file	0600	1784288253326251759	6534	7e60408e2e62ed26e06252deed1ae50014ec301fa85df95d5b3a7cce060e1d22		copy	run-evidence		
cometbft-p2p-mconn/.specula-output/agent.log	cometbft-p2p-mconn/.specula-output/agent.log	file	0600	1784288253312251485	2719	6e42d7d617f8909f8deb242e9e6563bbc66ce9f3aeabd2e8bcf3f0fc44cfe703		copy	run-evidence		
cometbft-p2p-mconn/.specula-output/agent.pid		file	0600	1784288098503238126	7	2b781cd3c10bba57d437215f20fb0d3190e881db9e577a90994505f3ccc9fa3d		exclude	non-evidence	ephemeral-process-id	
cometbft-p2p-mconn/.specula-output/agent.usage.json	cometbft-p2p-mconn/.specula-output/agent.usage.json	file	0600	1784288253876262504	245	3ddf7a7f634f7bb59455749fcc82274851696905c3d79832a2d1e58add0db780		copy	run-evidence		
external:artifact	.record/source-snapshots/external-artifact-539554476da0.tar	directory	0700	1784262678484382269	72145905	3939467ec8b955d495865c648d0678931302a4142d3468f4835f81bb2faa7ef4		snapshot	source-snapshot	non-git-source-snapshot	"{""codec"": ""zstd"", ""codec_version"": ""1.5.5"", ""content_entries"": 1972, ""content_id"": ""sha256:3939467ec8b955d495865c648d0678931302a4142d3468f4835f81bb2faa7ef4"", ""content_manifest"": "".record/source-snapshots/external-artifact-539554476da0.tar.files.tsv"", ""content_manifest_bytes"": 253868, ""content_manifest_sha256"": ""14a6c1ffe55218bd22d6a9816bcd0cd8dafe6600afd6aad49507e27d87854365"", ""encoded_bytes"": 60054810, ""encoded_sha256"": ""5868dcd5f68723c1850cc7ffeb8242be4bbde9825ad8c8c432d6e2fdd454b28e"", ""parts"": [{""bytes"": 50331648, ""path"": ""external-artifact-539554476da0.tar.zst.part-0000"", ""sha256"": ""9ee2dc7518861c71b3821423ec09ec356dd5af22323d644677be5e60accd5c85""}, {""bytes"": 9723162, ""path"": ""external-artifact-539554476da0.tar.zst.part-0001"", ""sha256"": ""eb681bebadbaacac42f5559e3b2909fc8aaf379301d017193c9f06bffa9ce86b""}], ""tar_bytes"": 75622400, ""tar_sha256"": ""27a7808c05ca352859ef0e4b0505143d544c73d4cc68e0f3c92486f7b200a077""}"
pipeline.log	pipeline.log	file	0600	1784288254629277216	92239	c98d7488eed0234cbfc857e7055527f77b07a2a625a8955a8eec85c95746027b		copy	run-evidence		
run.json	run.json	file	0600	1784284809974932630	1133	e6b281e370a135a72e1cc2571f8479b1990359b7c026e8122e1bf9c9e61020c3		copy	run-evidence		
tlc-resources.json	tlc-resources.json	file	0600	1784284809968932511	69	6069a8883123abb4236d69b1be53f2d7de8e990560396ea3aa0d3e3cb695e025		copy	run-evidence		
