source_path	destination_path	type	mode	mtime_ns	size	sha256	symlink_target	action	classification	reason	encoded
cometbft-remote-privval	cometbft-remote-privval	directory	0700	1784223522780139270				mkdir	run-directory		
cometbft-remote-privval/.specula-output	cometbft-remote-privval/.specula-output	directory	0700	1784223717124941850				mkdir	run-directory		
cometbft-remote-privval/.specula-output/.prompt-extra.md	cometbft-remote-privval/.specula-output/.prompt-extra.md	file	0600	1784223522782139309	2671	353b7040d85a44e57ab4e9f37f2029496bf4d28dda4857f6129a222c006ec05a		copy	run-evidence		
cometbft-remote-privval/.specula-output/.prompt.md	cometbft-remote-privval/.specula-output/.prompt.md	file	0600	1784223523481152995	3957	4e1ca77f7c85119f997a759d8d5a5cba9f547ac38a943799cef1f0dc8a2be94b		copy	run-evidence		
cometbft-remote-privval/.specula-output/agent.activity.jsonl	cometbft-remote-privval/.specula-output/agent.activity.jsonl	file	0600	1784223717043940264	10168	08fece41203b3af0f29085b086a71f892e41754aae79ff92053b96ddb4969b23		copy	run-evidence		
cometbft-remote-privval/.specula-output/agent.log	cometbft-remote-privval/.specula-output/agent.log	file	0600	1784223716986939149	3308	f33aab77c93907f05d03413e7fdc8b1dcdaae4d271ffefd1d64e37d19612a40c		copy	run-evidence		
cometbft-remote-privval/.specula-output/agent.pid		file	0600	1784223523482153015	8	858894da46999302479eb2fcdccb153404eb9de59849da94f85526efbc6ec783		exclude	non-evidence	ephemeral-process-id	
cometbft-remote-privval/.specula-output/agent.usage.json	cometbft-remote-privval/.specula-output/agent.usage.json	file	0600	1784223717921957447	245	cf3c31415ea2927b8d82941e4c8b02c7a19fb3a775eb7eadde754337e834f32c		copy	run-evidence		
external:artifact	.record/source-snapshots/external-artifact-539554476da0.tar	directory	0700	1784221822785766018	72185920	5bb5aea56c063903eff395252d1d88528fd29a7b603b23e8f79760884040fa25		snapshot	source-snapshot	non-git-source-snapshot	"{""codec"": ""zstd"", ""codec_version"": ""1.5.5"", ""content_entries"": 1974, ""content_id"": ""sha256:5bb5aea56c063903eff395252d1d88528fd29a7b603b23e8f79760884040fa25"", ""content_manifest"": "".record/source-snapshots/external-artifact-539554476da0.tar.files.tsv"", ""content_manifest_bytes"": 254142, ""content_manifest_sha256"": ""5c34670bff4971c7e40955d43d597f001104fa789c3613eea52cec2665076d32"", ""encoded_bytes"": 60062404, ""encoded_sha256"": ""b8c99e5f571df645fd5adf1bb3648e182ed0e9e70865ac86c7edab914752709c"", ""parts"": [{""bytes"": 50331648, ""path"": ""external-artifact-539554476da0.tar.zst.part-0000"", ""sha256"": ""bd96390da63eae32a7691493168d0f5f48051cc07f5984b0599b8f465956ccb3""}, {""bytes"": 9730756, ""path"": ""external-artifact-539554476da0.tar.zst.part-0001"", ""sha256"": ""ffecdca6afbd4ea856ede94960283f23394ff79a766cd6733d353cb617234f69""}], ""tar_bytes"": 75663360, ""tar_sha256"": ""a7ab3870f4a6ee2722b95f239ceaddb6541ab9c979d96dcb5c45c26fc84069e0""}"
pipeline.log	pipeline.log	file	0600	1784223718626971243	5959	7350f3aa1e0dbd569815928e423dbea6e166d20e505d26270dbb5e46980dad75		copy	run-evidence		
run.json	run.json	file	0600	1784223522881141247	1095	14024d86d505c211a2f6bf72ef91ba8a4279717d6d8fba3bf97f3e2a0a83af53		copy	run-evidence		
tlc-resources.json	tlc-resources.json	file	0600	1784223522875141130	69	6069a8883123abb4236d69b1be53f2d7de8e990560396ea3aa0d3e3cb695e025		copy	run-evidence		
