source_path	destination_path	type	mode	mtime_ns	size	sha256	symlink_target	action	classification	reason	encoded
.specula-output	.specula-output	directory	0775	1780240685636511746				mkdir	run-directory		
.specula-output/.bug-classification-prompt.md	.specula-output/.bug-classification-prompt.md	file	0664	1780240465895326984	3459	a7f16f9a5cbf09bcd510223d354477842987c6272b74b1a1728256f200d73c53		copy	run-evidence		
.specula-output/.bug-confirmation-prompt.md	.specula-output/.bug-confirmation-prompt.md	file	0664	1780307077062021013	1848	9f7374bb2ae7f9e308c1537a73bd650303fb6fb45ade5c8c81dd312bf2792afa		copy	run-evidence		
.specula-output/.harness-gen-prompt.md	.specula-output/.harness-gen-prompt.md	file	0664	1780223591234347557	2391	c5be16c21bfa6b8183a09c9aa6d1712a4bf5868a138ab7026ffb43c7c330739f		copy	run-evidence		
.specula-output/.prompt.md	.specula-output/.prompt.md	file	0664	1780217338713393415	3328	6fa373720fcd49ff55b832031b76f3783d406f9cb568dc2708a1669f49b5c030		copy	run-evidence		
.specula-output/.spec-gen-prompt.md	.specula-output/.spec-gen-prompt.md	file	0664	1780218999473691520	4219	003778b0cc675aaa15c5c300ae46827b7217808b87a3272c164e8a3e39770172		copy	run-evidence		
.specula-output/.spec-validation-prompt.md	.specula-output/.spec-validation-prompt.md	file	0664	1780228460501776332	2457	0faf4ec645cdd3f4aee5fe826a97e1136fe7af0b4233e054f90ce7d6f46664a9		copy	run-evidence		
.specula-output/agent.log	.specula-output/agent.log	file	0664	1780218999082684022	2782	e4cd47e52b06fd6409fe1c02baa59785cfc1c8dbaa4cfc42721249fce9634da7		copy	run-evidence		
.specula-output/agent.pid		file	0664	1780217338714393437	8	b26cef7a86af98a9a2d879b25eb25ae6981c2bc967ad6702696eb590ee1379bf		exclude	non-evidence	ephemeral-process-id	
.specula-output/agent.raw.json	.specula-output/agent.raw.json	file	0664	1780218998798678576	4220	becdabb4f6aad9a0dd4205c6ea91f172cc9d807da86d57efefe2dad2e800bd88		copy	run-evidence		
.specula-output/agent.usage.json	.specula-output/agent.usage.json	file	0664	1780218999113684616	1556	775835b6efe16f01b73f5f94e7f262d40b1342d540d5009c11cce2b4ae0c510b		copy	run-evidence		
.specula-output/analysis-report.md	.specula-output/analysis-report.md	file	0664	1780218816357188183	19282	feeb5a3680ccc44f5c36a61bfcd94d718025f4f64dde6f7ac87fb993d5f2da07		copy	run-evidence		
.specula-output/bug-classification.log	.specula-output/bug-classification.log	file	0664	1780240685580510677	1504	d97e8b1abbded2f736338284a4913f50458b2e907ac2eacce8a1e87fc21d1129		copy	run-evidence		
.specula-output/bug-classification.pid		file	0664	1780240465897327022	7	71b645f3b22a9066923f36534d13630b8aaf00c317f99495749627e2c45069d0		exclude	non-evidence	ephemeral-process-id	
.specula-output/bug-classification.raw.json	.specula-output/bug-classification.raw.json	file	0664	1780240685175502940	2919	4a15227a39abaf41d2e5e4ea59f35304625cdee015fde15d32fe94ff0397b733		copy	run-evidence		
.specula-output/bug-classification.usage.json	.specula-output/bug-classification.usage.json	file	0664	1780240685604511135	1546	fbdcb7b67e1e71ad3b026771b03e461e76697d291b141225cd3765bcddc8983e		copy	run-evidence		
.specula-output/bug-confirmation.log	.specula-output/bug-confirmation.log	file	0664	1780308513823931956	3026	d2c477a4bc10234360ee17bd17a989a85ca144fa215e28d99e7eee41d4111d65		copy	run-evidence		
.specula-output/bug-confirmation.pid		file	0664	1780307077064021052	8	3d5521de048374cf68f930e68dbe2a946e7c67be6e8013d791a32cce12c0037a		exclude	non-evidence	ephemeral-process-id	
.specula-output/bug-confirmation.raw.json	.specula-output/bug-confirmation.raw.json	file	0664	1780308513569927007	4483	5db8533e2f7edaba193ff4d063e558d5c61b30f363838b224af64eb4fdaa8b74		copy	run-evidence		
.specula-output/bug-confirmation.usage.json	.specula-output/bug-confirmation.usage.json	file	0664	1780308513850932483	1574	112008d89d0aa490c70df78e014b17eb52dbf0d8630e9d13dfe341935f8f1e20		copy	run-evidence		
.specula-output/harness	.specula-output/harness	directory	0775	1780228194999698781				mkdir	run-directory		
.specula-output/harness-gen.log	.specula-output/harness-gen.log	file	0664	1780228460127769106	2824	91e9ad603a04eaccc774fc969d36f8e412e7339645e0efc9c86292d73bc0336d		copy	run-evidence		
