source_path	destination_path	type	mode	mtime_ns	size	sha256	symlink_target	action	classification	reason	encoded
.specula-output	.specula-output	directory	0775	1782862321297607716				mkdir	run-directory		
.specula-output/.harness-gen-prompt.md	.specula-output/.harness-gen-prompt.md	file	0664	1782862321293607635	2013	012622557ee3c14eeecfd722b71403ea3641d9d56f49d4833c9a29c9b0aac3fa		copy	run-evidence		
.specula-output/.prompt.md	.specula-output/.prompt.md	file	0664	1782856906324412858	1072	3f92b1b8214081615478d0d895dacc8fae15dcf88d0cb3e153a92b21bb2d6b30		copy	run-evidence		
.specula-output/.spec-gen-prompt.md	.specula-output/.spec-gen-prompt.md	file	0664	1782858080569214813	1935	3f58ee8ce4920d7f3697bc07c9c42e542811518b41287fd36a27da176d6cd4c3		copy	run-evidence		
.specula-output/agent.log	.specula-output/agent.log	file	0664	1782858080038204105	2394	79090f6a017a5672ab3919c16f421786b029f2d0687f0697a9c42d0985b57520		copy	run-evidence		
.specula-output/agent.pid		file	0664	1782856906328412942	8	604e629fdade35876e73ed591ba30b6e387460e0f004fb6b4088735f30e05630		exclude	non-evidence	ephemeral-process-id	
.specula-output/agent.raw.json	.specula-output/agent.raw.json	file	0664	1782858079717197632	3901	97e4d8de4a16ddc4cc81e665a5d42bdc616f107c87dc5d7e3ebaf02b7bb98598		copy	run-evidence		
.specula-output/agent.usage.json	.specula-output/agent.usage.json	file	0664	1782858080095205255	1575	a211106caa032cae33a02d56e6665546aa77dea091ac26a1e1a6c42bff5ac0e8		copy	run-evidence		
.specula-output/analysis-report.md	.specula-output/analysis-report.md	file	0664	1782857903497553028	14287	fd9e4fd0f1dad22e23d541e25cdaaf36a1bb70ef701b9f495c4bcd986de998da		copy	run-evidence		
.specula-output/harness	.specula-output/harness	directory	0775	1782862991247080543				mkdir	run-directory		
.specula-output/harness-gen.pid		file	0664	1782862321294607655	8	5917dbf7d097d36c06de67f60e50ea0cb89e27e8a9c6d9b842bc89c8a265696a		exclude	non-evidence	ephemeral-process-id	
.specula-output/harness-gen.raw.json	.specula-output/harness-gen.raw.json	file	0664	1782862321297607716	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855		copy	run-evidence		
.specula-output/harness/src	.specula-output/harness/src	directory	0775	1782863789166112651				mkdir	run-directory		
.specula-output/harness/src/tla_trace.rs	.specula-output/harness/src/tla_trace.rs	file	0664	1782863789162112571	9239	3c10135aedd60505a935d6336076cb3753c8a2b203bdb3e9aed46d1c5599459a		copy	run-evidence		
.specula-output/modeling-brief.md	.specula-output/modeling-brief.md	file	0664	1782858001504597240	16056	f4fbbdd514c45093a90cff726d3c4098194c52fe1da0df975c1d3990d70fe264		copy	run-evidence		
.specula-output/spec	.specula-output/spec	directory	0775	1782860999381632245				mkdir	run-directory		
.specula-output/spec-gen.log	.specula-output/spec-gen.log	file	0664	1782861094563613535	2551	be329c2c233cd4873025a5b2918931fb7da23143128c0ca939cd1d9776d21ca6		copy	run-evidence		
.specula-output/spec-gen.pid		file	0664	1782858080571214853	8	181304e7b597fc407af6de2fcb0a2650a002a0403975375f609f215a9896c2af		exclude	non-evidence	ephemeral-process-id	
.specula-output/spec-gen.raw.json	.specula-output/spec-gen.raw.json	file	0664	1782861094270607488	4052	8ec7ee56ae3011b94b9e22962bf8d32d13cd7c0560693bd9be5978b1dde08e29		copy	run-evidence		
.specula-output/spec-gen.usage.json	.specula-output/spec-gen.usage.json	file	0664	1782861094603614360	1569	c9f5341cfcf15dba89d9a45ba0326c1a1abfc9f91e07c89122b1432256f2412c		copy	run-evidence		
.specula-output/spec/MC.cfg	.specula-output/spec/MC.cfg	file	0664	1782860099703314115	1024	f531a3aaf61b77ae1249978479a984df0859a3b6ff97845ca1591a4d1816c838		copy	run-evidence		
.specula-output/spec/MC.tla	.specula-output/spec/MC.tla	file	0664	1782860090778126280	3719	c6ddafc5ba5cad9ff24979ed561404156354e7af8747c486dc5d3067998f3271		copy	run-evidence		
.specula-output/spec/MC_hunt_family1_mc1.cfg	.specula-output/spec/MC_hunt_family1_mc1.cfg	file	0664	1782860131030952502	1067	fea3ed9125e592e21f9fb07941210a423ef4e44733fba2dcaa02541ef6909764		copy	run-evidence		
