source_path	destination_path	type	mode	mtime_ns	size	sha256	symlink_target	action	classification	reason	encoded
.harness-gen-prompt.md	.harness-gen-prompt.md	file	0664	1773321105798716284	3648	bd9f363270b7fb8781af9566056bb12e9394b7ca2c05ccbb9dd4db6e98155b4a		copy	run-evidence		
.prompt-extra.md	.prompt-extra.md	file	0664	1773287690790401598	1468	ea7360938db49ade3f3b2f370318ec4b707798c182117c33c441861b7c36153f		copy	run-evidence		
.prompt.md	.prompt.md	file	0664	1773306154816380742	4100	68314fca1a055ac0791a1cd1e8b93660ef835358ca315b33a0f184dfac17d752		copy	run-evidence		
.spec-gen-prompt.md	.spec-gen-prompt.md	file	0664	1773307270543406505	4310	8b81445bc8b880315738c52e2b6d0d37610ca180e6e968301617ac741386cb2f		copy	run-evidence		
.spec-validation-prompt.md	.spec-validation-prompt.md	file	0664	1773323395482548063	3422	f500346b4148df3d40af598c1824a3f3af917469a3effe9739d178e76b91ed35		copy	run-evidence		
agent.log	agent.log	file	0664	1773307270091398394	1831	30055bf3d893570d2ef6003ea3b35a1ced70f8a79aafb79c337faa95a0f1a417		copy	run-evidence		
agent.pid		file	0664	1773306154817380759	8	5ffb2b71b439c98c0e69864fe4f4f74b21160ba0466b37b7828f6e6f501d6e25		exclude	non-evidence	ephemeral-process-id	
analysis-report.md	analysis-report.md	file	0664	1773307145608163881	18952	2be2c6688937996705ba3bbe0463c21a60e1c52c744a17a1ffe3b94b549bd910		copy	run-evidence		
artifact	.record/source-snapshots/artifact.tar	directory	0775	1773286590543550030	0	8a19b7b67ede140bb230b3c1050a771c35243be0338d3e16495eb9c42585119f		snapshot	source-snapshot	non-git-source-snapshot	"{""codec"": ""zstd"", ""codec_version"": ""1.5.5"", ""content_entries"": 1, ""content_id"": ""sha256:8a19b7b67ede140bb230b3c1050a771c35243be0338d3e16495eb9c42585119f"", ""content_manifest"": "".record/source-snapshots/artifact.tar.files.tsv"", ""content_manifest_bytes"": 104, ""content_manifest_sha256"": ""7f8028e37ec9bed1d33b985410c83eefe59e5abdd8d5c83d3cc53111005c9ef1"", ""encoded_bytes"": 23, ""encoded_sha256"": ""ef077a15315f941a8fc5700796762259eb286177402b33c31d5bddc62df4a397"", ""parts"": [{""bytes"": 23, ""path"": ""artifact.tar.zst"", ""sha256"": ""ef077a15315f941a8fc5700796762259eb286177402b33c31d5bddc62df4a397""}], ""tar_bytes"": 10240, ""tar_sha256"": ""84ff92691f909a05b224e1c56abb4864f01b4f8e3c854e4bb4c7baf1d3f6d652""}"
artifact/dpdk	.record/source-snapshots/artifact-dpdk-84e632625b7a.tar	directory	0775	1778176771217101076	326964536	e0f2768ca669764bf4af46239833e6d7d51d3bbbb2cbb35a62a241948f57e94e		snapshot	source-snapshot	non-git-source-snapshot	"{""codec"": ""zstd"", ""codec_version"": ""1.5.5"", ""content_entries"": 14899, ""content_id"": ""sha256:e0f2768ca669764bf4af46239833e6d7d51d3bbbb2cbb35a62a241948f57e94e"", ""content_manifest"": "".record/source-snapshots/artifact-dpdk-84e632625b7a.tar.files.tsv"", ""content_manifest_bytes"": 2089867, ""content_manifest_sha256"": ""4a78abe07792604ea10558953eee169958c72d66398d6b1eea375c9616ce797c"", ""encoded_bytes"": 72859576, ""encoded_sha256"": ""8ed3b593ef981dbf97457d143fa74b81728b1c6fb8b76414a4954f1f24d97dae"", ""parts"": [{""bytes"": 50331648, ""path"": ""artifact-dpdk-84e632625b7a.tar.zst.part-0000"", ""sha256"": ""12fea5d963e3e4bc766c002e8a44d7251c24c95b64f59b4bfbc470b96dcbeaed""}, {""bytes"": 22527928, ""path"": ""artifact-dpdk-84e632625b7a.tar.zst.part-0001"", ""sha256"": ""0c2b1187a08d190b220ec30fabe33160f218d3e0b365e9e6518e0442b65f901e""}], ""tar_bytes"": 346664960, ""tar_sha256"": ""f7efcda5b56cbc480d656fafc767799e0415337ad0695f00d3802e1b84c9c3c6""}"
harness	harness	directory	0775	1773323377593201140				mkdir	run-directory		
harness-gen.log	harness-gen.log	file	0664	1773323394902536739	827	5a7f725aa8738008128e3d208cc6ed9619567671f7d2f16d6c7fdd7fd15939cd		copy	run-evidence		
harness-gen.pid		file	0664	1773321105801716347	8	42a1103cd66ddab3d5adb66fe75dba11621a33bcf7f9640104ed42e8e8a05628		exclude	non-evidence	ephemeral-process-id	
harness/INSTRUMENTATION.md	harness/INSTRUMENTATION.md	file	0664	1773323377585200948	6533	60ed307711065f1d3704eff06c01bca3f638b5d6aed0ec59a04a44eab0311722		copy	run-evidence		
harness/apply.sh	harness/apply.sh	file	0775	1773322440232323602	759	5ea24be6c1ef1dbb9fa91b997784ff401829a061c004e8d6fcbbc7067dd9f4d1		copy	run-evidence		
harness/patches	harness/patches	directory	0775	1773322408832750032				mkdir	run-directory		
harness/patches/instrumentation.patch	harness/patches/instrumentation.patch	file	0664	1773322408854750431	4384	2b70c7402c05a0cd769e13f6358b42c75c359a62aac7a60c09b8c8165d92ae55		copy	run-evidence		
harness/run.sh	harness/run.sh	file	0775	1773322660729142176	3324	dc74e9e4b68351e6be19afa911daf05e128b680f240c8562d1ff0aa4c13a7105		copy	run-evidence		
harness/src	harness/src	directory	0775	1773323008493847828				mkdir	run-directory		
harness/src/rte_ring_tla_trace.h	harness/src/rte_ring_tla_trace.h	file	0664	1773322199764875241	5406	c052db0697f64728bfc00b25f6aac83543dce18290572da26e4985c3d4468a23		copy	run-evidence		
harness/src/test_ring_trace.c	harness/src/test_ring_trace.c	file	0664	1773323008489847756	8062	585ae5f28c3aa996b698fefdd54b6e4c9668afcb8859b46a9f39111b0402dea8		copy	run-evidence		
harness/test_ring_trace	harness/test_ring_trace	file	0775	1773323050929642335	137168	68a68b2a47259f7326957b1a06bf16cb45d208f6f2490c475751ea8cf2c7b204		copy	run-evidence		
modeling-brief.md	modeling-brief.md	file	0664	1773307247408991273	15887	b95dbc3f2a0bc4e96d55c00ffdf4c84134329404d72ed11e8393a53e163aff8a		copy	run-evidence		
spec	spec	directory	0775	1775443390225452198				mkdir	run-directory		
spec-gen.log	spec-gen.log	file	0664	1773309234093567744	539	eea74a610e421df8e8ff99617142ab18bc91e0609f721b90807000608c431283		copy	run-evidence		
spec-gen.pid		file	0664	1773307270544406523	8	8908d8009d8c74b0deb11e5ba164a7280e4a304cc7a7eade55d7877045430f9a		exclude	non-evidence	ephemeral-process-id	
spec-validation.log	spec-validation.log	file	0664	1773327183344801540	117	e23e0a2e381c1590843c580c75fb6a7728a9106253ff780017bc44ef9a178796		copy	run-evidence		
spec-validation.pid		file	0664	1773323395488548181	8	bb25d43fcdc317522633a62b73837070a5991643808d0b1981b0beca5bb0b365		exclude	non-evidence	ephemeral-process-id	
spec/MC.cfg	spec/MC.cfg	file	0664	1773367803694070752	829	68402454ca998289935b43a06ec8e8a2dc9ed6c10c8358b70e9f74aa17df73b9		copy	run-evidence		
spec/MC.tla	spec/MC.tla	file	0664	1773367784352716055	4344	1873327708e37c60db5898aaf18172f09d994aa96d872e415d9e65f49023bdcf		copy	run-evidence		
spec/MC_hunt_batch.cfg	spec/MC_hunt_batch.cfg	file	0664	1773367798319972545	442	4263869a5c4e8251683242331cd4731186aeb2e6ed47d8ae2c7e1128ea51a6c9		copy	run-evidence		
spec/MC_hunt_peek.cfg	spec/MC_hunt_peek.cfg	file	0664	1773367808152153353	493	13c61c7ad47788988c4516284bd426ec984e393e2171f1112078afd3d67b1b3c		copy	run-evidence		
spec/MC_hunt_rts_aba.cfg	spec/MC_hunt_rts_aba.cfg	file	0664	1773367809169172197	525	be6da68d21a1086c0ed7d43be833ddd060ddef0235193926c280b677e8a96149		copy	run-evidence		
spec/MC_hunt_rts_aba_v2.cfg	spec/MC_hunt_rts_aba_v2.cfg	file	0664	1773372447462742026	678	51c0037c4b913f4296c26821f0d6e239cd81692d28eec8da3f1055189a7a15a0		copy	run-evidence		
spec/MC_hunt_rts_batch.cfg	spec/MC_hunt_rts_batch.cfg	file	0664	1773367800232007464	474	591872e6c29e4f4048db43c700b0cf48db2ec1b0a97823c2430d9015fd1ff996		copy	run-evidence		
spec/MC_hunt_rts_stalehead.cfg	spec/MC_hunt_rts_stalehead.cfg	file	0664	1773367886506593720	574	9af2973f9bb3c3f80bf9c94052af6c92e39c2dbb35e4146043cd59d55f087f11		copy	run-evidence		
spec/MC_hunt_rts_stall.cfg	spec/MC_hunt_rts_stall.cfg	file	0664	1773367807246136566	521	d945a74c22171eaaca001862a25f02546033819e98231dc7e5bad918b368843a		copy	run-evidence		
spec/MC_hunt_staleread.cfg	spec/MC_hunt_staleread.cfg	file	0664	1773367805031095525	477	cd9f3d1681ba818358b15bf46c6fbb9b3a96824557c1d51bc3c4f1b34617cdbf		copy	run-evidence		
spec/MC_hunt_stall.cfg	spec/MC_hunt_stall.cfg	file	0664	1773367805917111941	603	6116ed5f073d67fb32b42e0eb49e92c700f04b09028fc6d973ef1a837650341f		copy	run-evidence		
spec/Trace.cfg	spec/Trace.cfg	file	0664	1773323018326029593	462	be2d3dee20af6e20f26070e80060c2c158be9246571dbc871e82c1d29d9bb03c		copy	run-evidence		
