source_path	destination_path	type	mode	mtime_ns	size	sha256	symlink_target	action	classification	reason	encoded
.prompt-extra.md	.prompt-extra.md	file	0664	1777133749358065862	2738	301e83ad14d27ebb7f85a3f687548a198f3751c06c552c3e2d9e17772a24c544		copy	run-evidence		
.specula-output	.specula-output	directory	0775	1777231993606426838				mkdir	run-directory		
.specula-output/.spec-gen-prompt.md	.specula-output/.spec-gen-prompt.md	file	0664	1777231993606426838	6514	9cca29e994f2f674c78f8d75def78ea27f288dfa6bec40b0e914150a6f022217		copy	run-evidence		
.specula-output/modeling-brief.md	.specula-output/modeling-brief.md	file	0664	1777133731163724848	6606	d0a6058f1c38a7bffedebfd21339f4caac0ab9c70ca82d69ff53d1d875341735		copy	run-evidence		
.specula-output/pipeline-summary.md	.specula-output/pipeline-summary.md	file	0664	1777135984429289758	431	7c263e304a5e69dd0195276d0af3dc319ce58ec84ab3d67c9e3c42d3c1a36c31		copy	run-evidence		
.specula-output/pipeline.log	.specula-output/pipeline.log	file	0664	1777231993602426765	2924	c8b0e22c4d6d306561010cd6e0cee6590a70c69672a42082d9bdbdc1e1779681		copy	run-evidence		
.specula-output/spec	.specula-output/spec	directory	0775	1777134989200873429				mkdir	run-directory		
.specula-output/spec-gen.log	.specula-output/spec-gen.log	file	0664	1777231993605426819	2972	6c6d6041a896572b47a90ef517e7f86152039914c6deb0003ebd3b21c9756c1a		copy	run-evidence		
.specula-output/spec-gen.pid		file	0664	1777133827740524524	8	1f822154186a87d585921252ad3440e3e211855217ae2bb843d67d4e62f70def		exclude	non-evidence	ephemeral-process-id	
.specula-output/spec-gen.raw.json	.specula-output/spec-gen.raw.json	file	0664	1777231993602426765	2971	45c2c9b20b729629d2e345ce41df1dd8713b8ac21274cbe8e09214f54dcecf72		copy	run-evidence		
.specula-output/spec-gen.usage.json	.specula-output/spec-gen.usage.json	file	0664	1777135984397289169	26	08963fda48d99cd4bd7d68256c1a4d43f35ca592411bf8c11d3de620993d6e3b		copy	run-evidence		
.specula-output/spec/MC.cfg	.specula-output/spec/MC.cfg	file	0664	1777134860132520005	1123	f70ee20170647fbd11539135808de74d5adbc814ef03f850e084ddbe0da2f72e		copy	run-evidence		
.specula-output/spec/MC.tla	.specula-output/spec/MC.tla	file	0664	1777134849039323193	4496	61e1d0b5ea4007dee29899bc4c9fae81a80ed2c2974bd1ba6508ca7e5b3284fe		copy	run-evidence		
.specula-output/spec/Trace.cfg	.specula-output/spec/Trace.cfg	file	0664	1777134912428474063	914	250d8923b7dd899698f0732e15f681100b35d1481d5afab5e5f71b58aaf2f7b7		copy	run-evidence		
.specula-output/spec/Trace.tla	.specula-output/spec/Trace.tla	file	0664	1777134904549331037	6284	434af6051bfc56ced2c81afaa3ef49fe4ae79c07998192576d77fc7b79cef3f0		copy	run-evidence		
.specula-output/spec/base.cfg	.specula-output/spec/base.cfg	file	0664	1777134411918331467	918	f35bccfc44723aa43e2b1acc465ba4f09f66e01a7b861eae66cea03c54fd407d		copy	run-evidence		
.specula-output/spec/base.tla	.specula-output/spec/base.tla	file	0664	1777134377790706419	37949	70d5e8e805a1aaec4fee12310a5ff0d31daa88ecdb958ab58e5c571a8a69c399		copy	run-evidence		
.specula-output/spec/instrumentation-spec.md	.specula-output/spec/instrumentation-spec.md	file	0664	1777134989196873356	10485	bfee7932ac84cd30421671385e776390aa61baf498727d1f19e28abe952b67bd		copy	run-evidence		
