index	path_json	canonical_path_json	type	encrypted	compression_method	compression_name	flag_bits	crc32	compressed_size	uncompressed_size	date_time_json	create_system	create_version	extract_version	external_attr	unix_mode	header_offset	extra_hex	comment_hex
0	"specula-frr-cr5-artifacts-20260722/"	"specula-frr-cr5-artifacts-20260722"	directory	false	0	stored	0	00000000	0	0	[2026,7,22,18,48,38]	3	20	20	1106051072	040755	0	75780b000104f50100000414000000555405000106a0606a	
1	"__MACOSX/._specula-frr-cr5-artifacts-20260722"	"__MACOSX/._specula-frr-cr5-artifacts-20260722"	file	false	8	deflated	8	e405cd21	91	220	[2026,7,22,18,48,38]	3	20	20	2179792896	100755	97	75780b000104f50100000414000000555405000106a0606a	
2	"specula-frr-cr5-artifacts-20260722/.DS_Store"	"specula-frr-cr5-artifacts-20260722/.DS_Store"	file	false	8	deflated	8	04b1df1b	1531	10244	[2026,7,22,18,49,14]	3	20	20	2175008768	100644	311	75780b000104f5010000041400000055540500012ba0606a	
3	"__MACOSX/specula-frr-cr5-artifacts-20260722/._.DS_Store"	"__MACOSX/specula-frr-cr5-artifacts-20260722/._.DS_Store"	file	false	8	deflated	8	38c0880b	53	120	[2026,7,22,18,49,14]	3	20	20	2175008768	100644	1964	75780b000104f5010000041400000055540500012ba0606a	
4	"specula-frr-cr5-artifacts-20260722/cr5-diagnostic.patch"	"specula-frr-cr5-artifacts-20260722/cr5-diagnostic.patch"	file	false	8	deflated	8	8f9b16e0	2410	9937	[2026,7,22,18,46,50]	3	20	20	2175008768	100644	2150	75780b000104f5010000041400000055540500019b9f606a	
5	"specula-frr-cr5-artifacts-20260722/README.md"	"specula-frr-cr5-artifacts-20260722/README.md"	file	false	8	deflated	8	e61496ba	603	1448	[2026,7,22,18,47,6]	3	20	20	2175008768	100644	4693	75780b000104f501000004140000005554050001ab9f606a	
6	"__MACOSX/specula-frr-cr5-artifacts-20260722/._README.md"	"__MACOSX/specula-frr-cr5-artifacts-20260722/._README.md"	file	false	8	deflated	8	1b06cef7	93	220	[2026,7,22,18,47,6]	3	20	20	2175008768	100644	5418	75780b000104f501000004140000005554050001ab9f606a	
7	"specula-frr-cr5-artifacts-20260722/cr5-targeted-20260720-234815/"	"specula-frr-cr5-artifacts-20260722/cr5-targeted-20260720-234815"	directory	false	0	stored	0	00000000	0	0	[2026,7,22,18,48,38]	3	20	20	1107099648	040775	5644	75780b000104f50100000414000000555405000106a0606a	
8	"__MACOSX/specula-frr-cr5-artifacts-20260722/._cr5-targeted-20260720-234815"	"__MACOSX/specula-frr-cr5-artifacts-20260722/._cr5-targeted-20260720-234815"	file	false	8	deflated	8	60facaa4	86	163	[2026,7,22,18,48,38]	3	20	20	2180841472	100775	5770	75780b000104f50100000414000000555405000106a0606a	
9	"specula-frr-cr5-artifacts-20260722/cr5-patched-worktree-20260720-234815/"	"specula-frr-cr5-artifacts-20260722/cr5-patched-worktree-20260720-234815"	directory	false	0	stored	0	00000000	0	0	[2026,7,22,18,48,38]	3	20	20	1107099648	040775	6008	75780b000104f50100000414000000555405000106a0606a	
10	"__MACOSX/specula-frr-cr5-artifacts-20260722/._cr5-patched-worktree-20260720-234815"	"__MACOSX/specula-frr-cr5-artifacts-20260722/._cr5-patched-worktree-20260720-234815"	file	false	8	deflated	8	60facaa4	86	163	[2026,7,22,18,48,38]	3	20	20	2180841472	100775	6142	75780b000104f50100000414000000555405000106a0606a	
11	"specula-frr-cr5-artifacts-20260722/cr5-patched-worktree-status.txt"	"specula-frr-cr5-artifacts-20260722/cr5-patched-worktree-status.txt"	file	false	8	deflated	8	a15ab4d7	84	101	[2026,7,22,18,46,50]	3	20	20	2175008768	100644	6388	75780b000104f5010000041400000055540500019b9f606a	
12	"specula-frr-cr5-artifacts-20260722/original-specula-run-frr-v020-deepseek-v4-pro-full-docker-mp4-ee765f7-20260720-210800/"	"specula-frr-cr5-artifacts-20260722/original-specula-run-frr-v020-deepseek-v4-pro-full-docker-mp4-ee765f7-20260720-210800"	directory	false	0	stored	0	00000000	0	0	[2026,7,22,18,48,42]	3	20	20	1107099648	040775	6616	75780b000104f5010000041400000055540500010ba0606a	
