source_path	destination_path	type	mode	mtime_ns	size	sha256	symlink_target	action	classification	reason	encoded
.prompt-extra.md	.prompt-extra.md	file	0664	1779100213277170702	5745	dc142d5d60b97526f87c07e16ae3e7f2d8e31b9034c96c1254d3fef00c4c73ca		copy	run-evidence		
analysis-report.md	analysis-report.md	file	0664	1779106151991532363	27924	ffa46c502d6b11d955bfcdae2720d69057fc8e6c627c91b639d9618cc8345770		copy	run-evidence		
artifact	.record/source-snapshots/artifact.tar	directory	0775	1779126925228005351	0	426dbe21a22eaf1cef7bd6c10bcbad6b7d0acad94a12ca3d0f27e93a29353d01		snapshot	source-snapshot	non-git-source-snapshot	"{""codec"": ""zstd"", ""codec_version"": ""1.5.5"", ""content_entries"": 2, ""content_id"": ""sha256:426dbe21a22eaf1cef7bd6c10bcbad6b7d0acad94a12ca3d0f27e93a29353d01"", ""content_manifest"": "".record/source-snapshots/artifact.tar.files.tsv"", ""content_manifest_bytes"": 180, ""content_manifest_sha256"": ""0f76629458f140c168d7fc989e26847af905542ed6fabe22be5cf96005c8479f"", ""encoded_bytes"": 23, ""encoded_sha256"": ""ef077a15315f941a8fc5700796762259eb286177402b33c31d5bddc62df4a397"", ""parts"": [{""bytes"": 23, ""path"": ""artifact.tar.zst"", ""sha256"": ""ef077a15315f941a8fc5700796762259eb286177402b33c31d5bddc62df4a397""}], ""tar_bytes"": 10240, ""tar_sha256"": ""84ff92691f909a05b224e1c56abb4864f01b4f8e3c854e4bb4c7baf1d3f6d652""}"
artifact/espresso-network	.record/source-snapshots/artifact-espresso-network-0e3496cdb9e3.tar	directory	0775	1781427142961037058	28938074	620f3b03992a4bb08249c7d5b83034d0bff18a6fa867b1f131757f079dfa4780		snapshot	source-snapshot	non-git-source-snapshot	"{""codec"": ""zstd"", ""codec_version"": ""1.5.5"", ""content_entries"": 1786, ""content_id"": ""sha256:620f3b03992a4bb08249c7d5b83034d0bff18a6fa867b1f131757f079dfa4780"", ""content_manifest"": "".record/source-snapshots/artifact-espresso-network-0e3496cdb9e3.tar.files.tsv"", ""content_manifest_bytes"": 232807, ""content_manifest_sha256"": ""5f18e5cd3d88ca196c26af246964e27b60b642f8d98d3a0de66483ec71d2f663"", ""encoded_bytes"": 4125334, ""encoded_sha256"": ""b897561881587f54a61a2858c7644fa72bc85c95ec8acb402e128ad19f5070d0"", ""parts"": [{""bytes"": 4125334, ""path"": ""artifact-espresso-network-0e3496cdb9e3.tar.zst"", ""sha256"": ""b897561881587f54a61a2858c7644fa72bc85c95ec8acb402e128ad19f5070d0""}], ""tar_bytes"": 32061440, ""tar_sha256"": ""0c57dea78db09600044b3ba4f8d5681ad4f3b6827407c848caa39877c2e09dea""}"
external:.record/external-evidence/artifact/.specula-output	.record/external-evidence/artifact/.specula-output	directory	0775	1779126925228005351				mkdir	external-run-directory		
external:.record/external-evidence/artifact/.specula-output/traces	.record/external-evidence/artifact/.specula-output/traces	directory	0775	1779126925245005692				mkdir	external-run-directory		
external:.record/external-evidence/artifact/.specula-output/traces/crash_recover.ndjson	.record/external-evidence/artifact/.specula-output/traces/crash_recover.ndjson	file	0664	1779126970227898694	3015573	81a5b5b243022d56f8c14fefa29ebe2643eefacc41124ead04979c504fb0982a		copy	external-run-evidence		
external:.record/external-evidence/artifact/.specula-output/traces/handle_quorum_proposal_recv.ndjson	.record/external-evidence/artifact/.specula-output/traces/handle_quorum_proposal_recv.ndjson	file	0664	1779126925228005351	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855		copy	external-run-evidence		
external:.record/external-evidence/artifact/.specula-output/traces/propose_leader.ndjson	.record/external-evidence/artifact/.specula-output/traces/propose_leader.ndjson	file	0664	1779126925245005692	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855		copy	external-run-evidence		
harness	harness	directory	0775	1779109899497231953				mkdir	run-directory		
