source_path	destination_path	type	mode	mtime_ns	size	sha256	symlink_target	action	classification	reason	encoded
.specula-output	.specula-output	directory	0775	1782828760812399750				mkdir	run-directory		
.specula-output/agent.log	.specula-output/agent.log	file	0664	1781364542885283704	3421	a8f79071cb1da816f170ba8137492c82ce08decf44954404e427c6e92ba45703		copy	run-evidence		
.specula-output/agent.pid		file	0664	1781360680888810542	8	42f641f03e8e6306ac5bc55222d6fc025cee4bf14f456814a5a3547acbef3f47		exclude	non-evidence	ephemeral-process-id	
.specula-output/agent.raw.json	.specula-output/agent.raw.json	file	0664	1781364542630278865	4953	3130928174b9a65dbc1cf14eff1766e12495284be3eeb843a42ec595147d4ea3		copy	run-evidence		
.specula-output/agent.usage.json	.specula-output/agent.usage.json	file	0664	1781364542916284292	1594	95e1f1a6ba4006463ffefefb6ba76316989cb1155f22375eeb59d18e5b5f31dd		copy	run-evidence		
.specula-output/bug-classification.log	.specula-output/bug-classification.log	file	0664	1781386326075227681	1933	6a482d77e001de3368f965909345a992f638ffc135ca6ceef5a2d2210dc8b10b		copy	run-evidence		
.specula-output/bug-classification.pid		file	0664	1781385998119224312	7	3bc228fdc870670b6dc03a63a0ca9b0404c3780b2281181e6d466c05b648e765		exclude	non-evidence	ephemeral-process-id	
.specula-output/bug-classification.raw.json	.specula-output/bug-classification.raw.json	file	0664	1781386325791222896	3430	53d35d702b43f7692b9d45236db76175dfd7585dd44dad763351b088ae287b9a		copy	run-evidence		
.specula-output/bug-classification.usage.json	.specula-output/bug-classification.usage.json	file	0664	1781386326101228119	1566	3b19c0f05dcd643ae73f08835048d192f31e1fa64f961b773582521a8e960238		copy	run-evidence		
.specula-output/bug-confirmation.log	.specula-output/bug-confirmation.log	file	0664	1781383868108954213	2940	1fc1b6ee6cf55278c7aa80262d0f8776f49af1067089f4c480f909d65e3e6382		copy	run-evidence		
.specula-output/bug-confirmation.pid		file	0664	1781384834571037406	7	ada650af6850a4968228d066aff5586f4797274b4669f94b45cd13cb125f63f9		exclude	non-evidence	ephemeral-process-id	
.specula-output/bug-confirmation.raw.json	.specula-output/bug-confirmation.raw.json	file	0664	1781383867847949154	4458	4c6c7965f2e5bcb2ea00eed4d3df9566ff20dcfdc23501f3e769a7a03c0c9177		copy	run-evidence		
.specula-output/bug-confirmation.usage.json	.specula-output/bug-confirmation.usage.json	file	0664	1781383868137954775	1579	d711de4bd610277da4896d3b6435e41675b856e7376c48195704d39539a23ae5		copy	run-evidence		
.specula-output/bug-recheck.log	.specula-output/bug-recheck.log	file	0664	1781385997546213381	3622	d20bd771326a7f7dc45904695127ff5bf5f22eb8f21bfb539a469eecd270dce1		copy	run-evidence		
.specula-output/bug-recheck.raw.json	.specula-output/bug-recheck.raw.json	file	0664	1781385997290208497	5105	8e4d2c7c60ed73e6b7b233be6cd215bc551ce1ca8673b569789dc60a650e3568		copy	run-evidence		
.specula-output/bug-recheck.usage.json	.specula-output/bug-recheck.usage.json	file	0664	1781385997574213915	1552	e2c487d742bb653bd3b0bda17a49dc05a2add0318cdb81311bb31ce2b87ba1c8		copy	run-evidence		
.specula-output/harness	.specula-output/harness	directory	0775	1782828760812399750				mkdir	run-directory		
.specula-output/harness-gen.log	.specula-output/harness-gen.log	file	0664	1781376749133832114	2935	e8b74f49543aacd1a057e1b2486d400e7e479939fadbfb46f9ab2ad42b40d416		copy	run-evidence		
.specula-output/harness-gen.pid		file	0664	1781372579749534654	7	a5f9f19070213430561bcc1e56e2222e915f3c0043d881bd5537a5bd2124b488		exclude	non-evidence	ephemeral-process-id	
.specula-output/harness-gen.raw.json	.specula-output/harness-gen.raw.json	file	0664	1781376748858826864	4452	f25ec568f112b148463ac76a595496a9c1488684cafd6a818810cc9db6bfecc9		copy	run-evidence		
.specula-output/harness-gen.usage.json	.specula-output/harness-gen.usage.json	file	0664	1781376749167832764	1584	667d55e7b6c738de4d99a36495382de20d56e266cc52e47f25206d2a3adf0f9c		copy	run-evidence		
.specula-output/harness/apply.sh	.specula-output/harness/apply.sh	file	0775	1781376470828593362	1430	07b4c555965e5ffff72299cd415e9000759b729f6fe46a35656fe51a1bae8344		copy	run-evidence		
.specula-output/harness/patches	.specula-output/harness/patches	directory	0775	1781376448369172376				mkdir	run-directory		
.specula-output/harness/patches/instrumentation.patch	.specula-output/harness/patches/instrumentation.patch	file	0664	1781376448377172522	11688	185fc55530448fefd12281e2e4fa3f6bfbac160a1dcd7b20ee8dc7be8c986faa		copy	run-evidence		
.specula-output/harness/run.sh	.specula-output/harness/run.sh	file	0775	1781376485333863047	2402	9c12a3a67efcbbe59246f6a07d283b88bdd1bf9f14f5fee61083d8ab6a445a7e		copy	run-evidence		
.specula-output/harness/src	.specula-output/harness/src	directory	0775	1781377822828619168				mkdir	run-directory		
.specula-output/harness/src/specula_trace.rs	.specula-output/harness/src/specula_trace.rs	file	0664	1781376448369172376	3159	885212eb3f9a3faa1354270229df436a6f6ddbbcca8483a736b87e71dba36c1f		copy	run-evidence		
.specula-output/harness/src/tla_trace.rs	.specula-output/harness/src/tla_trace.rs	file	0664	1781377822825619112	17942	f8023acdd884a51864d3c79aa32d1acc463f8e26dac68aa9125de7358b266c2f		copy	run-evidence		
.specula-output/pipeline.log	.specula-output/pipeline.log	file	0664	1781386326163229164	11522	3ed610c57147bdd365050e881a26cf579bea25bfe975189e8a4d8b0edea7cfd1		copy	run-evidence		
.specula-output/repair-requests	.specula-output/repair-requests	directory	0775	1781383468034055505				mkdir	run-directory		
.specula-output/repro	.specula-output/repro	directory	0775	1781383593244583705				mkdir	run-directory		
.specula-output/repro/test_bug_cr1_validate_certs_deadcode.sh	.specula-output/repro/test_bug_cr1_validate_certs_deadcode.sh	file	0775	1781383518970096224	2183	7b0f2a4b9757fdc90d8156e46d6014fc19aff482dd166d6db79d10e16702e356		copy	run-evidence		
.specula-output/repro/test_bug_cr2_drb_asymmetry_inert.sh	.specula-output/repro/test_bug_cr2_drb_asymmetry_inert.sh	file	0775	1781383542959583791	3727	7ad6aa3e691e4cbe1dc2788ca637bfc4f5f72ba72d5c6127d5425917e8cad8f3		copy	run-evidence		
.specula-output/repro/test_bug_cr3_extendedqc_storage_order.sh	.specula-output/repro/test_bug_cr3_extendedqc_storage_order.sh	file	0775	1781383556992870831	2181	8e0dbf6501efbf4b21fb3e9b73ac844d5d0b72e45f853aa3fb5ab571903b7498		copy	run-evidence		
.specula-output/repro/test_finding1_transition_qc_divergence.sh	.specula-output/repro/test_finding1_transition_qc_divergence.sh	file	0775	1781383593240583626	3521	1f616263a43c3fdd2da1866d36b2c8b3172d66cce7af8c3ca09975a9da9f27e0		copy	run-evidence		
.specula-output/spec	.specula-output/spec	directory	0775	1782828760814399789				mkdir	run-directory		
.specula-output/spec-gen.log	.specula-output/spec-gen.log	file	0664	1781372579324526473	3001	8c8e298068bbbc42c3d5b2a84da0386745ced877f6a38adb6512af322d940516		copy	run-evidence		
.specula-output/spec-gen.pid		file	0664	1781364543486295108	7	053d2e66ac53582796b95ff949ee4d4910e253d053291f33f21796a22c89a9d3		exclude	non-evidence	ephemeral-process-id	
.specula-output/spec-gen.raw.json	.specula-output/spec-gen.raw.json	file	0664	1781372579078521739	4529	53032d45df8b359e5dc2e2f54bf934fcf21698ae505aa0391ae8b57eeff3a0b3		copy	run-evidence		
.specula-output/spec-gen.usage.json	.specula-output/spec-gen.usage.json	file	0664	1781372579362527205	1596	be94c6796f1b37dcc73277b70f3620a37f544e6e9c39faee2da403c8f04e8f8c		copy	run-evidence		
.specula-output/spec-repair.log	.specula-output/spec-repair.log	file	0664	1781384833930025165	135	9debd761ff2805b1e0bbd059a88cce0ecf39a03fda94d85a26d57f1174344eea		copy	run-evidence		
.specula-output/spec-repair.raw.json	.specula-output/spec-repair.raw.json	file	0664	1781384833567018234	1605	a731fd189eb564f8a6e9cd1b153cec68e996b4fbe1ac67962ce2cff7a8c00f8f		copy	run-evidence		
.specula-output/spec-repair.usage.json	.specula-output/spec-repair.usage.json	file	0664	1781384833989026292	1565	c7cb5682ed1dcd5512dd939e1101cb2ef9a0929b069b17a97da6bb64aeeb5903		copy	run-evidence		
.specula-output/spec-validation.log	.specula-output/spec-validation.log	file	0664	1781382027113603461	224	59e75a06e531f3630ad5e7430882213e8f124de100278f15505245900f4611ca		copy	run-evidence		
.specula-output/spec-validation.pid		file	0664	1781383868553962839	7	db2e1f7437ddee1edce4d1f9234dcf70986105eca205625da57dd0f0f19a19d9		exclude	non-evidence	ephemeral-process-id	
.specula-output/spec-validation.raw.json	.specula-output/spec-validation.raw.json	file	0664	1781382026769596889	1706	1503ee5cea1385402537bedcfb1bd91370f07144803558aa368c05de8c0248c3		copy	run-evidence		
.specula-output/spec-validation.usage.json	.specula-output/spec-validation.usage.json	file	0664	1781382027245605992	1578	127c1a9fdae573dae2556285a3ba7ddad2acbd46b12d1a9c395c229ea4534189		copy	run-evidence		
.specula-output/spec/MC.cfg	.specula-output/spec/MC.cfg	file	0664	1781371592001885014	1753	52a7fc84176a66096b0e5fbf5593a04a715a95377df0bf9a08e9dd8aa9a7930c		copy	run-evidence		
.specula-output/spec/MC.tla	.specula-output/spec/MC.tla	file	0664	1781381206971530850	13773	31bc18927a75c909b7009869aec78eac1163c20ad2a037933b84f8bea5134eb1		copy	run-evidence		
.specula-output/spec/MC_hunt_crossview.cfg	.specula-output/spec/MC_hunt_crossview.cfg	file	0664	1781368335704065384	1446	febf88c09a756d56a6230082f1d6205a1b75917b8d72a6f15f64a19b9cf5817d		copy	run-evidence		
.specula-output/spec/MC_hunt_transition.cfg	.specula-output/spec/MC_hunt_transition.cfg	file	0664	1781370430430376225	1753	c7dd6244d5d781146176ef8cb87041be377ff4b15a4e8834c9ce7a4ce294cb35		copy	run-evidence		
.specula-output/spec/MC_hunt_transition_deep.cfg	.specula-output/spec/MC_hunt_transition_deep.cfg	file	0664	1781379615287498460	2139	579cc8f37eeaeaa78eaa33870da2938e26a7ec230d8d9ea89eb10ef604f0e7f9		copy	run-evidence		
.specula-output/spec/MC_hunt_transition_fork.cfg	.specula-output/spec/MC_hunt_transition_fork.cfg	file	0664	1781381223536889159	1956	3b175dad96ace77c6a4afd332ba9574fe6f3f63b38c8786191b470b27e121f1a		copy	run-evidence		
.specula-output/spec/MC_hunt_viewchange.cfg	.specula-output/spec/MC_hunt_viewchange.cfg	file	0664	1781370439728555907	1537	67d22e04cfbb0c360497c73b6d7ab52095aa8b8cc16069e6338a055f216d3ddf		copy	run-evidence		
.specula-output/spec/Trace.cfg	.specula-output/spec/Trace.cfg	file	0664	1781377384868378045	973	0d534e1f61d8add2d62a4cee68c0d2f4ac649f370011d35cc701fb1a464b53aa		copy	run-evidence		
.specula-output/spec/Trace.tla	.specula-output/spec/Trace.tla	file	0664	1781377360203929874	10222	7122fcececd24fd26abb178d7ca2a1c2d22a1d955fd5b27a5a7026dfd1a99e8e		copy	run-evidence		
.specula-output/spec/Trace_TTrace_1781376963.bin	.specula-output/spec/Trace_TTrace_1781376963.bin	file	0664	1781376985852339145	10089	4ce5efd063fd436c87d9309354d71131d6d78307eee89e5204e9a94e05b95859		copy	run-evidence		
.specula-output/spec/Trace_TTrace_1781376963.tla	.specula-output/spec/Trace_TTrace_1781376963.tla	file	0664	1781376985875339583	4774938	1c6d4386fac7283f9344f706ae8c8c2bd58b8b69289cff90080631b4260dfa17		copy	run-evidence		
.specula-output/spec/Trace_TTrace_1781377140.bin	.specula-output/spec/Trace_TTrace_1781377140.bin	file	0664	1781377141838019423	4081	4880f0e63fd8eb4150feed4f8ce1de5b58b2cbb4d2e653d3bdbe6eec4eadcdba		copy	run-evidence		
.specula-output/spec/Trace_TTrace_1781377140.tla	.specula-output/spec/Trace_TTrace_1781377140.tla	file	0664	1781377141903020527	785874	fb72b0db320539338c15d7bfad0bd7c1f06b144ff88d9b2e86d552d25741f0f8		copy	run-evidence		
.specula-output/spec/Trace_TTrace_1781377438.bin	.specula-output/spec/Trace_TTrace_1781377438.bin	file	0664	1781377439351400814	4079	8993c25a4ac44173665aa198e4d1d794c257fb2886d600fdaa245ef3d911fab3		copy	run-evidence		
.specula-output/spec/Trace_TTrace_1781377438.tla	.specula-output/spec/Trace_TTrace_1781377438.tla	file	0664	1781377439374401237	785874	3832fe925fc5364466f64c9cdba085f2b71fb8ddbabbb0fdba3edc0c6b6c9b9c		copy	run-evidence		
.specula-output/spec/Trace_TTrace_1781377951.bin	.specula-output/spec/Trace_TTrace_1781377951.bin	file	0664	1781377958354214470	9827	8c4e3d646e6838f0e3bcc5e9124759b4af523360f96f4d39f920ad3e6123700b		copy	run-evidence		
