source_path	destination_path	type	mode	mtime_ns	size	sha256	symlink_target	action	classification	reason	encoded
analysis-report.md	analysis-report.md	file	0664	1778903309794865150	17471	fda919c673bd73123b4c806736e672fbd57088bec5156ed8129d7299456ea824		copy	run-evidence		
artifact	.record/source-snapshots/artifact.tar	directory	0775	1778901542239812740	0	9f5c3ebdfa47f3a2d601f1950a570e1fc030cfecdedf2ea297a96d237f039004		snapshot	source-snapshot	non-git-source-snapshot	"{""codec"": ""zstd"", ""codec_version"": ""1.5.5"", ""content_entries"": 1, ""content_id"": ""sha256:9f5c3ebdfa47f3a2d601f1950a570e1fc030cfecdedf2ea297a96d237f039004"", ""content_manifest"": "".record/source-snapshots/artifact.tar.files.tsv"", ""content_manifest_bytes"": 103, ""content_manifest_sha256"": ""3ffcb9e33484e15ec0daa6b5b062915e5aa5e6b673d61feebb68b9b8b912cde0"", ""encoded_bytes"": 23, ""encoded_sha256"": ""ef077a15315f941a8fc5700796762259eb286177402b33c31d5bddc62df4a397"", ""parts"": [{""bytes"": 23, ""path"": ""artifact.tar.zst"", ""sha256"": ""ef077a15315f941a8fc5700796762259eb286177402b33c31d5bddc62df4a397""}], ""tar_bytes"": 10240, ""tar_sha256"": ""84ff92691f909a05b224e1c56abb4864f01b4f8e3c854e4bb4c7baf1d3f6d652""}"
artifact/gcc	.record/source-snapshots/artifact-gcc-b9f141a0107e.tar	directory	0775	1778939607560062953	848437575	f288a2daeadff6e7f8d849f6688b2c4baec8bca2c10810f5d1ffc60168831c76		snapshot	source-snapshot	non-git-source-snapshot	"{""codec"": ""zstd"", ""codec_version"": ""1.5.5"", ""content_entries"": 165174, ""content_id"": ""sha256:f288a2daeadff6e7f8d849f6688b2c4baec8bca2c10810f5d1ffc60168831c76"", ""content_manifest"": "".record/source-snapshots/artifact-gcc-b9f141a0107e.tar.files.tsv"", ""content_manifest_bytes"": 24122928, ""content_manifest_sha256"": ""49e588b0195f52911918beab17850b8dcb036bf312f03dab3821e08bbb40f55c"", ""encoded_bytes"": 157100130, ""encoded_sha256"": ""a09fe1c5dd2db9d079d8ab7cca8efb7fc642209d5189ea82b366060857e94a83"", ""parts"": [{""bytes"": 50331648, ""path"": ""artifact-gcc-b9f141a0107e.tar.zst.part-0000"", ""sha256"": ""2227ceef6b68645c37f4cef409e9c1021f435cc1f67ead3202f9c9e02f9809dc""}, {""bytes"": 50331648, ""path"": ""artifact-gcc-b9f141a0107e.tar.zst.part-0001"", ""sha256"": ""d9fe66e706bba96cc188db3abfd4eea74210d2fc98c4966c39175f6df172007c""}, {""bytes"": 50331648, ""path"": ""artifact-gcc-b9f141a0107e.tar.zst.part-0002"", ""sha256"": ""ad695c119eac3947c11c0d8b6b282770d083f549d3be31f53a2b8edcd577b669""}, {""bytes"": 6105186, ""path"": ""artifact-gcc-b9f141a0107e.tar.zst.part-0003"", ""sha256"": ""7d6d41a614acb3ceed98135ee0547f0898b2e31bd36fb4141fec4010fdee8573""}], ""tar_bytes"": 1142661120, ""tar_sha256"": ""68d1ff8ea117b7293bc69c42a27a0400d95073d603c1e37445b1f435d8fe0947""}"
findings-barrier.md	findings-barrier.md	file	0664	1778902746116618416	18197	b7956139589416b07790f6d3ada20fe1354b0430d359f3ab82856a135c1ea38e		copy	run-evidence		
findings-task.md	findings-task.md	file	0664	1778902565085326492	15447	33ae0a0765dfdbf6eab16a1843c7bfdbc1b556dfa8c1d844b1f3c56744481447		copy	run-evidence		
findings-team.md	findings-team.md	file	0664	1778902655561970872	18633	9302de13a06cc299599df80a24091714713c88966aca7f81c4409650828ea508		copy	run-evidence		
findings-workshare.md	findings-workshare.md	file	0664	1778902485320901827	10253	9d80b0f217bb1c27d8222f916e24ed6bbb24a0930e59e86e4d3cfc9cb3ef18d9		copy	run-evidence		
harness	harness	directory	0775	1778940070462580533				mkdir	run-directory		
harness/apply.sh	harness/apply.sh	file	0775	1778940061790422341	1160	a5d8857444eb431c3e9a478beb52f98a0c3a2297d7e329a15dfda867b2f67b95		copy	run-evidence		
harness/patches	harness/patches	directory	0775	1778954527652793516				mkdir	run-directory		
harness/patches/instrumentation.patch	harness/patches/instrumentation.patch	file	0664	1778985140622249731	19928	8ceec937aa65f41f3463f680e30404014de3138982c5cea7edcd38d04ac8f192		copy	run-evidence		
harness/preprocess_trace.py	harness/preprocess_trace.py	file	0775	1778940016939615577	3238	282c9f77658480a5a8131ce6ec90ae3a965e20ca1733881de90a36b96d59e455		copy	run-evidence		
harness/run.sh	harness/run.sh	file	0775	1778940070455580405	3677	ad00951ea92a4fa0c14f6c5422dad1ca2385de40e64da877286a40466c01d099		copy	run-evidence		
harness/src	harness/src	directory	0775	1778940377174047464				mkdir	run-directory		
harness/src/test_barrier_basic.c	harness/src/test_barrier_basic.c	file	0664	1778939949077371343	756	cdce6b416a2ba31a7cbe48f5f9e455fc936f6760f1481d60a7df3c578a76cc72		copy	run-evidence		
harness/src/test_barrier_tasks.c	harness/src/test_barrier_tasks.c	file	0664	1778939957637528186	1110	5b9fbfa7f0696d1eb84a3cd33b5fa612797a07ba9cf7e84d79ff1fcd5d3b1369		copy	run-evidence		
harness/src/test_cancel.c	harness/src/test_cancel.c	file	0664	1778940279073307429	1337	2dab1ac22334da8d07cf705a8add27555682831b56b0a50dea45b919da810c84		copy	run-evidence		
harness/src/test_detach.c	harness/src/test_detach.c	file	0664	1778940377171047410	2340	048941e7c252b15803c5087b6ab34259d392975ee146abbc0648d068e539f675		copy	run-evidence		
harness/src/test_multi_round.c	harness/src/test_multi_round.c	file	0664	1778940287491455039	667	a19a14319a9b4544ad608802a0f64190b3eb9122fb2ecda06a5ed62453beb4bb		copy	run-evidence		
harness/src/tla_trace.h	harness/src/tla_trace.h	file	0664	1778940083811824339	24411	0954ac98f060f6b5ec399d11bf37c7531b626c120dee8ef7b1660ce00ad15441		copy	run-evidence		
modeling-brief.md	modeling-brief.md	file	0664	1778903193451755646	31199	23b3b5decf3d3a19aae93974bb9e8022938ca4f190cde9f8ebe281d8578e0603		copy	run-evidence		
pipeline-summary.md	pipeline-summary.md	file	0664	1779095081579271930	694	11bd8d817c3fd012b6c6b52874ebd59dbf63268079ab9618c85b90f67ce5d401		copy	run-evidence		
repro	repro	directory	0775	1779022088802756057				mkdir	run-directory		
repro/test_bug1	repro/test_bug1	file	0775	1779021856853517823	16800	0187bff9d79821b27b4d9784a239e922b5ff94441beb84c9ec74147e79d2cdaa		copy	run-evidence		
repro/test_bug1_cancel_publish_race.c	repro/test_bug1_cancel_publish_race.c	file	0664	1779021852565438750	8758	08fe57ffeed8e955a7e150974b3f454a93842e6c3bcc5d388ba5410745ea0667		copy	run-evidence		
repro/test_bug1_output.txt	repro/test_bug1_output.txt	file	0664	1779022355913455691	163	4dd7103877fc37a7bceef9dc6f3ec3d964390b1e745fe734be1d902476dd6e3a		copy	run-evidence		
repro/test_bug1_tsan	repro/test_bug1_tsan	file	0775	1779021892583174547	22944	c0ecd56da5803d2b7342e19f6eec1af61b47c3960aea1c715b42ea87bed8dc42		copy	run-evidence		
repro/test_bug1_tsan_output.txt	repro/test_bug1_tsan_output.txt	file	0664	1779022355949456336	3811	cf7a081f09468e5a2feac368f38542e7d4b89d5d2bd2c4506464c9af26a0db41		copy	run-evidence		
repro/test_bug2	repro/test_bug2	file	0775	1779022003227182969	16680	88649c63db0ae7412cacb8727bae6ad88524768a67efb201ead1ad07325dbae2		copy	run-evidence		
repro/test_bug2_output.txt	repro/test_bug2_output.txt	file	0664	1779022372402761756	254	e229116f16b921e188d8f89b8be517684cf7dd8c442f43462687dcfb88ae3576		copy	run-evidence		
repro/test_bug2_stale_team_attempt.c	repro/test_bug2_stale_team_attempt.c	file	0664	1779021996387055392	5067	eb3755120b089ff56d3a8d871eefb3c7ce9b6fadc1fcb61ccaaecb53af110c9e		copy	run-evidence		
spec	spec	directory	0775	1778901542236812683				mkdir	run-directory		
