source_path	destination_path	type	mode	mtime_ns	size	sha256	symlink_target	action	classification	reason	encoded
external:artifact	.record/source-snapshots/external-artifact-539554476da0.tar	directory	0700	1784644678919839733	656753362	377d6949c04c298f448ec73a727461657d8ec16a756723e6411525eeed5cebe4		snapshot	source-snapshot	non-git-source-snapshot	"{""codec"": ""zstd"", ""codec_version"": ""1.5.5"", ""content_entries"": 59631, ""content_id"": ""sha256:377d6949c04c298f448ec73a727461657d8ec16a756723e6411525eeed5cebe4"", ""content_manifest"": "".record/source-snapshots/external-artifact-539554476da0.tar.files.tsv"", ""content_manifest_bytes"": 9503796, ""content_manifest_sha256"": ""413259c7f249a8df14b4fe7f4fda3d6bd6f1fc476c22be747f4f31e178d07429"", ""encoded_bytes"": 110465191, ""encoded_sha256"": ""9ef1a26fd37b9ee925d0016a632cc580a8481fbc7dc8bffa05ba88f3098a4100"", ""parts"": [{""bytes"": 50331648, ""path"": ""external-artifact-539554476da0.tar.zst.part-0000"", ""sha256"": ""7ee1a01013ab153c4e9795c7dd6f9625bfa91ba97d683d8d945449a1f0d6942e""}, {""bytes"": 50331648, ""path"": ""external-artifact-539554476da0.tar.zst.part-0001"", ""sha256"": ""65cbd0c186dcdc30aa4e814cf6b6d4219001f6fc94deed6879cae279ffb5e49c""}, {""bytes"": 9801895, ""path"": ""external-artifact-539554476da0.tar.zst.part-0002"", ""sha256"": ""f1c92d14a10b218bdfe2d6ccee84fed8ef98f932524792af48b26cfae0dd4e9f""}], ""tar_bytes"": 762542080, ""tar_sha256"": ""3fd226ffc3ff28ba304677c0c6ba7fe2e6d7aea61d6bf3c4d2ec856e98bda336""}"
mongodb-index-builds	mongodb-index-builds	directory	0700	1784222836856634474				mkdir	run-directory		
mongodb-index-builds/.specula-output	mongodb-index-builds/.specula-output	directory	0700	1784223548829649261				mkdir	run-directory		
mongodb-index-builds/.specula-output/.prompt-extra.md	mongodb-index-builds/.specula-output/.prompt-extra.md	file	0600	1784222836858634514	1896	40fc6b8da4169baed0cc7b78b60507c3a7965a2b3d3f51bbf5f1df1fbc7deb64		copy	run-evidence		
mongodb-index-builds/.specula-output/.prompt.md	mongodb-index-builds/.specula-output/.prompt.md	file	0600	1784222837195641111	3143	4350d23810251ec08cd9d832e8df8a58324689871c958de89f5af813b7e64d72		copy	run-evidence		
mongodb-index-builds/.specula-output/agent.activity.jsonl	mongodb-index-builds/.specula-output/agent.activity.jsonl	file	0600	1784223548642645590	37715	9d2aaa39c5eb2642f7896272dc864ce8dde5c8295af59fd3503301ae10467a0b		copy	run-evidence		
mongodb-index-builds/.specula-output/agent.log	mongodb-index-builds/.specula-output/agent.log	file	0600	1784223548613645020	12966	d2164e357b385d922445872935958bf5067b55453cc6a2806820a30db846ab3a		copy	run-evidence		
mongodb-index-builds/.specula-output/agent.pid		file	0600	1784222837197641150	8	56d5e7b3a0d3fb4968ecdc6faf467e3c88df58f591f64c83e2de0f3998020c95		exclude	non-evidence	ephemeral-process-id	
mongodb-index-builds/.specula-output/agent.usage.json	mongodb-index-builds/.specula-output/agent.usage.json	file	0600	1784223549260657723	245	cf3c31415ea2927b8d82941e4c8b02c7a19fb3a775eb7eadde754337e834f32c		copy	run-evidence		
pipeline.log	pipeline.log	file	0600	1784223549638665143	17345	a252c5813f67f359c6e08ebe0d67164e1a245a9246341ec67759c91c1a34a016		copy	run-evidence		
run.json	run.json	file	0600	1784222836960636511	1035	6d4edfbcd5d667d3d754d54da053bba888457cf5b013dbb286a2c9e4ac7a1d47		copy	run-evidence		
tlc-resources.json	tlc-resources.json	file	0600	1784222836953636373	69	6069a8883123abb4236d69b1be53f2d7de8e990560396ea3aa0d3e3cb695e025		copy	run-evidence		
