source_path	destination_path	type	mode	mtime_ns	size	sha256	symlink_target	action	classification	reason	encoded
external:artifact	.record/source-snapshots/external-artifact-539554476da0.tar	directory	0700	1784644678924839758	648901563	1817bb7ac0a04f1db2de7dc05547eef3145bdaaa8deb19c554b24fb9073a2fa2		snapshot	source-snapshot	non-git-source-snapshot	"{""codec"": ""zstd"", ""codec_version"": ""1.5.5"", ""content_entries"": 59081, ""content_id"": ""sha256:1817bb7ac0a04f1db2de7dc05547eef3145bdaaa8deb19c554b24fb9073a2fa2"", ""content_manifest"": "".record/source-snapshots/external-artifact-539554476da0.tar.files.tsv"", ""content_manifest_bytes"": 9436956, ""content_manifest_sha256"": ""a2d75ad868a2dc9c6a6c3752050e9b9b051c8eea4de414cad48a57736a56105c"", ""encoded_bytes"": 109870132, ""encoded_sha256"": ""359ec6a970463c2b0e9cf76039bf2c851bf8c9c28dcf087a958990d568370101"", ""parts"": [{""bytes"": 50331648, ""path"": ""external-artifact-539554476da0.tar.zst.part-0000"", ""sha256"": ""b4a145dc35b9ce64f13c047b5f1cfb7590f332a905bbafeef03a80fcde04f20a""}, {""bytes"": 50331648, ""path"": ""external-artifact-539554476da0.tar.zst.part-0001"", ""sha256"": ""08f68d29e1fd0887816191d42199d420364cc51c3f5b1f1e931740913553e859""}, {""bytes"": 9206836, ""path"": ""external-artifact-539554476da0.tar.zst.part-0002"", ""sha256"": ""098c1a0c97ce2d15365a4e0babca0289bf96b06eba2692669ed1baa66e866e0b""}], ""tar_bytes"": 753786880, ""tar_sha256"": ""f69b7fd376e01eaf37fed958bddee351fd58f5bd0d2dd71ebe18bc7e8dca9ea4""}"
mongodb-index-builds	mongodb-index-builds	directory	0700	1784262786923467165				mkdir	run-directory		
mongodb-index-builds/.specula-output	mongodb-index-builds/.specula-output	directory	0700	1784266557337768326				mkdir	run-directory		
mongodb-index-builds/.specula-output/.prompt-extra.md	mongodb-index-builds/.specula-output/.prompt-extra.md	file	0600	1784262786925467202	1896	40fc6b8da4169baed0cc7b78b60507c3a7965a2b3d3f51bbf5f1df1fbc7deb64		copy	run-evidence		
mongodb-index-builds/.specula-output/.prompt.md	mongodb-index-builds/.specula-output/.prompt.md	file	0600	1784263401681814063	3638	86e63c4109fe5fb731fa4a42a69043602e7b82d0f2b39e6a4c9b7ead007f0a4f		copy	run-evidence		
mongodb-index-builds/.specula-output/agent.activity.jsonl	mongodb-index-builds/.specula-output/agent.activity.jsonl	file	0600	1784266585480313245	92784	7f140811f4c9be43dd535d89086c4230ffc9739122d58a6170e04dc09171e4da		copy	run-evidence		
mongodb-index-builds/.specula-output/agent.log	mongodb-index-builds/.specula-output/agent.log	file	0600	1784266585431312302	25920	10448a36e8b053871dc0d46303ceb631e22fe6b62cd47a5cd319ff426b420cee		copy	run-evidence		
mongodb-index-builds/.specula-output/agent.pid		file	0600	1784263401682814082	8	ffae9e967a0567c5245b8640f7581d1face343d987a809555f7ca5ec7fbb8e74		exclude	non-evidence	ephemeral-process-id	
mongodb-index-builds/.specula-output/agent.usage.json	mongodb-index-builds/.specula-output/agent.usage.json	file	0600	1784266585994323135	245	f003153ab204d15e8dbf8fc890aa4f432fc0b87fa3f974680842851ce128d8b7		copy	run-evidence		
mongodb-index-builds/.specula-output/analysis-report.md	mongodb-index-builds/.specula-output/analysis-report.md	file	0600	1784266557337768326	37548	406ce79bef8cf583948cde9e66a1ccd5d90f4045270d7ff5dc4525adf2a12290		copy	run-evidence		
mongodb-index-builds/.specula-output/modeling-brief.md	mongodb-index-builds/.specula-output/modeling-brief.md	file	0600	1784266351591812132	18603	d7f784a5932041f4b820eb1bb14f7c20749b4a30f6311b76ba10e1d6d6c3cda0		copy	run-evidence		
pipeline.log	pipeline.log	file	0600	1784266586733337355	47763	bfb99b562f015a6a540246ee2a73aae1798218441d5e4b01424c34c18d5b2a43		copy	run-evidence		
run.json	run.json	file	0600	1784262787029469114	1087	f96b8b863e4c1d6263c3f185a5e5d984cf85b596b7652397fb01ea9a88bd1fe8		copy	run-evidence		
tlc-resources.json	tlc-resources.json	file	0600	1784262787022468986	69	6069a8883123abb4236d69b1be53f2d7de8e990560396ea3aa0d3e3cb695e025		copy	run-evidence		
