source_path	destination_path	type	mode	mtime_ns	size	sha256	symlink_target	action	classification	reason	encoded
external:artifact	.record/source-snapshots/external-artifact-539554476da0.tar	directory	0700	1784644678924839758	648901563	1817bb7ac0a04f1db2de7dc05547eef3145bdaaa8deb19c554b24fb9073a2fa2		snapshot	source-snapshot	non-git-source-snapshot	"{""codec"": ""zstd"", ""codec_version"": ""1.5.5"", ""content_entries"": 59081, ""content_id"": ""sha256:1817bb7ac0a04f1db2de7dc05547eef3145bdaaa8deb19c554b24fb9073a2fa2"", ""content_manifest"": "".record/source-snapshots/external-artifact-539554476da0.tar.files.tsv"", ""content_manifest_bytes"": 9436956, ""content_manifest_sha256"": ""a2d75ad868a2dc9c6a6c3752050e9b9b051c8eea4de414cad48a57736a56105c"", ""encoded_bytes"": 109870132, ""encoded_sha256"": ""359ec6a970463c2b0e9cf76039bf2c851bf8c9c28dcf087a958990d568370101"", ""parts"": [{""bytes"": 50331648, ""path"": ""external-artifact-539554476da0.tar.zst.part-0000"", ""sha256"": ""b4a145dc35b9ce64f13c047b5f1cfb7590f332a905bbafeef03a80fcde04f20a""}, {""bytes"": 50331648, ""path"": ""external-artifact-539554476da0.tar.zst.part-0001"", ""sha256"": ""08f68d29e1fd0887816191d42199d420364cc51c3f5b1f1e931740913553e859""}, {""bytes"": 9206836, ""path"": ""external-artifact-539554476da0.tar.zst.part-0002"", ""sha256"": ""098c1a0c97ce2d15365a4e0babca0289bf96b06eba2692669ed1baa66e866e0b""}], ""tar_bytes"": 753786880, ""tar_sha256"": ""f69b7fd376e01eaf37fed958bddee351fd58f5bd0d2dd71ebe18bc7e8dca9ea4""}"
mongodb-index-builds	mongodb-index-builds	directory	0700	1784281082882252508				mkdir	run-directory		
mongodb-index-builds/.specula-output	mongodb-index-builds/.specula-output	directory	0700	1784294458944167491				mkdir	run-directory		
mongodb-index-builds/.specula-output/.archaeology-commits.tmp	mongodb-index-builds/.specula-output/.archaeology-commits.tmp	file	0600	1784284734579446691	90	3b9a789f01869751b0722b679743fe3beb654b00aee8e1dd99cdf3f0b5f3bafd		copy	run-evidence		
mongodb-index-builds/.specula-output/.prompt-extra.md	mongodb-index-builds/.specula-output/.prompt-extra.md	file	0600	1784281082884252547	1896	40fc6b8da4169baed0cc7b78b60507c3a7965a2b3d3f51bbf5f1df1fbc7deb64		copy	run-evidence		
mongodb-index-builds/.specula-output/.prompt.md	mongodb-index-builds/.specula-output/.prompt.md	file	0600	1784294458863165913	3644	506e0e47469c82e3e2d2fc58394b8611b62ed082d11b0057817ac157464e4372		copy	run-evidence		
mongodb-index-builds/.specula-output/agent.activity.jsonl	mongodb-index-builds/.specula-output/agent.activity.jsonl	file	0600	1784295584303976448	34620	3a86360f9172429febf82066f288e1f4497d245abbe7838aebcdeb97ae4e49f7		copy	run-evidence		
mongodb-index-builds/.specula-output/agent.log	mongodb-index-builds/.specula-output/agent.log	file	0600	1784295584303976448	11261	a03eaf12fbe1ce7d6cf0383d9c72a2fd74877f17f5e501fb96b782ef07235ae7		copy	run-evidence		
mongodb-index-builds/.specula-output/agent.pid		file	0600	1784294458864165933	8	c481551ceceb68c5ccd0be1774eba2e454d3153d91c7e3eba0d16b91a1d0634a		exclude	non-evidence	ephemeral-process-id	
mongodb-index-builds/.specula-output/agent.usage.json	mongodb-index-builds/.specula-output/agent.usage.json	file	0600	1784294458080150657	245	97faad68abe10702681fdd0b31ad4b5e8ab6f28a1dff29bf4f3a30cabc3215ec		copy	run-evidence		
mongodb-index-builds/.specula-output/analysis-report.md	mongodb-index-builds/.specula-output/analysis-report.md	file	0600	1784290923962753337	51947	30daaabad982ffec477fa09754a79d3ba8fc31228aba224a3ef1347728a95a34		copy	run-evidence		
mongodb-index-builds/.specula-output/modeling-brief.md	mongodb-index-builds/.specula-output/modeling-brief.md	file	0600	1784294128913700707	23480	6a72685a2e717d79094936450cc975a144ae9e0b9458191be2ec5f851f0eab22		copy	run-evidence		
pipeline.log	pipeline.log	file	0600	1784295584678984809	182878	2f6fb2b632e325973332876348b141503f0369bdac1cf2f02039d2e67b3ef2c5		copy	run-evidence		
run.json	run.json	file	0600	1784281082989254606	1115	32a91442a8b36f078b8905f47c04ac79a4a6f620c6626009702dc60b4d609e6d		copy	run-evidence		
tlc-resources.json	tlc-resources.json	file	0600	1784281082983254489	69	6069a8883123abb4236d69b1be53f2d7de8e990560396ea3aa0d3e3cb695e025		copy	run-evidence		
