source_path	destination_path	type	mode	mtime_ns	size	sha256	symlink_target	action	classification	reason	encoded
external:artifact	.record/source-snapshots/external-artifact-539554476da0.tar	directory	0700	1784644678920839738	656753926	6efedfc02adc1d5ac6f9385e15e527d4d1167f67fa0e9349fc006163b1714482		snapshot	source-snapshot	non-git-source-snapshot	"{""codec"": ""zstd"", ""codec_version"": ""1.5.5"", ""content_entries"": 59629, ""content_id"": ""sha256:6efedfc02adc1d5ac6f9385e15e527d4d1167f67fa0e9349fc006163b1714482"", ""content_manifest"": "".record/source-snapshots/external-artifact-539554476da0.tar.files.tsv"", ""content_manifest_bytes"": 9503614, ""content_manifest_sha256"": ""e64a6d3e78a88f4a74af45905b465d22f926a717245b2398db1847bffaf577ee"", ""encoded_bytes"": 110479540, ""encoded_sha256"": ""09a53d22c6a3480b0b634885e3d81467653b55b17972642faba57d4aeea242fc"", ""parts"": [{""bytes"": 50331648, ""path"": ""external-artifact-539554476da0.tar.zst.part-0000"", ""sha256"": ""c159620e3dc97c4854d68aae7880d1b7b2be7fbd5dcb878acdf9c30393a467a6""}, {""bytes"": 50331648, ""path"": ""external-artifact-539554476da0.tar.zst.part-0001"", ""sha256"": ""30ca8fbcb0d41d21cc103d7ac53d67947f8489fe85897393ed47b7cf7d7b163f""}, {""bytes"": 9816244, ""path"": ""external-artifact-539554476da0.tar.zst.part-0002"", ""sha256"": ""a8a0c82381a079ac6e017b0252f6e512fef8ff6613eb98940b73ea74ce15fb5e""}], ""tar_bytes"": 762542080, ""tar_sha256"": ""c9d48fc476dcda8a6fea87d702646f01005a4f43b896094d2bc378fb576461fb""}"
mongodb-initial-sync	mongodb-initial-sync	directory	0700	1784222866873224414				mkdir	run-directory		
mongodb-initial-sync/.specula-output	mongodb-initial-sync/.specula-output	directory	0700	1784223521528114755				mkdir	run-directory		
mongodb-initial-sync/.specula-output/.prompt-extra.md	mongodb-initial-sync/.specula-output/.prompt-extra.md	file	0600	1784222866875224454	1981	e5a4c21d935d2e085b7c6cb89a2c1d339fc077bace41e30056a5e87417f90461		copy	run-evidence		
mongodb-initial-sync/.specula-output/.prompt.md	mongodb-initial-sync/.specula-output/.prompt.md	file	0600	1784222867212231127	3214	72cfd897b781e228e102f8784514f4698a76cecbf6a16c0a392461051957e7a1		copy	run-evidence		
mongodb-initial-sync/.specula-output/agent.activity.jsonl	mongodb-initial-sync/.specula-output/agent.activity.jsonl	file	0600	1784223521345111172	27882	c4b137967551dc63cdd5509edda40b216b7caa42508ef973c632c1b79e9c325b		copy	run-evidence		
mongodb-initial-sync/.specula-output/agent.log	mongodb-initial-sync/.specula-output/agent.log	file	0600	1784223521317110624	10546	3c388018c62cc478a656196e6b8eccca44590aa037616b99739a02caf0c0ca67		copy	run-evidence		
mongodb-initial-sync/.specula-output/agent.pid		file	0600	1784222867213231147	8	2254a7399b541047af2eaff2da8180243af59e47cc403cffbccc5932848475d2		exclude	non-evidence	ephemeral-process-id	
mongodb-initial-sync/.specula-output/agent.usage.json	mongodb-initial-sync/.specula-output/agent.usage.json	file	0600	1784223522288129636	245	95a3aef507ec43930348a59251b8b68fd650d8509e381eeafa959764511d9957		copy	run-evidence		
pipeline.log	pipeline.log	file	0600	1784223522740138486	14801	27a9d6257050a412e7808c0c069824f40a4ac1e11c5b9571275d8ae6f3343c99		copy	run-evidence		
run.json	run.json	file	0600	1784222866976226454	1007	f4216a3d1bea0c6b13660f75450f31fdf62f1a4b9b6b9a4c5a880d74156742de		copy	run-evidence		
tlc-resources.json	tlc-resources.json	file	0600	1784222866970226335	69	6069a8883123abb4236d69b1be53f2d7de8e990560396ea3aa0d3e3cb695e025		copy	run-evidence		
