source_path	destination_path	type	mode	mtime_ns	size	sha256	symlink_target	action	classification	reason	encoded
external:artifact	.record/source-snapshots/external-artifact-539554476da0.tar	directory	0700	1784644678945839863	706489768	39a48d6a9021f022921fccd7db434ceb6e7cf1b246d820187adb413e0a77c755		snapshot	source-snapshot	non-git-source-snapshot	"{""codec"": ""zstd"", ""codec_version"": ""1.5.5"", ""content_entries"": 59089, ""content_id"": ""sha256:39a48d6a9021f022921fccd7db434ceb6e7cf1b246d820187adb413e0a77c755"", ""content_manifest"": "".record/source-snapshots/external-artifact-539554476da0.tar.files.tsv"", ""content_manifest_bytes"": 9437937, ""content_manifest_sha256"": ""5ee43e0db0add5fe43d2408805b68fae511250acaa91eeebdc58367145333a38"", ""encoded_bytes"": 163448835, ""encoded_sha256"": ""9618d49f659ee642af1376f5d134313bb0251e89ef28ad766e3c4f03abe85ccd"", ""parts"": [{""bytes"": 50331648, ""path"": ""external-artifact-539554476da0.tar.zst.part-0000"", ""sha256"": ""d5f37cee79c210331e40f2c55648cb56be722fc30e4a7eb62d416499a82c3b31""}, {""bytes"": 50331648, ""path"": ""external-artifact-539554476da0.tar.zst.part-0001"", ""sha256"": ""ee18c8416b7bb27dbc3d81f167002be014ddfd2512aff3f2c12e89185f3ea337""}, {""bytes"": 50331648, ""path"": ""external-artifact-539554476da0.tar.zst.part-0002"", ""sha256"": ""bcfc20b08362d84551e5ceb846d5685caab80a02c48e6e5b9bc893b850a2873d""}, {""bytes"": 12453891, ""path"": ""external-artifact-539554476da0.tar.zst.part-0003"", ""sha256"": ""7f07e82ab345d05d358d40484ab205689216f6b48d0af063a4597b098b3d2e28""}], ""tar_bytes"": 811386880, ""tar_sha256"": ""49852fd4e5221cee133b84fb917bc22c8c42224b31c45ae02c608fbe3fc59945""}"
mongodb-initial-sync	mongodb-initial-sync	directory	0700	1784262816940936650				mkdir	run-directory		
mongodb-initial-sync/.specula-output	mongodb-initial-sync/.specula-output	directory	0700	1784268456401986297				mkdir	run-directory		
mongodb-initial-sync/.specula-output/.prompt-extra.md	mongodb-initial-sync/.specula-output/.prompt-extra.md	file	0600	1784262816943936701	1981	e5a4c21d935d2e085b7c6cb89a2c1d339fc077bace41e30056a5e87417f90461		copy	run-evidence		
mongodb-initial-sync/.specula-output/.prompt.md	mongodb-initial-sync/.specula-output/.prompt.md	file	0600	1784262817357943760	3266	8e86d91af10f86122583576f94a05f960bcc7febf6e951317cfe82d25dd949e8		copy	run-evidence		
mongodb-initial-sync/.specula-output/.spec-gen-prompt.md	mongodb-initial-sync/.specula-output/.spec-gen-prompt.md	file	0600	1784268456320984712	4946	4224190a468a8622d63c7fc10ed208e8450d1ce59198e04b5a4c2681e6f172f0		copy	run-evidence		
mongodb-initial-sync/.specula-output/agent.activity.jsonl	mongodb-initial-sync/.specula-output/agent.activity.jsonl	file	0600	1784264967939589591	82180	82b319385d14c97389f7910ccbd841610a4868195f2da7dbd29bfc0d39fbf08f		copy	run-evidence		
mongodb-initial-sync/.specula-output/agent.last-message.txt	mongodb-initial-sync/.specula-output/agent.last-message.txt	file	0600	1784264967978590305	932	13cb88482ee104caddea9a08b86d4d5a0505d8b26cdfe240c8a85000c7e18ec8		copy	run-evidence		
mongodb-initial-sync/.specula-output/agent.log	mongodb-initial-sync/.specula-output/agent.log	file	0600	1784264967871588345	28336	394f3b6b681050f53493e3afb936185de600c2805eb15677298fe88b749634bf		copy	run-evidence		
mongodb-initial-sync/.specula-output/agent.pid		file	0600	1784262817359943794	8	fe1be243556e217747c1d8273df15d52900e65d50b30d9057433c45697566df4		exclude	non-evidence	ephemeral-process-id	
mongodb-initial-sync/.specula-output/agent.usage.json	mongodb-initial-sync/.specula-output/agent.usage.json	file	0600	1784264968488599650	245	d63e73c50ca687c1aa91f05f076f4b64cce5fcae6398826f36025fd00abcbe47		copy	run-evidence		
mongodb-initial-sync/.specula-output/analysis-report.md	mongodb-initial-sync/.specula-output/analysis-report.md	file	0600	1784264937202025090	29446	7973b9cdd44839ca43761eba67f9813855c45c098061f13b7f3370379e08be77		copy	run-evidence		
mongodb-initial-sync/.specula-output/modeling-brief.md	mongodb-initial-sync/.specula-output/modeling-brief.md	file	0600	1784264668177979077	19460	ecd8ddc50cb5c1b68482c5a025d39e1734daa9b05bab684dcb2d8de4f7d9336d		copy	run-evidence		
mongodb-initial-sync/.specula-output/spec	mongodb-initial-sync/.specula-output/spec	directory	0700	1784272220393489146				mkdir	run-directory		
mongodb-initial-sync/.specula-output/spec-gen.activity.jsonl	mongodb-initial-sync/.specula-output/spec-gen.activity.jsonl	file	0600	1784272384935774999	23719	9ea53b2c152ed240cdcb19e6c06dff3fada7ebc33a7b4d3be942342000c30e4a		copy	run-evidence		
mongodb-initial-sync/.specula-output/spec-gen.log	mongodb-initial-sync/.specula-output/spec-gen.log	file	0600	1784272384903774360	8811	9f710db06694c7ba9c45589aacbdfac69180210b52336fde0fd0f5ad7cb3100d		copy	run-evidence		
mongodb-initial-sync/.specula-output/spec-gen.pid		file	0600	1784268456322984752	8	fd4612be4598d0554e998636e261b2d813c702167c346658f2771f7aeae29083		exclude	non-evidence	ephemeral-process-id	
mongodb-initial-sync/.specula-output/spec-gen.usage.json	mongodb-initial-sync/.specula-output/spec-gen.usage.json	file	0600	1784272385829792857	245	b45d9fb14ac4a2b4b168092f8957e1111c73f95ff4779b46d364dfc4141b1de1		copy	run-evidence		
mongodb-initial-sync/.specula-output/spec/base.cfg	mongodb-initial-sync/.specula-output/spec/base.cfg	file	0600	1784272220393489146	629	c7f8faae20669d8b6c8b5f0943118192b74b2ddec0bcb990ea0c3c477bdce65d		copy	run-evidence		
mongodb-initial-sync/.specula-output/spec/base.tla	mongodb-initial-sync/.specula-output/spec/base.tla	file	0600	1784272220392489125	97380	f6a86125babb45f31cc4a11944fd817e8b38f273108310f27101b98906c99e1e		copy	run-evidence		
pipeline.log	pipeline.log	file	0600	1784272386340803065	55620	324298fab892ad1e0b2d915428462768a21f9ae6baf0db8e1ab362293b081bc7		copy	run-evidence		
run.json	run.json	file	0600	1784262817048938491	1059	ea26b56e0e9e5cd1df8517cf7c5f0fe6700b9c07f148634dfdc795b3e92a082a		copy	run-evidence		
tlc-resources.json	tlc-resources.json	file	0600	1784262817040938355	69	6069a8883123abb4236d69b1be53f2d7de8e990560396ea3aa0d3e3cb695e025		copy	run-evidence		
