source_path	destination_path	type	mode	mtime_ns	size	sha256	symlink_target	action	classification	reason	encoded
external:artifact	.record/source-snapshots/external-artifact-539554476da0.tar	directory	0700	1784644678945839863	706489768	39a48d6a9021f022921fccd7db434ceb6e7cf1b246d820187adb413e0a77c755		snapshot	source-snapshot	non-git-source-snapshot	"{""codec"": ""zstd"", ""codec_version"": ""1.5.5"", ""content_entries"": 59089, ""content_id"": ""sha256:39a48d6a9021f022921fccd7db434ceb6e7cf1b246d820187adb413e0a77c755"", ""content_manifest"": "".record/source-snapshots/external-artifact-539554476da0.tar.files.tsv"", ""content_manifest_bytes"": 9437937, ""content_manifest_sha256"": ""5ee43e0db0add5fe43d2408805b68fae511250acaa91eeebdc58367145333a38"", ""encoded_bytes"": 163448835, ""encoded_sha256"": ""9618d49f659ee642af1376f5d134313bb0251e89ef28ad766e3c4f03abe85ccd"", ""parts"": [{""bytes"": 50331648, ""path"": ""external-artifact-539554476da0.tar.zst.part-0000"", ""sha256"": ""d5f37cee79c210331e40f2c55648cb56be722fc30e4a7eb62d416499a82c3b31""}, {""bytes"": 50331648, ""path"": ""external-artifact-539554476da0.tar.zst.part-0001"", ""sha256"": ""ee18c8416b7bb27dbc3d81f167002be014ddfd2512aff3f2c12e89185f3ea337""}, {""bytes"": 50331648, ""path"": ""external-artifact-539554476da0.tar.zst.part-0002"", ""sha256"": ""bcfc20b08362d84551e5ceb846d5685caab80a02c48e6e5b9bc893b850a2873d""}, {""bytes"": 12453891, ""path"": ""external-artifact-539554476da0.tar.zst.part-0003"", ""sha256"": ""7f07e82ab345d05d358d40484ab205689216f6b48d0af063a4597b098b3d2e28""}], ""tar_bytes"": 811386880, ""tar_sha256"": ""49852fd4e5221cee133b84fb917bc22c8c42224b31c45ae02c608fbe3fc59945""}"
mongodb-initial-sync	mongodb-initial-sync	directory	0700	1784281112898838098				mkdir	run-directory		
mongodb-initial-sync/.specula-output	mongodb-initial-sync/.specula-output	directory	0700	1784293581251433394				mkdir	run-directory		
mongodb-initial-sync/.specula-output/.harness-gen-prompt.md	mongodb-initial-sync/.specula-output/.harness-gen-prompt.md	file	0600	1784293581169431565	5046	a066d30d092116879dd332607b560bd0e5ba653b7c7737e8babbab8411a6eb1e		copy	run-evidence		
mongodb-initial-sync/.specula-output/.prompt-extra.md	mongodb-initial-sync/.specula-output/.prompt-extra.md	file	0600	1784281112900838137	1981	e5a4c21d935d2e085b7c6cb89a2c1d339fc077bace41e30056a5e87417f90461		copy	run-evidence		
mongodb-initial-sync/.specula-output/.prompt.md	mongodb-initial-sync/.specula-output/.prompt.md	file	0600	1784282765302602648	3715	0afbbadcc4eecd8ef19613094b0114e0589034bb57d1efe52e8c3524956b2229		copy	run-evidence		
mongodb-initial-sync/.specula-output/.spec-gen-prompt.md	mongodb-initial-sync/.specula-output/.spec-gen-prompt.md	file	0600	1784285590398910751	4968	14da95472dc2aabc13b10dbff376a553cd36a14ab3b14740980ea422367dd13f		copy	run-evidence		
mongodb-initial-sync/.specula-output/agent.activity.jsonl	mongodb-initial-sync/.specula-output/agent.activity.jsonl	file	0600	1784283903593495707	45440	9ea61b8e6f535814f5e5d49bb3707458444670a83e397e6f5ed0b388fcfa4695		copy	run-evidence		
mongodb-initial-sync/.specula-output/agent.last-message.txt	mongodb-initial-sync/.specula-output/agent.last-message.txt	file	0600	1784283903636496553	1133	d2ceb30b9671c342c9b5ede9b34ba73088ce5869c92c103d137da05de0a3f3fb		copy	run-evidence		
mongodb-initial-sync/.specula-output/agent.log	mongodb-initial-sync/.specula-output/agent.log	file	0600	1784283903538494626	12561	6e42ae8463ab4219b3eebfc1d977eca5e8de799025679f4ebce14d534442f686		copy	run-evidence		
