source_path	destination_path	type	mode	mtime_ns	size	sha256	symlink_target	action	classification	reason	encoded
external:artifact	.record/source-snapshots/external-artifact-539554476da0.tar	directory	0700	1784644678922839748	648901563	b521df996a683f2cd0dd617a87c66a7241254d8dac0eeba919ec63e65a8053eb		snapshot	source-snapshot	non-git-source-snapshot	"{""codec"": ""zstd"", ""codec_version"": ""1.5.5"", ""content_entries"": 59081, ""content_id"": ""sha256:b521df996a683f2cd0dd617a87c66a7241254d8dac0eeba919ec63e65a8053eb"", ""content_manifest"": "".record/source-snapshots/external-artifact-539554476da0.tar.files.tsv"", ""content_manifest_bytes"": 9436956, ""content_manifest_sha256"": ""6cb3f513546f566a2968f85406110bd05fa16a3c95c7fc8d1f77afc054af1149"", ""encoded_bytes"": 109850389, ""encoded_sha256"": ""accb2ddaa564b002106c4122ef177e30fd40edf6297274abced3554b17be04ce"", ""parts"": [{""bytes"": 50331648, ""path"": ""external-artifact-539554476da0.tar.zst.part-0000"", ""sha256"": ""b8f7d2ebb3c36e9b5e094b1184d5e00843ce85b88c35b84a2bf2d6e1354e481b""}, {""bytes"": 50331648, ""path"": ""external-artifact-539554476da0.tar.zst.part-0001"", ""sha256"": ""7f79a0d56c0c9e59df4cd5d7c45025db1edf8ef4cfc75c3357d5430ffc78cad2""}, {""bytes"": 9187093, ""path"": ""external-artifact-539554476da0.tar.zst.part-0002"", ""sha256"": ""3f1cfd634fb51b8cfc9c2cdd8f5e835937bf2b5109f7ff3c9a3f7cead8c8432c""}], ""tar_bytes"": 753786880, ""tar_sha256"": ""d92ba62c50ed1b62d59ea739a94ff9b5ba180f06a0e5768ab92895d21edc4a1e""}"
mongodb-transaction-coordinator	mongodb-transaction-coordinator	directory	0700	1784264963109501096				mkdir	run-directory		
mongodb-transaction-coordinator/.specula-output	mongodb-transaction-coordinator/.specula-output	directory	0700	1784265041662962656				mkdir	run-directory		
mongodb-transaction-coordinator/.specula-output/.prompt-extra.md	mongodb-transaction-coordinator/.specula-output/.prompt-extra.md	file	0600	1784264963111501132	1917	b086f723c4a4e34717e6b60877d5f10f84fc409198f6ee75e9f0daca47c4deb5		copy	run-evidence		
mongodb-transaction-coordinator/.specula-output/.prompt.md	mongodb-transaction-coordinator/.specula-output/.prompt.md	file	0600	1784265041583961197	3704	8a7444110eb1fbd9acafd70f259b9a3a5aa51a6a8c6d3869eede1cefa519ea59		copy	run-evidence		
mongodb-transaction-coordinator/.specula-output/agent.activity.jsonl	mongodb-transaction-coordinator/.specula-output/agent.activity.jsonl	file	0600	1784266137358713544	60583	d229e8c091e64dc372289a6b5dab460d4270524412e26750a4a6c4a4ab82ef5d		copy	run-evidence		
mongodb-transaction-coordinator/.specula-output/agent.log	mongodb-transaction-coordinator/.specula-output/agent.log	file	0600	1784266137323712892	17034	7257c4e6f0b52b5e8721e956a31c712f75986622ca35075bb28454ed722cfa44		copy	run-evidence		
mongodb-transaction-coordinator/.specula-output/agent.pid		file	0600	1784265041585961234	8	3c7ec9aa85d0a749f5e422ad85c8c6997d41ead68f4accc78e55447bb19fddd8		exclude	non-evidence	ephemeral-process-id	
mongodb-transaction-coordinator/.specula-output/agent.usage.json	mongodb-transaction-coordinator/.specula-output/agent.usage.json	file	0600	1784266138343731902	245	d2edef008fa2a34b9446c4497d85609e6f4ba939d0b6d0d5c6b2777e085fa989		copy	run-evidence		
pipeline.log	pipeline.log	file	0600	1784266139297755938	26550	5c2ad0c0f661c69226830b5d1facf582b4a9271ec257843139a85411463b4427		copy	run-evidence		
run.json	run.json	file	0600	1784264963220503129	1111	c18252dd8dc285a6bc832a4e1c8bdaf05cb7854193c101164ce9517ee8505e4b		copy	run-evidence		
tlc-resources.json	tlc-resources.json	file	0600	1784264963207502892	69	6069a8883123abb4236d69b1be53f2d7de8e990560396ea3aa0d3e3cb695e025		copy	run-evidence		
