file	line	kind	hook
nvflare/apis/impl/wf_comm_server.py	189	hook	WFCommReportDeadClient
nvflare/apis/impl/wf_comm_server.py	281	hook	request_selected
nvflare/apis/impl/wf_comm_server.py	300	hook	BasePrepareTaskDataFailure
nvflare/apis/impl/wf_comm_server.py	319	fault	protect
nvflare/apis/impl/wf_comm_server.py	331	hook	protect
nvflare/apis/impl/wf_comm_server.py	351	hook	WFCommCheckCanSend
nvflare/apis/impl/wf_comm_server.py	443	hook	WFCommAcquireSubmission
nvflare/apis/impl/wf_comm_server.py	464	hook	dispatch_missing
nvflare/apis/impl/wf_comm_server.py	498	hook	dispatch_live
nvflare/apis/impl/wf_comm_server.py	533	hook	receipt_observed
nvflare/apis/impl/wf_comm_server.py	587	hook	WFCommScheduleTask
nvflare/apis/impl/wf_comm_server.py	826	hook	WFCommCancelTask
nvflare/apis/impl/wf_comm_server.py	910	hook	WFCommFinalizeRun
nvflare/apis/impl/wf_comm_server.py	1040	hook	monitor_begin
nvflare/apis/impl/wf_comm_server.py	1042	hook	monitor_dead_end
nvflare/apis/impl/wf_comm_server.py	1048	hook	dead_next
nvflare/apis/impl/wf_comm_server.py	1064	hook	monitor_dead_end
nvflare/apis/impl/wf_comm_server.py	1068	pause	monitor
nvflare/apis/impl/wf_comm_server.py	1075	hook	policy_result
nvflare/apis/impl/wf_comm_server.py	1081	hook	WFCommJobPolicyDecision
nvflare/apis/impl/wf_comm_server.py	1088	hook	monitor_return
nvflare/apis/impl/wf_comm_server.py	1093	hook	WFCommMonitorAcquire
nvflare/apis/impl/wf_comm_server.py	1096	hook	monitor_terminal_selected
nvflare/apis/impl/wf_comm_server.py	1108	hook	WFCommMonitorSelect
nvflare/apis/impl/wf_comm_server.py	1112	hook	WFCommMonitorMarkTerminal
nvflare/apis/impl/wf_comm_server.py	1124	hook	WFCommTaskDeadCheckDone
nvflare/apis/impl/wf_comm_server.py	1128	hook	WFCommMonitorMarkTerminal
nvflare/apis/impl/wf_comm_server.py	1142	hook	WFCommMonitorRemove
nvflare/apis/impl/wf_comm_server.py	1213	hook	WFCommReadTaskDeadClient
nvflare/apis/impl/wf_comm_server.py	1260	hook	WFCommReadPolicyClient
nvflare/app_common/aggregators/weighted_aggregation_helper.py	171	hook	helper_stats
nvflare/app_common/aggregators/weighted_aggregation_helper.py	176	fault	helper_value
nvflare/app_common/aggregators/weighted_aggregation_helper.py	221	hook	helper_value
nvflare/app_common/aggregators/weighted_aggregation_helper.py	231	hook	helper_history
nvflare/app_common/workflows/base_model_controller.py	228	fault	before_send
nvflare/app_common/workflows/base_model_controller.py	232	hook	BasePrepareTaskData
nvflare/app_common/workflows/base_model_controller.py	275	hook	BaseAcceptTrainResult
nvflare/app_common/workflows/base_model_controller.py	278	fault	conversion
nvflare/app_common/workflows/base_model_controller.py	282	hook	BaseConvertResult
nvflare/app_common/workflows/base_model_controller.py	285	hook	BaseConvertResultFailure
nvflare/app_common/workflows/base_model_controller.py	293	hook	consumer_return
nvflare/app_common/workflows/base_model_controller.py	296	hook	consumer_failure
nvflare/app_common/workflows/base_model_controller.py	302	hook	BasePublishAcceptance
nvflare/app_common/workflows/base_model_controller.py	306	hook	BaseClearTrainingResult
nvflare/app_common/workflows/base_model_controller.py	319	hook	BaseProcessUnknownResult
nvflare/app_common/workflows/base_model_controller.py	392	hook	bootstrap
nvflare/app_common/workflows/fedavg.py	198	hook	FedAvgRoundStarted
nvflare/app_common/workflows/fedavg.py	216	hook	FedAvgResetAggregation
nvflare/app_common/workflows/fedavg.py	227	pause	round_wait
nvflare/app_common/workflows/fedavg.py	229	poll_standing	poll_standing
nvflare/app_common/workflows/fedavg.py	230	poll_abort	poll_abort
nvflare/app_common/workflows/fedavg.py	234	hook	poll_sleep
nvflare/app_common/workflows/fedavg.py	245	hook	BaseFedAvgUpdateModel
nvflare/app_common/workflows/fedavg.py	267	hook	FedAvgSaveModel
nvflare/app_common/workflows/fedavg.py	271	hook	FedAvgAdvanceRound
nvflare/app_common/workflows/fedavg.py	282	hook	FedAvgAggregateOneResult
nvflare/app_common/workflows/fedavg.py	309	hook	FedAvgAggregateOneResult
nvflare/app_common/workflows/fedavg.py	326	fault	metric_preparation
nvflare/app_common/workflows/fedavg.py	332	hook	FedAvgProcessMetrics
nvflare/app_common/workflows/fedavg.py	342	hook	FedAvgProcessMetrics
nvflare/app_common/workflows/fedavg.py	363	hook	FedAvgGetAggregationStats
nvflare/app_common/workflows/fedavg.py	369	hook	WeightedGetParamResult
nvflare/app_common/workflows/fedavg.py	371	hook	WeightedGetMetricResult
nvflare/app_common/workflows/fedavg.py	386	hook	FedAvgBuildAggregateResult
nvflare/private/fed/client/client_runner.py	228	hook	ClientReceiveTask
nvflare/private/fed/client/client_runner.py	237	hook	client_processed
nvflare/private/fed/client/client_runner.py	598	hook	ClientRetryResult
nvflare/private/fed/client/client_runner.py	637	hook	dispatch_ack
nvflare/private/fed/server/server_runner.py	169	hook	ServerRunnerCloseWorkflow
nvflare/private/fed/server/server_runner.py	302	hook	ServerRunnerTaskRequestActive
nvflare/private/fed/server/server_runner.py	327	hook	request_return_empty
nvflare/private/fed/server/server_runner.py	329	hook	WFCommPublishClientTask
nvflare/private/fed/server/server_runner.py	351	hook	ServerRunnerFilterFailure
nvflare/private/fed/server/server_runner.py	360	hook	WFCommHandleException
nvflare/private/fed/server/server_runner.py	379	hook	ServerRunnerFilterTask
nvflare/private/fed/server/server_runner.py	395	hook	ServerRunnerAcquireTaskRequest
nvflare/private/fed/server/server_runner.py	474	hook	ServerRunnerProcessSubmission
nvflare/private/fed/server/server_runner.py	481	hook	ServerRunnerDropClosedSubmission
nvflare/private/fed/server/server_runner.py	484	hook	submission_return
nvflare/private/fed/server/server_runner.py	489	hook	ServerRunnerSubmissionActive
nvflare/private/fed/server/server_runner.py	597	hook	WFCommClientIsActive
nvflare/private/fed/server/server_runner.py	602	hook	ServerRunnerCheckTaskActive
nvflare/private/fed/server/server_runner.py	622	hook	ClientCheckTask
