source_path	destination_path	type	mode	mtime_ns	size	sha256	symlink_target	action	classification	reason	encoded
runs/20260722-174240-2125/opencbdc-tx/.specula-output/harness	harness	directory	0775	1785211670000000000	0			mkdir	run-directory		
runs/20260722-174240-2125/opencbdc-tx/.specula-output/harness/patched_sources	harness/patched_sources	directory	0775	1785211670000000000	0			mkdir	run-directory		
runs/20260722-174240-2125/opencbdc-tx/.specula-output/harness/patched_sources/src	harness/patched_sources/src	directory	0775	1785211670000000000	0			mkdir	run-directory		
runs/20260722-174240-2125/opencbdc-tx/.specula-output/harness/patched_sources/src/uhs	harness/patched_sources/src/uhs	directory	0775	1785211670000000000	0			mkdir	run-directory		
runs/20260722-174240-2125/opencbdc-tx/.specula-output/harness/patched_sources/src/uhs/twophase	harness/patched_sources/src/uhs/twophase	directory	0775	1785211670000000000	0			mkdir	run-directory		
runs/20260722-174240-2125/opencbdc-tx/.specula-output/harness/patched_sources/src/uhs/twophase/coordinator	harness/patched_sources/src/uhs/twophase/coordinator	directory	0775	1785211670000000000	0			mkdir	run-directory		
runs/20260722-174240-2125/opencbdc-tx/.specula-output/harness/patched_sources/src/uhs/twophase/locking_shard	harness/patched_sources/src/uhs/twophase/locking_shard	directory	0775	1785211670000000000	0			mkdir	run-directory		
runs/20260722-174240-2125/opencbdc-tx/.specula-output/harness/patched_sources/src/uhs/twophase/sentinel_2pc	harness/patched_sources/src/uhs/twophase/sentinel_2pc	directory	0775	1785211670000000000	0			mkdir	run-directory		
runs/20260722-174240-2125/opencbdc-tx/.specula-output/harness/src	harness/src	directory	0775	1785211670000000000	0			mkdir	run-directory		
runs/20260722-174240-2125/opencbdc-tx/.specula-output/repro	repro	directory	0775	1785211659000000000	0			mkdir	run-directory		
runs/20260722-174240-2125/opencbdc-tx/.specula-output/repro/build	repro/build	directory	0775	1785211659000000000	0			mkdir	run-directory		
runs/20260722-174240-2125/opencbdc-tx/.specula-output/spec	spec	directory	0775	1785211670000000000	0			mkdir	run-directory		
runs/20260722-174240-2125/opencbdc-tx/.specula-output/analysis-report.md	analysis-report.md	file	0664	1784713536000000000	14714	6456e6be0e7ca955b0a7ec2811fee0b978e6a0e367a04af94f29e46e986a61bd		copy	run-evidence		
runs/20260722-174240-2125/opencbdc-tx/.specula-output/bug-severity.md	bug-severity.md	file	0664	1784730066000000000	3035	a121ba73f93be2c344fa2b0c7b7c2fd06d43fcf735aa881972c500dc846e3e9f		copy	run-evidence		
runs/20260722-174240-2125/opencbdc-tx/.specula-output/confirmed-bugs.md	confirmed-bugs.md	file	0664	1785134243000000000	89868	d887b875df0c5ced283643ce5f8ee2015de0fac394f1095ca48de54008e721c9		copy	run-evidence		
runs/20260722-174240-2125/opencbdc-tx/.specula-output/harness/INSTRUMENTATION.md	harness/INSTRUMENTATION.md	file	0664	1784714867000000000	5394	c20f6215cd06ce1460099bc220730f7bab13d83ab6a265ae05fd64494cd8c0d7		copy	run-evidence		
runs/20260722-174240-2125/opencbdc-tx/.specula-output/harness/apply.sh	harness/apply.sh	file	0775	1784714368000000000	2527	edc9f664364269a6a95ed0bb8621bd4d4a5b8a608ea290aff10dc7f64b967451		copy	run-evidence		
runs/20260722-174240-2125/opencbdc-tx/.specula-output/harness/patched_sources/src/uhs/twophase/coordinator/controller.cpp	harness/patched_sources/src/uhs/twophase/coordinator/controller.cpp	file	0664	1784714195000000000	33876	0aa1f96fac093bddd37adaf575bf3be0f2e338a89744f02933ad71a57d7135a9		copy	run-evidence		
runs/20260722-174240-2125/opencbdc-tx/.specula-output/harness/patched_sources/src/uhs/twophase/locking_shard/controller.cpp	harness/patched_sources/src/uhs/twophase/locking_shard/controller.cpp	file	0664	1784714301000000000	5606	2925a228638a56ffac8dc2fe7727a7090f97f5b8a7d98ca86ad2a0cd2cd57604		copy	run-evidence		
runs/20260722-174240-2125/opencbdc-tx/.specula-output/harness/patched_sources/src/uhs/twophase/locking_shard/locking_shard.cpp	harness/patched_sources/src/uhs/twophase/locking_shard/locking_shard.cpp	file	0664	1784714326000000000	7746	1fe92367fd593ffbea64c5bd571298cfec5e80e2e6389ab102c0b607775bd3b8		copy	run-evidence		
runs/20260722-174240-2125/opencbdc-tx/.specula-output/harness/patched_sources/src/uhs/twophase/locking_shard/locking_shard.hpp	harness/patched_sources/src/uhs/twophase/locking_shard/locking_shard.hpp	file	0664	1784714247000000000	7295	ecfba02eb8beba127d229c3462e3d5f8a0f491af51951f3bc2bd373d23333f36		copy	run-evidence		
runs/20260722-174240-2125/opencbdc-tx/.specula-output/harness/patched_sources/src/uhs/twophase/locking_shard/state_machine.cpp	harness/patched_sources/src/uhs/twophase/locking_shard/state_machine.cpp	file	0664	1784714677000000000	5215	3319571c7b10aa41511c4f486cd86cbad875d492fe1fdc4ad40f2765b0b8f007		copy	run-evidence		
