source_path	destination_path	type	mode	mtime_ns	size	sha256	symlink_target	action	classification	reason	encoded
.harness-gen-prompt.md	.harness-gen-prompt.md	file	0664	1773760804703362985	3491	b721faaf820521af3fe167cbc8cf083cb988e7813c6be9f3f9326ca72d451d50		copy	run-evidence		
.prompt-extra.md	.prompt-extra.md	file	0664	1773756531563086233	1321	2f70f6aac4b0358bbd41095ed2f7abeae40739270170f87038e125d3c995669f		copy	run-evidence		
.prompt.md	.prompt.md	file	0664	1773756531602086980	3959	af921a169e7a21a1b374c429bb33d09715b49bd45654be4b4fd612bad5dc4fec		copy	run-evidence		
.spec-gen-prompt.md	.spec-gen-prompt.md	file	0664	1773757877304043147	4155	b60b2fbfa54ae8ad9c7a738c7fd6bd19ba8488399b7288d1e663e019af871e08		copy	run-evidence		
.spec-validation-prompt.md	.spec-validation-prompt.md	file	0664	1773763023836134634	3272	9a809636b91cd2c8e407572da01863e1d99bd30b0afca05782db55157a5e5958		copy	run-evidence		
agent.log	agent.log	file	0664	1773757876957036650	1628	4cfde99be6d84a3ec148527da943377244c9eecc06ae02da817f6df932d6219a		copy	run-evidence		
agent.pid		file	0664	1773756531604087019	7	ea8ce9c4b9e81f201ac93e317b65ddab2d521563555389de2aa16773507b950b		exclude	non-evidence	ephemeral-process-id	
analysis-report.md	analysis-report.md	file	0664	1773757857192667919	21762	141f8b019ea2392f0103531cb6c45730d0049988f3f7474311fe1634f61984a7		copy	run-evidence		
artifact	.record/source-snapshots/artifact.tar	directory	0775	1774064006514249503	0	615a97a1d36ca423cc20b531e5d7b0e6da5c6343f50cd9670658e63f6bb6f1fe		snapshot	source-snapshot	non-git-source-snapshot	"{""codec"": ""zstd"", ""codec_version"": ""1.5.5"", ""content_entries"": 1, ""content_id"": ""sha256:615a97a1d36ca423cc20b531e5d7b0e6da5c6343f50cd9670658e63f6bb6f1fe"", ""content_manifest"": "".record/source-snapshots/artifact.tar.files.tsv"", ""content_manifest_bytes"": 108, ""content_manifest_sha256"": ""dfbb62e097515d877dd2ea273d6b8bcabb02bf4b8da5f17476919425492d0944"", ""encoded_bytes"": 23, ""encoded_sha256"": ""ef077a15315f941a8fc5700796762259eb286177402b33c31d5bddc62df4a397"", ""parts"": [{""bytes"": 23, ""path"": ""artifact.tar.zst"", ""sha256"": ""ef077a15315f941a8fc5700796762259eb286177402b33c31d5bddc62df4a397""}], ""tar_bytes"": 10240, ""tar_sha256"": ""84ff92691f909a05b224e1c56abb4864f01b4f8e3c854e4bb4c7baf1d3f6d652""}"
artifact/openraft	.record/source-snapshots/artifact-openraft-ad205bc1025b.tar	directory	0775	1778171649076307195	37186643	f1680e44c9bb3305956646145038a8e83f740dc5ca17963bfbdf3f0355fcadea		snapshot	source-snapshot	non-git-source-snapshot	"{""codec"": ""zstd"", ""codec_version"": ""1.5.5"", ""content_entries"": 1083, ""content_id"": ""sha256:f1680e44c9bb3305956646145038a8e83f740dc5ca17963bfbdf3f0355fcadea"", ""content_manifest"": "".record/source-snapshots/artifact-openraft-ad205bc1025b.tar.files.tsv"", ""content_manifest_bytes"": 139261, ""content_manifest_sha256"": ""bb4652f77557a087c75188aca7004f85974b7e087837b0e7e8c2a930efed79f0"", ""encoded_bytes"": 1841202, ""encoded_sha256"": ""47bb214d420f0b5dd8056faa05c2083c08822dbe8837c50a917d7039a3877c3c"", ""parts"": [{""bytes"": 1841202, ""path"": ""artifact-openraft-ad205bc1025b.tar.zst"", ""sha256"": ""47bb214d420f0b5dd8056faa05c2083c08822dbe8837c50a917d7039a3877c3c""}], ""tar_bytes"": 39086080, ""tar_sha256"": ""37782cb5de2e6e8bd62f62f9bd8170f9b730421d467e27563c645c300cbda657""}"
