source_path	destination_path	type	mode	mtime_ns	size	sha256	symlink_target	action	classification	reason	encoded
.prompt-extra.md	.prompt-extra.md	file	0664	1777148443515382477	2677	eee83f74418b9992f3ef67fac5dc7e77a9a404bd9d4f0be5470b359e4b8bee2d		copy	run-evidence		
.specula-output	.specula-output	directory	0775	1777231993605426819				mkdir	run-directory		
.specula-output/.spec-gen-prompt.md	.specula-output/.spec-gen-prompt.md	file	0664	1777231993599426710	6488	aa73e760f033188fcefc2dfd6cc61afa6ee29a0f9b2bd3f1dfe2972de099f40a		copy	run-evidence		
.specula-output/modeling-brief.md	.specula-output/modeling-brief.md	file	0664	1777148443515382477	9531	dde69a009953d8f7287973609f1b75689298cf9e00891a47468ece4536ffda31		copy	run-evidence		
.specula-output/pipeline-summary.md	.specula-output/pipeline-summary.md	file	0664	1777151975386905174	434	c666145dae5b771d9e4e1d736c63f998643adf5cdcb716f67af4e6c469d0450b		copy	run-evidence		
.specula-output/pipeline.log	.specula-output/pipeline.log	file	0664	1777231993605426819	2938	dd78b1461f415addbfd7dc17de0ccd8f714b85e9c443152566ccac747b36e3dd		copy	run-evidence		
.specula-output/spec	.specula-output/spec	directory	0775	1777151870331971613				mkdir	run-directory		
.specula-output/spec-gen.log	.specula-output/spec-gen.log	file	0664	1777151975336904265	1461	8ae43da5ff481107cfc0b1f5c48c26ebfa0e4ed9226f89210ee04e5b815ce1b7		copy	run-evidence		
.specula-output/spec-gen.pid		file	0664	1777151417319858154	8	5d2c1784987642cd6dcf8005645180f6e5843990034f253e1f609162f481fc8a		exclude	non-evidence	ephemeral-process-id	
.specula-output/spec-gen.raw.json	.specula-output/spec-gen.raw.json	file	0664	1777151975088899761	2860	0fd985151c3db83564e98ddae85bc38cf6bae6e2af6cb2d2818c25e1330d8ed0		copy	run-evidence		
.specula-output/spec-gen.usage.json	.specula-output/spec-gen.usage.json	file	0664	1777151975356904629	1498	056069d46a6165f151c227d45b083e72273065b0c6b7d29d8e2eba5b9b9b2b69		copy	run-evidence		
.specula-output/spec/MC.cfg	.specula-output/spec/MC.cfg	file	0664	1777151734713534999	757	f025cf7ab3d81f612cf6b751c4e5e184d91a727f2904314ce05350c7bc5dd819		copy	run-evidence		
.specula-output/spec/MC.tla	.specula-output/spec/MC.tla	file	0664	1777151728314420524	1320	ebee97cf1327f26088d8e4f14757d58f887039d9caa230ea8cedbb135d6f5c4f		copy	run-evidence		
.specula-output/spec/Trace.cfg	.specula-output/spec/Trace.cfg	file	0664	1777151804082778204	646	c5b4d5f83668e0de4fceebbe1985990dbb4bf4bc602c8d37b6af5c2ed103460e		copy	run-evidence		
.specula-output/spec/Trace.tla	.specula-output/spec/Trace.tla	file	0664	1777151798336675158	6946	a27f0fe0915f3c880e74a853803fddf0670d50e05bb973d62b313024e1340dd8		copy	run-evidence		
.specula-output/spec/base.cfg	.specula-output/spec/base.cfg	file	0664	1777151681085576594	616	d51d45c226b040d80bb66557de3d924c5686b5edffceca2da4e64f34f6bbdfd3		copy	run-evidence		
.specula-output/spec/base.tla	.specula-output/spec/base.tla	file	0664	1777151641359867509	24108	9e214e5151409892de34f8ffe02e162c0411caf2ba15fc62b460c04992fa3661		copy	run-evidence		
.specula-output/spec/instrumentation-spec.md	.specula-output/spec/instrumentation-spec.md	file	0664	1777151870326971522	9734	27b56b4cd8376e177ad0d8a48504c86852cfef34e24e762aac5e386cbacee422		copy	run-evidence		
