source_path	destination_path	type	mode	mtime_ns	size	sha256	symlink_target	action	classification	reason	encoded
external:artifact	.record/source-snapshots/external-artifact-539554476da0.tar	directory	0700	1784149243764714787	97109	b5a9caaa4e1ee25a4344df0345316d8acb3034f612a987437a2f4cdd723aea4d		snapshot	source-snapshot	non-git-source-snapshot	"{""codec"": ""zstd"", ""codec_version"": ""1.5.5"", ""content_entries"": 19, ""content_id"": ""sha256:b5a9caaa4e1ee25a4344df0345316d8acb3034f612a987437a2f4cdd723aea4d"", ""content_manifest"": "".record/source-snapshots/external-artifact-539554476da0.tar.files.tsv"", ""content_manifest_bytes"": 1911, ""content_manifest_sha256"": ""51a0ba1b0bbe90933c391e8e595fb2158d0669d07e0476085ac22f168ae6e492"", ""encoded_bytes"": 54022, ""encoded_sha256"": ""41ff73809595c1fa68ae770c2c0756ad9353554a22f2b015c452bfb3b5790f5f"", ""parts"": [{""bytes"": 54022, ""path"": ""external-artifact-539554476da0.tar.zst"", ""sha256"": ""41ff73809595c1fa68ae770c2c0756ad9353554a22f2b015c452bfb3b5790f5f""}], ""tar_bytes"": 133120, ""tar_sha256"": ""ecc5752eaef0ca7933f1ff02cf9f913225d275f783d3be9190b6a8a2432180d1""}"
mpmc-queue	mpmc-queue	directory	0700	1784146011715153676				mkdir	run-directory		
mpmc-queue/.specula-output	mpmc-queue/.specula-output	directory	0700	1784155490553257863				mkdir	run-directory		
mpmc-queue/.specula-output/.bug-classification-prompt.md	mpmc-queue/.specula-output/.bug-classification-prompt.md	file	0600	1784155395886383895	1073	7234d66d60f1a6abe7b40990a020a16d6319819c5e80efdc38ea4239a0e089ec		copy	run-evidence		
mpmc-queue/.specula-output/.harness-gen-prompt.md	mpmc-queue/.specula-output/.harness-gen-prompt.md	file	0600	1784148035231034839	2715	abd20259bfefca1b549e99b0dc537f3c39f0e058bd87c4fe3955febe67bad2d1		copy	run-evidence		
mpmc-queue/.specula-output/.prompt-extra.md	mpmc-queue/.specula-output/.prompt-extra.md	file	0600	1784146011716153696	364	95f87bd9f9b6ae81ab99a54af532af8d08591d8f5043fb2f1d655976a3895728		copy	run-evidence		
mpmc-queue/.specula-output/.prompt.md	mpmc-queue/.specula-output/.prompt.md	file	0600	1784146012067160713	1560	a9693d52b13efdf9f3ac1895c2c964d5a0a9e3c1f96c1e392780b57698867f25		copy	run-evidence		
mpmc-queue/.specula-output/.spec-gen-prompt.md	mpmc-queue/.specula-output/.spec-gen-prompt.md	file	0600	1784146914329953731	2647	ce9fd099ecd7c21b946a667bf368fb52617fe9195ae68dce5684d5c5f2a660d0		copy	run-evidence		
mpmc-queue/.specula-output/.spec-validation-prompt.md	mpmc-queue/.specula-output/.spec-validation-prompt.md	file	0600	1784149357569080830	2098	dc1d822926d82e7804903684821dd9ee496eea9625e52e900c1e0bec7affda30		copy	run-evidence		
mpmc-queue/.specula-output/agent.activity.jsonl	mpmc-queue/.specula-output/agent.activity.jsonl	file	0600	1784146913055928194	63150	e45f5688763264e43f08db4d50ec7c81bacf860120a870c2a78fe48e24beb5fe		copy	run-evidence		
mpmc-queue/.specula-output/agent.last-message.txt	mpmc-queue/.specula-output/agent.last-message.txt	file	0600	1784146913080928695	804	17823f29d9f4fbf9c13020612399289365e14c9cba2bfa348cba339144326adf		copy	run-evidence		
mpmc-queue/.specula-output/agent.log	mpmc-queue/.specula-output/agent.log	file	0600	1784146913005927191	15177	abba8d6bbaf647f12b1052c4be6369dd17caa3122ff9a18e491640b6df50858d		copy	run-evidence		
mpmc-queue/.specula-output/agent.pid		file	0600	1784146012068160734	7	ee1397c7798f39c41946c30044450105ab93c5f69a567defb6cb045fd3674fd7		exclude	non-evidence	ephemeral-process-id	
mpmc-queue/.specula-output/agent.usage.json	mpmc-queue/.specula-output/agent.usage.json	file	0600	1784146913988946896	245	a82c5875230a17a9fed127e5cd83d377ec5564fa2a3d79449cbb50ddab04df70		copy	run-evidence		
mpmc-queue/.specula-output/analysis-report.md	mpmc-queue/.specula-output/analysis-report.md	file	0600	1784146874992167516	17932	3682c5ba30967eb43aa3ee2d9daeb852aedc091d9db46ba2b34a867949eca855		copy	run-evidence		
mpmc-queue/.specula-output/bug-classification.activity.jsonl	mpmc-queue/.specula-output/bug-classification.activity.jsonl	file	0600	1784155490436255543	7896	482ca3eb4a4d5063fbed0f013f0daa747a25cffa7a37dd3c910f062fe447ac0c		copy	run-evidence		
mpmc-queue/.specula-output/bug-classification.last-message.txt	mpmc-queue/.specula-output/bug-classification.last-message.txt	file	0600	1784155490447255761	354	c5610ccb66d5b5babdcebbe0e525a6739837f58861cb770dc2ab3d1e6bdf222c		copy	run-evidence		
mpmc-queue/.specula-output/bug-classification.log	mpmc-queue/.specula-output/bug-classification.log	file	0600	1784155490404254909	2692	6099f3a47d175de77e30a7794a949d6b543db4ec1f800b201fde97850e075e93		copy	run-evidence		
mpmc-queue/.specula-output/bug-classification.pid		file	0600	1784155396418394369	7	ba298b1e291f4ac794140ad4c4fb805de4dc4139375c3200e5687bab9c035cb2		exclude	non-evidence	ephemeral-process-id	
mpmc-queue/.specula-output/bug-classification.usage.json	mpmc-queue/.specula-output/bug-classification.usage.json	file	0600	1784155491162269934	245	f19e2e57d76d3f1453ba5665c3e8aba17ba45a02910c17eece631d0d1ef493ba		copy	run-evidence		
mpmc-queue/.specula-output/bug-confirmation.log	mpmc-queue/.specula-output/bug-confirmation.log	file	0600	1784155395595378166	782	f69259f523b49cbb0c9ea47a71dcf111899c51d80de03fc6e76de9c8de2e5ae2		copy	run-evidence		
mpmc-queue/.specula-output/confirmation	mpmc-queue/.specula-output/confirmation	directory	0700	1784155027455063863				mkdir	run-directory		
mpmc-queue/.specula-output/confirmation/CR-1	mpmc-queue/.specula-output/confirmation/CR-1	directory	0700	1784154262740534652				mkdir	run-directory		
mpmc-queue/.specula-output/confirmation/CR-1/.agent-cwd	mpmc-queue/.specula-output/confirmation/CR-1/.agent-cwd	directory	0700	1784154062756491929				mkdir	run-directory		
mpmc-queue/.specula-output/confirmation/CR-1/.agent-cwd/turn01_A	.record/source-snapshots/mpmc-queue-.specula-output-confirmation-CR-1-.agent-cwd-turn01_A-652997685881.tar	directory	0700	1784154262636532514	0	ff72275d08ced98dfb3f7576a485c2c42c705689291302e5323cfccad4a1a56d		snapshot	source-snapshot	non-git-source-snapshot	"{""codec"": ""zstd"", ""codec_version"": ""1.5.5"", ""content_entries"": 1, ""content_id"": ""sha256:ff72275d08ced98dfb3f7576a485c2c42c705689291302e5323cfccad4a1a56d"", ""content_manifest"": "".record/source-snapshots/mpmc-queue-.specula-output-confirmation-CR-1-.agent-cwd-turn01_A-652997685881.tar.files.tsv"", ""content_manifest_bytes"": 93, ""content_manifest_sha256"": ""def032dd015c051a15a615537e38247bfae2b12f3ff75d477f209aac1dae6b17"", ""encoded_bytes"": 23, ""encoded_sha256"": ""ef077a15315f941a8fc5700796762259eb286177402b33c31d5bddc62df4a397"", ""parts"": [{""bytes"": 23, ""path"": ""mpmc-queue-.specula-output-confirmation-CR-1-.agent-cwd-turn01_A-652997685881.tar.zst"", ""sha256"": ""ef077a15315f941a8fc5700796762259eb286177402b33c31d5bddc62df4a397""}], ""tar_bytes"": 10240, ""tar_sha256"": ""84ff92691f909a05b224e1c56abb4864f01b4f8e3c854e4bb4c7baf1d3f6d652""}"
mpmc-queue/.specula-output/confirmation/CR-1/debate.md	mpmc-queue/.specula-output/confirmation/CR-1/debate.md	file	0600	1784154262637532535	374	e2c2ae54031716c933efd25db55caff917f5e954f2f687ed642a46d07ec464c4		copy	run-evidence		
mpmc-queue/.specula-output/confirmation/CR-1/investigation.md	mpmc-queue/.specula-output/confirmation/CR-1/investigation.md	file	0600	1784154244839171276	7233	b73a6101a5ad61f0be38bd4f2024d5c5efd65e810addf517b8f578f6ef8603b7		copy	run-evidence		
mpmc-queue/.specula-output/confirmation/CR-1/turn01_A.last-message.txt	mpmc-queue/.specula-output/confirmation/CR-1/turn01_A.last-message.txt	file	0600	1784154261935518107	1631	64c708d94000b44a4ef9bbbc312f0d2e67005c62f426ac80fe6c7da8d61eed9c		copy	run-evidence		
mpmc-queue/.specula-output/confirmation/CR-1/turn01_A.log	mpmc-queue/.specula-output/confirmation/CR-1/turn01_A.log	file	0600	1784154261936518127	188410	56823d8a020de9215286bcf69d4ae693b5798a126bc5a3fbe72485045d483a9d		copy	run-evidence		
mpmc-queue/.specula-output/confirmation/CR-1/turn01_A.prompt.md	mpmc-queue/.specula-output/confirmation/CR-1/turn01_A.prompt.md	file	0600	1784154062760492009	6593	506a827de3666f0473304079eb8d704ca10e6a21b2732d485e5f3df00b5416e8		copy	run-evidence		
mpmc-queue/.specula-output/confirmation/CR-1/turn01_A.usage.json	mpmc-queue/.specula-output/confirmation/CR-1/turn01_A.usage.json	file	0600	1784154262630532391	245	bfae78fe993b0025ab1cb913730a843a0f5d01a4322e8cc0f1571d264481ce7c		copy	run-evidence		
