source_path	destination_path	type	mode	mtime_ns	size	sha256	symlink_target	action	classification	reason	encoded
DELETED-FILES.log	DELETED-FILES.log	file	0664	1784535381809207209	58855	ae88a0f4da64f1d147ec9be53151233ff9257303b46aed391e53cc0de2b08057		copy	run-evidence		
external:artifact	.record/source-snapshots/external-artifact-539554476da0.tar	directory	0700	1784549570459824731	2429123508	a34f0a6b3f51107278ba56af95bd2ffd4f8af34a253b348d8a540275a94841dc		snapshot	source-snapshot	non-git-source-snapshot	"{""codec"": ""zstd"", ""codec_version"": ""1.5.5"", ""content_entries"": 3828, ""content_id"": ""sha256:a34f0a6b3f51107278ba56af95bd2ffd4f8af34a253b348d8a540275a94841dc"", ""content_manifest"": "".record/source-snapshots/external-artifact-539554476da0.tar.files.tsv"", ""content_manifest_bytes"": 533384, ""content_manifest_sha256"": ""4dcdd808d5ae4253bc5815cd75fd8fc7f1b5aea12e7be600c6e83fe78a8ddd24"", ""encoded_bytes"": 653748500, ""encoded_sha256"": ""5736a1e97308e63c44bcb40f2a1cdaba387ecb864157955e97e84c4bc95a5eff"", ""parts"": [{""bytes"": 50331648, ""path"": ""external-artifact-539554476da0.tar.zst.part-0000"", ""sha256"": ""d7872a9c6b3d40192c48355551fd67992baa90c62325e68add90ae72f3b2604d""}, {""bytes"": 50331648, ""path"": ""external-artifact-539554476da0.tar.zst.part-0001"", ""sha256"": ""ad7d27f924f970d6202902e8753d014017d338dba7c0b65e1e1fa5cccf892605""}, {""bytes"": 50331648, ""path"": ""external-artifact-539554476da0.tar.zst.part-0002"", ""sha256"": ""a5aa0242ce11ef85035494c40086c15ccb809d07d0d8339ce94c0cd58ca1bfdb""}, {""bytes"": 50331648, ""path"": ""external-artifact-539554476da0.tar.zst.part-0003"", ""sha256"": ""ac452ea54fde231bbcdbb327ff75a91fa46b8a7b465ce254b6cfc363b2503e85""}, {""bytes"": 50331648, ""path"": ""external-artifact-539554476da0.tar.zst.part-0004"", ""sha256"": ""c7cfe216e97acc20a24555a381e7b6a252d795174f9c36de105860c25b6ab521""}, {""bytes"": 50331648, ""path"": ""external-artifact-539554476da0.tar.zst.part-0005"", ""sha256"": ""61091e8fd0b7b5b99b755dac7e6a076f1caf1b624fc46ad4406829502e6882ee""}, {""bytes"": 50331648, ""path"": ""external-artifact-539554476da0.tar.zst.part-0006"", ""sha256"": ""725cdda22223eef26cdfd3612dc426cea92046e44fc2d89831482ea43bf9595c""}, {""bytes"": 50331648, ""path"": ""external-artifact-539554476da0.tar.zst.part-0007"", ""sha256"": ""91235e902fa2c0254ee631bc7864575451251c16169b304a24f866978adbf8c4""}, {""bytes"": 50331648, ""path"": ""external-artifact-539554476da0.tar.zst.part-0008"", ""sha256"": ""fb1766221cfa6e9a56a161460251157efceabb0a36fd93f1336a79887ded57c7""}, {""bytes"": 50331648, ""path"": ""external-artifact-539554476da0.tar.zst.part-0009"", ""sha256"": ""f60d49a7c71f97a2d95b0f02b4328388425a0e66766d756bf3d0332130b3728b""}, {""bytes"": 50331648, ""path"": ""external-artifact-539554476da0.tar.zst.part-0010"", ""sha256"": ""7c22d479f189ca90aee89361edd3938ba46a238481257fb3a8ddd3a4702c154b""}, {""bytes"": 50331648, ""path"": ""external-artifact-539554476da0.tar.zst.part-0011"", ""sha256"": ""ef15ed96b1aa2c13062ef924b7ddd5f1c77734d8ded8f48dd4c918da7a6a9567""}, {""bytes"": 49768724, ""path"": ""external-artifact-539554476da0.tar.zst.part-0012"", ""sha256"": ""991fca4fbca0f7c75c6b420676ec261c6c8bb9a8924737e5d69b73e643af99ef""}], ""tar_bytes"": 2434129920, ""tar_sha256"": ""eb25fd58e7653eef93451141def5ebfe2b984271a5621de1f7ec70cbf1a18e3c""}"
pipeline-summary.md	pipeline-summary.md	file	0664	1784535381809207209	973	f2ae7acdb82e279b3425b9e0e0da959ef5d4c478fc03db16ef1e826d56f058c5		copy	run-evidence		
pipeline.log	pipeline.log	file	0664	1784535385840214263	424951	bd0428d789d8f4bd07d6be52c43b8d4c63c4ad3886314ec237018c54f8c62641		copy	run-evidence		
rippled	rippled	directory	0775	1784535383832210738				mkdir	run-directory		
rippled/.specula-output	rippled/.specula-output	directory	0775	1784535385924214411				mkdir	run-directory		
rippled/.specula-output/.bug-classification-prompt.md	rippled/.specula-output/.bug-classification-prompt.md	file	0664	1784535386447215333	987	077748edb3c55604b432cc48391c0b4c315033c3ccee10794a2fca7b401be033		copy	run-evidence		
rippled/.specula-output/.harness-gen-prompt.md	rippled/.specula-output/.harness-gen-prompt.md	file	0664	1784535385923214409	1904	36a038680d4833353ed20a4b2bd32440a5ad9f8a26d552e7fc4dbd9c0b08f5d7		copy	run-evidence		
rippled/.specula-output/.prompt.md	rippled/.specula-output/.prompt.md	file	0664	1784535387616217393	926	060e18fa57a12da604e009ecd9efe810aedf867db5fd5a2732236ef3ddec7306		copy	run-evidence		
rippled/.specula-output/.spec-gen-prompt.md	rippled/.specula-output/.spec-gen-prompt.md	file	0664	1784535388901219658	1842	ad70751ba0f4af02bb6a8f642a80d83f83e3c03d89fdb8ab19faeb56fb267809		copy	run-evidence		
