source_path	destination_path	type	mode	mtime_ns	size	sha256	symlink_target	action	classification	reason	encoded
confirmation	confirmation	directory	0700	0	0			mkdir	run-directory		{}
confirmation/CR-6	confirmation/CR-6	directory	0700	0	0			mkdir	run-directory		{}
confirmation/MC-1	confirmation/MC-1	directory	0700	0	0			mkdir	run-directory		{}
evidence	evidence	directory	0700	0	0			mkdir	run-directory		{}
repro	repro	directory	0700	0	0			mkdir	run-directory		{}
review	review	directory	0700	0	0			mkdir	run-directory		{}
README.md	README.md	file	0600	0	2747	543788b5752c2caeb23eb806a5c4cf51d0659d0810520627afd0fa3b084bf2e3		curate	reviewed-evidence		{}
confirmation/CR-6/investigation.md	confirmation/CR-6/investigation.md	file	0600	0	9039	d77ad2083c7bd7f70952570b1af5f393e7389afc58e5677ea84f253d4722939e		curate	reviewed-evidence		{}
confirmation/CR-6/verdict.json	confirmation/CR-6/verdict.json	file	0600	0	3538	ad5a7730049611a82678223601abdbee1b670fc71f3dfbcf23c225a6104aefcd		curate	reviewed-evidence		{}
confirmation/MC-1/investigation.md	confirmation/MC-1/investigation.md	file	0600	0	4601	5b3d2393b556965db36ee5e3be017d83281af0833a5e44d139d8c1d40800d697		curate	reviewed-evidence		{}
confirmation/MC-1/verdict.json	confirmation/MC-1/verdict.json	file	0600	0	4157	a2edc446962be6a3650c05f58b3f390890781d0be7ae3eae32109b926b2724e5		curate	reviewed-evidence		{}
evidence/MC_hunt_family1_conflicts_fullbounds_bfs.out	evidence/MC_hunt_family1_conflicts_fullbounds_bfs.out	file	0600	0	22871	96d80bcdda03481794368fb6c302aae7a82a2df37d160af9c6bd7baab412368f		curate	reviewed-evidence		{}
evidence/bug-severity.md	evidence/bug-severity.md	file	0600	0	1880	d74ac8cee3918b814349fd5bbfbb7c495fd6d77a939a758c999cc59facdbe72c		curate	run-evidence		{}
evidence/byom-modification-report.md	evidence/byom-modification-report.md	file	0600	0	3282	1e4990489de30cfb672c2aace997c525dd760feae7c13ba06aa42e2cd348ba41		curate	run-evidence		{}
evidence/confirmed-bugs.md	evidence/confirmed-bugs.md	file	0600	0	23646	0bc3e3254c046e8a079c563b9157080522cc93cf08de2930b2fb313fb5287c65		curate	run-evidence		{}
evidence/findings.json	evidence/findings.json	file	0600	0	3323	bb66829f982c619fc636a57789f17703de174d23dc61f204aa0c611931eac1cd		curate	run-evidence		{}
evidence/validation-changelog.md	evidence/validation-changelog.md	file	0600	0	4335	961f3e612bce2f35c575cc5a56269a40fa63f528b4e1f3e9bcd38226572938e1		curate	run-evidence		{}
repro/run_all.sh	repro/run_all.sh	file	0700	0	1265	c77f40872051cb923efef75cfa01bbaa001ec602f76d2a077d1fb4561b37a339		curate	reviewed-evidence		{}
repro/test_bugCR-6_custom_scheduler_l0_order.sh	repro/test_bugCR-6_custom_scheduler_l0_order.sh	file	0700	0	10694	9d8337b903d0f96c8dfd15e1fb4d0787e44e0c0a06517c58e48f5093119044d2		curate	reviewed-evidence		{}
repro/test_bugMC-1_external_compaction_conflict.sh	repro/test_bugMC-1_external_compaction_conflict.sh	file	0700	0	8027	65323bbf54daf148cb9f15ac9b11bffe190da035a1c2d3b8e6c3b8edfc28f917		curate	reviewed-evidence		{}
review/independent-review.md	review/independent-review.md	file	0600	0	3989	7d025cf840e2afb4b0da5a39f0071573b69e9e9939c4aed5c7c71c669a0040f0		curate	reviewed-evidence		{}
run.json	run.json	file	0600	0	690	dc5269ce6e45d96152d572d608706d870a1fe960b6520b63098645f4d5b2e478		curate	run-evidence		{}
