source_path	destination_path	type	mode	mtime_ns	size	sha256	symlink_target	action	classification	reason	encoded
agent.log	agent.log	file	0664	1771844823594018838	2375	5ff27945708e5bdcd3a317709c93b1790c50675e445e5a8271da21ce5d2014ed		copy	run-evidence		
agent.pid		file	0664	1771843290371765667	8	63d5df7c612964278d2b24a051bfd413eb938922bd275efda1f7b19c50728ca2		exclude	non-evidence	ephemeral-process-id	
analysis-report.md	analysis-report.md	file	0664	1773051741938997940	18309	4d55c99a7f0f3b4f1c7ff4b5cb977f238bc84211f1c79891ccdf3a6d5c5cc964		copy	run-evidence		
artifact	.record/source-snapshots/artifact.tar	directory	0775	1772444412588189738	0	d17dfc41c3c9b9bccba203a04ab978d9ad70cceaf28caae236ae411e05db89be		snapshot	source-snapshot	non-git-source-snapshot	"{""codec"": ""zstd"", ""codec_version"": ""1.5.5"", ""content_entries"": 1, ""content_id"": ""sha256:d17dfc41c3c9b9bccba203a04ab978d9ad70cceaf28caae236ae411e05db89be"", ""content_manifest"": "".record/source-snapshots/artifact.tar.files.tsv"", ""content_manifest_bytes"": 110, ""content_manifest_sha256"": ""5077d92aca21fdf8e23a64b3e0d8f752b0750ccbfa245baf1fee2620f67f64f5"", ""encoded_bytes"": 23, ""encoded_sha256"": ""ef077a15315f941a8fc5700796762259eb286177402b33c31d5bddc62df4a397"", ""parts"": [{""bytes"": 23, ""path"": ""artifact.tar.zst"", ""sha256"": ""ef077a15315f941a8fc5700796762259eb286177402b33c31d5bddc62df4a397""}], ""tar_bytes"": 10240, ""tar_sha256"": ""84ff92691f909a05b224e1c56abb4864f01b4f8e3c854e4bb4c7baf1d3f6d652""}"
artifact/sofa-jraft	.record/source-snapshots/artifact-sofa-jraft-c031457b1a4e.tar	directory	0775	1772444413727206865	6389530	34637659ccf050dc33a2a5419ae2ba3b103dd7c2ee39f808ccfde2c2ec482c09		snapshot	source-snapshot	non-git-source-snapshot	"{""codec"": ""zstd"", ""codec_version"": ""1.5.5"", ""content_entries"": 1217, ""content_id"": ""sha256:34637659ccf050dc33a2a5419ae2ba3b103dd7c2ee39f808ccfde2c2ec482c09"", ""content_manifest"": "".record/source-snapshots/artifact-sofa-jraft-c031457b1a4e.tar.files.tsv"", ""content_manifest_bytes"": 203979, ""content_manifest_sha256"": ""a1d98ca8170344bbb605655ea16dff8aa8c749ec21c1eb17ad2eb2b24a8405e2"", ""encoded_bytes"": 760696, ""encoded_sha256"": ""b5681c17e877294825e71c640279950fe84d42a4b20f60dfe880ded621940b24"", ""parts"": [{""bytes"": 760696, ""path"": ""artifact-sofa-jraft-c031457b1a4e.tar.zst"", ""sha256"": ""b5681c17e877294825e71c640279950fe84d42a4b20f60dfe880ded621940b24""}], ""tar_bytes"": 8509440, ""tar_sha256"": ""b9e5afddf2b8f731d4656a76c0115128e732d210aa8ef1a43a513fe628dd7cf8""}"
bug-confirmation.md	bug-confirmation.md	file	0664	1773051741938997940	28115	713f66cfc6cf9a19fe1c14f64865fc9647dfcfe8b43f5cf4ee7a27342e2da720		copy	run-evidence		
bug-review.md	bug-review.md	file	0664	1773051741939997958	25069	8469539235bce91dc87c9796e60cea676add8f12d0e2f40901470489acaeb3e8		copy	run-evidence		
modeling-brief.md	modeling-brief.md	file	0664	1773051741939997958	17405	febd4f5c0870336bf9c46c2b7261c85bb79917812cb30984cd6cf97d9dafb1fc		copy	run-evidence		
pending-bugs.md	pending-bugs.md	file	0664	1773051741939997958	8798	0179fbdf03eb34daf0b05d0069043f3eae8fd3387dbd45b7a63550c6cc628219		copy	run-evidence		
spec	spec	directory	0775	1780328256451880806				mkdir	run-directory		
spec/MC.cfg	spec/MC.cfg	file	0664	1773051741939997958	2942	54c950a7ac1ada662ee84fe921e0ccb51a7231bab50d3a0b0da874d298c27954		copy	run-evidence		
spec/MC.tla	spec/MC.tla	file	0664	1773051741939997958	11074	4d9a5762d16ba5a39467b7cfc5f913d2777149ccfc9cae14fcfc82718e46d47f		copy	run-evidence		
spec/MC_family1.cfg	spec/MC_family1.cfg	file	0664	1773051741939997958	1457	54da17f805e21c5535b8b400e7de2624522699cae13a44404f0a188a4ead17db		copy	run-evidence		
spec/MC_family2.cfg	spec/MC_family2.cfg	file	0664	1773051741939997958	1572	0b8c40c18812b110e69cf99ddaf330eb7b2f09a2487c498728f6a969e9cbbff4		copy	run-evidence		
spec/MC_family5.cfg	spec/MC_family5.cfg	file	0664	1773051741939997958	1452	acd7315867cf6f8b547f60730ea04ffc04cd9f9f588dd3369471c23b7f5f2dea		copy	run-evidence		
spec/Trace.cfg	spec/Trace.cfg	file	0664	1773051741939997958	688	9d46ccde63a69e357b11052fd8f409f6715279c670c9a0219b38ed9666b16cc1		copy	run-evidence		
spec/Trace.tla	spec/Trace.tla	file	0664	1773051741939997958	18385	9008e51f885c9a164bc2a91a283c86d141941e5c20d628604d6b91e21913cf76		copy	run-evidence		
spec/base.cfg	spec/base.cfg	file	0664	1773051741939997958	656	55ea5da77e5c6ff6798ec425bfc44eceef180feea496c0b11742f06135827519		copy	run-evidence		
spec/base.tla	spec/base.tla	file	0664	1773051741940997976	47380	ff46926aff3ad374ab130577fc0981debb16d01abd8bcfbf965a236bb74bbffd		copy	run-evidence		
spec/instrumentation-spec.md	spec/instrumentation-spec.md	file	0664	1773051741940997976	10253	bae505ca95dd3b4645826a90febdf7597bc95f19571a99855ff3b1ac13c80e59		copy	run-evidence		
spec/trace.ndjson	spec/trace.ndjson	file	0664	1772454910090892892	7798	e71c94453259fd3dd256d689542f1db4f6117bc877a0b278b9c216e50d67916d		copy	run-evidence		
