source_path	destination_path	type	mode	mtime_ns	size	sha256	symlink_target	action	classification	reason	encoded
.specula-output	.specula-output	directory	0775	1782828760807399655				mkdir	run-directory		
.specula-output/agent.log	.specula-output/agent.log	file	0664	1782012254864067546	2574	10f8107d71edbd743b81e5c5654d5963bae69e16c2fc00d4ff8742f8fe13a1f1		copy	run-evidence		
.specula-output/agent.pid		file	0664	1782008506517134705	8	db4827298ed455f9c294d1b8265dfd83d0d6d6d31e5ae52bc2b3b9cfeba0d938		exclude	non-evidence	ephemeral-process-id	
.specula-output/agent.raw.json	.specula-output/agent.raw.json	file	0664	1782012254657063604	3848	0583925e7b1ff3d4163af738b7acef385fd4b290e876db854fced78fe02aad6b		copy	run-evidence		
.specula-output/agent.usage.json	.specula-output/agent.usage.json	file	0664	1782012254893068098	1235	c6162db35305ae15117f80a6a800c8fb511e1bd454f8a44f7092f342ce2c82b2		copy	run-evidence		
.specula-output/bug-classification.log	.specula-output/bug-classification.log	file	0664	1782044833876022525	2360	c5d7d0846e2db1fb780b23230303aaa8a6bdc8510d5f668d1f0d84c0c68aa8bd		copy	run-evidence		
.specula-output/bug-classification.pid		file	0664	1782044381266725520	8	8b9d64d550f068dc11f22403f9e4529d49f96e9b90dd5239606783d7d0c7eeb9		exclude	non-evidence	ephemeral-process-id	
.specula-output/bug-classification.raw.json	.specula-output/bug-classification.raw.json	file	0664	1782044833634017217	3407	0f772837e605208e98cff89609840b8e1c6d2d9f70a0e2004db76385b5f73914		copy	run-evidence		
.specula-output/bug-classification.usage.json	.specula-output/bug-classification.usage.json	file	0664	1782044833925023600	922	883cd0fbae5d7ce1c9ab01bae941427b893a5d0632def9f2de1801e6ca8ed107		copy	run-evidence		
.specula-output/bug-confirmation.log	.specula-output/bug-confirmation.log	file	0664	1782044381186723949	2782	c1a9f394d5890323f9e190b9e8e649032c99b31dcfdc7b4bd2027d93b7f78f45		copy	run-evidence		
.specula-output/bug-confirmation.pid		file	0664	1782040764702474294	8	4a944faa9ada996cb4cd2861ff829db2f4050299559cff3d96658789c9e9eac9		exclude	non-evidence	ephemeral-process-id	
.specula-output/bug-confirmation.raw.json	.specula-output/bug-confirmation.raw.json	file	0664	1782044380935719022	4045	f521380bd2ffa388f5ab5c9e1fbfe26b494590ad59efa26bc4f0d883dc481dea		copy	run-evidence		
