source_path	destination_path	type	mode	mtime_ns	size	sha256	symlink_target	action	classification	reason	encoded
analysis-report.md	analysis-report.md	file	0664	1779252191605851852	37596	6a158852c03232bd4fa0686cf3a8239ae44e0b8162d3657c03ef299e82b5158e		copy	run-evidence		
artifact	.record/source-snapshots/artifact.tar	directory	0775	1779250534146741915	0	9c5b1a909f1f65647e075d0abae37ec821f4df69aa9c11d18163dc7227b9f2ec		snapshot	source-snapshot	non-git-source-snapshot	"{""codec"": ""zstd"", ""codec_version"": ""1.5.5"", ""content_entries"": 1, ""content_id"": ""sha256:9c5b1a909f1f65647e075d0abae37ec821f4df69aa9c11d18163dc7227b9f2ec"", ""content_manifest"": "".record/source-snapshots/artifact.tar.files.tsv"", ""content_manifest_bytes"": 105, ""content_manifest_sha256"": ""3724046c83d625da4be7effe069029cc5a0bd5d7f3de9ad35082c00399899661"", ""encoded_bytes"": 23, ""encoded_sha256"": ""ef077a15315f941a8fc5700796762259eb286177402b33c31d5bddc62df4a397"", ""parts"": [{""bytes"": 23, ""path"": ""artifact.tar.zst"", ""sha256"": ""ef077a15315f941a8fc5700796762259eb286177402b33c31d5bddc62df4a397""}], ""tar_bytes"": 10240, ""tar_sha256"": ""84ff92691f909a05b224e1c56abb4864f01b4f8e3c854e4bb4c7baf1d3f6d652""}"
artifact/agave	.record/source-snapshots/artifact-agave-51ebfb2752a1.tar	directory	0775	1781427140748995242	40645186	061886b2563d8e24be9e0e709be1052f2f8fd41eba3841244ff3e0474e7ec10f		snapshot	source-snapshot	non-git-source-snapshot	"{""codec"": ""zstd"", ""codec_version"": ""1.5.5"", ""content_entries"": 2769, ""content_id"": ""sha256:061886b2563d8e24be9e0e709be1052f2f8fd41eba3841244ff3e0474e7ec10f"", ""content_manifest"": "".record/source-snapshots/artifact-agave-51ebfb2752a1.tar.files.tsv"", ""content_manifest_bytes"": 331034, ""content_manifest_sha256"": ""f13180a745b98021efb857b2a8069914f55e8294b48eb5fb08a96da428ddd838"", ""encoded_bytes"": 13663037, ""encoded_sha256"": ""9a0fa5693155dfefbd5ccf9a797a55b17b89cc34278d354a25f154d97696833b"", ""parts"": [{""bytes"": 13663037, ""path"": ""artifact-agave-51ebfb2752a1.tar.zst"", ""sha256"": ""9a0fa5693155dfefbd5ccf9a797a55b17b89cc34278d354a25f154d97696833b""}], ""tar_bytes"": 45455360, ""tar_sha256"": ""b1e695fbe96ba3c4293ed7887a02ffee32adbc6ea68a9d38e0e987b859e43963""}"
harness	harness	directory	0775	1779267011116740421				mkdir	run-directory		
harness/INSTRUMENTATION.md	harness/INSTRUMENTATION.md	file	0664	1779267002437510839	9662	89de7e068208f441305561c80e3a5338ea9c1d163fd64be91b8acec9a5549deb		copy	run-evidence		
harness/apply.sh	harness/apply.sh	file	0775	1779265821025472983	885	6ffb2db1b3bb5d70b1d4ec268d2618bb4adfeadb7b6fd0b2f467813bee46ea43		copy	run-evidence		
harness/clean.sh	harness/clean.sh	file	0775	1779265827481104270	503	4fb2bc7a8a422febd10f15d914b23acf9236b85b27ea393d492a3eb04f059fb2		copy	run-evidence		
harness/run.sh	harness/run.sh	file	0775	1779265838166506630	1339	2e1c266baee20cc480887eeefa7ba5df0458a88b53f4723bcd23a0083bdadcdf		copy	run-evidence		
harness/scenarios	harness/scenarios	directory	0775	1781427140902998153				mkdir	run-directory		
harness/scenarios/Cargo.lock	harness/scenarios/Cargo.lock	file	0664	1779265853506263322	35661	74bb48a8cd7c36ee3766021020f31fa586735fc76fa9d5937139a0495f2b1bff		copy	run-evidence		
harness/scenarios/Cargo.toml	harness/scenarios/Cargo.toml	file	0664	1779265808397313748	507	55b3c111cf57e309a8db27a5476426d44d0482262fda03ae25124b5c59bb526a		copy	run-evidence		
harness/scenarios/src	harness/scenarios/src	directory	0775	1779266913713848723				mkdir	run-directory		
harness/scenarios/src/common.rs	harness/scenarios/src/common.rs	file	0664	1779266096557280799	1615	75d7741c571c12b0ba8c4c5d0d71c3c96f4f11e6fccb5ec0fb995f0873b667df		copy	run-evidence		
harness/scenarios/src/happy_path.rs	harness/scenarios/src/happy_path.rs	file	0664	1779265757337735037	1336	32e133dec652483a05af1f4dad91371bdfe092c26f29e971a271a29607e8a6cd		copy	run-evidence		
harness/scenarios/src/panic_paths.rs	harness/scenarios/src/panic_paths.rs	file	0664	1779266913709848587	3325	edd0e5b9196f9467247a11fa65c6a80b6b2945063923c550d08d92c0fb9f525e		copy	run-evidence		
harness/scenarios/src/startup_poh_race.rs	harness/scenarios/src/startup_poh_race.rs	file	0664	1779265769689874076	1879	40cf7aa97239b17568d970a213352dc7f95215e1e0ccf5d2b6d7294de215c92c		copy	run-evidence		
harness/src	harness/src	directory	0775	1779266792275803676				mkdir	run-directory		
harness/src/migration.rs	harness/src/migration.rs	file	0664	1779266792264803553	36320	8b7722dfb9341737c30a0655de08aaa448c27817901c00754b0056b6ed23119e		copy	run-evidence		
harness/src/tla_trace.rs	harness/src/tla_trace.rs	file	0664	1779266498330318258	6415	9eb1ab102b7b9c6ff120a38930cbf46112c9c129cc5b85fe9da2e08953ff3415		copy	run-evidence		
harness/src/votor_messages_Cargo.toml	harness/src/votor_messages_Cargo.toml	file	0664	1779265678411821465	1701	0cb65ec9f8494106335574f6c98a5f60c7352da2c17690cb63894af8c60797be		copy	run-evidence		
harness/src/votor_messages_lib.rs	harness/src/votor_messages_lib.rs	file	0664	1779265632786273210	405	d457087ba98ac71620e1b599a064dc8bc805f1d0daad44706b51bc5d63d6bc4b		copy	run-evidence		
modeling-brief.md	modeling-brief.md	file	0664	1779252463776748691	43815	2606a06e7b569117df0fe2b01d36a035b8f3cd1d2bee6369bd51f7e5b893374e		copy	run-evidence		
pipeline-summary.md	pipeline-summary.md	file	0664	1779274331637415993	769	f17236764590d7c69847f70c29b8f4af0ba90e8d022fa1dcaa7cf6601cb627ab		copy	run-evidence		
repro	repro	directory	0775	1779274138324980182				mkdir	run-directory		
repro/run_all.sh	repro/run_all.sh	file	0775	1779274138320980062	1843	5fa7a69d18516101b8e4a2da81cf92996ec89601908e8981bf8fd7c8892cd4e1		copy	run-evidence		
repro/test_bug1_set_genesis_block_preffa.rs	repro/test_bug1_set_genesis_block_preffa.rs	file	0664	1779273515315580886	8950	76475006eb6b0c300c04e19fa9663e68cb0eb89c680599cae83ff2da250f17b1		copy	run-evidence		
repro/test_bug2_bankforks_deadlock.rs	repro/test_bug2_bankforks_deadlock.rs	file	0664	1779273972115825501	10561	aec2f1c03c12160a3b6e75445ac397a26b6137735a00f71d116e0284d803d183		copy	run-evidence		
repro/test_bug3_double_vote_spec_overpermissive.rs	repro/test_bug3_double_vote_spec_overpermissive.rs	file	0664	1779274074662131208	14040	1e2c945c34892a9ca302ce72e9033a1d99671b975dfa04e62f92ee74ac47dc53		copy	run-evidence		
spec	spec	directory	0775	1779250534143741817				mkdir	run-directory		
