source_path	destination_path	type	mode	mtime_ns	size	sha256	symlink_target	action	classification	reason	encoded
.gitattributes	.gitattributes	file	0600	0	11	fd3b234e763bde2f7c495482e59205f2d78927dda1e9c927aac1f9d189845069		curate	reviewed-evidence		{}
.prompt-extra.md	.prompt-extra.md	file	0600	0	5861	245b2b3f152cabd49f686dd0248020acbf9c4f3080cf3c003ed491cd0d164b9d		curate	reviewed-evidence		{}
README.md	README.md	file	0600	0	1805	5dacba712c292c1e1d1519cf44c0fc74eda173cc540011f7df205545971e188c		curate	reviewed-evidence		{}
analysis-report.md	analysis-report.md	file	0600	0	14379	3f05388a30ffbc904a942fa2073ec81192cb6f76acc4949bc2a9d9a2fd791fed		curate	reviewed-evidence		{}
modeling-brief.md	modeling-brief.md	file	0600	0	23127	2f58ff7266f42ed98cddcb0b7c0044cc4d8d7f7359deb1acba1faf231c5ee8ab		curate	reviewed-evidence		{}
repro	repro	directory	0700	0				mkdir	run-directory		{}
repro/test_bugMC-1_replacenode_livelock.go	repro/test_bugMC-1_replacenode_livelock.go	file	0600	0	5423	7b64d3ad88abd46c0f6b662e71d54424cb432ce4708431b0235cbbcf8233c4d0		curate	reviewed-evidence		{}
run.json	run.json	file	0600	0	1678	317b54f8cd055763bea002e525f0cf3750d2eafc3c6917eb5766af1bc906a620		curate	reviewed-evidence		{}
spec	spec	directory	0700	0				mkdir	run-directory		{}
spec/MC.cfg	spec/MC.cfg	file	0600	0	1380	c84deafc72fd8eecf660b1ff9fe5543cc47593f8db752211a56eb0603cfcda60		curate	reviewed-evidence		{}
spec/MC.tla	spec/MC.tla	file	0600	0	7712	61cdba9bab446cfc2b9a17b77572ed0142f9972de0c3f247ec1095bdba931bf9		curate	reviewed-evidence		{}
spec/MC_hunt_s4.cfg	spec/MC_hunt_s4.cfg	file	0600	0	1457	1a934f803804ddf222782c8892a0ba4ae43e6cb350c1bf0cbe3e700601264b49		curate	reviewed-evidence		{}
spec/base.cfg	spec/base.cfg	file	0600	0	1235	c29a937c73c9d7c1b3e01e14f5528a3874eb5d06210a991d761a68492a450bc1		curate	reviewed-evidence		{}
spec/base.tla	spec/base.tla	file	0600	0	33750	13312dc925d3949dd76ccc1945b327877c9b0e3a509dc8f42b4cce0002a042b2		curate	reviewed-evidence		{}
spec/findings.json	spec/findings.json	file	0600	0	1873	74c82a9f3524412a26d76358a78ee2517dbc7bd0b7fed1bcf774d71a1d8b2773		curate	reviewed-evidence		{}
spec/output	spec/output	directory	0700	0				mkdir	run-directory		{}
spec/output/MC_hunt_s4.out	spec/output/MC_hunt_s4.out	file	0600	0	7915	876928fa382f76fd2050965258ce972312ef1c48b51c9ef2a3fea4a7238915a0		curate	reviewed-evidence		{}
