source_path	destination_path	type	mode	mtime_ns	size	sha256	symlink_target	action	classification	reason	encoded
.bug-confirmation-prompt.md	.bug-confirmation-prompt.md	file	0664	1775721033804655313	10565	1152e2cec23c78c5b3f263897cb57533ad8bb0c7e5ca2db1f063b1d790604d71		copy	run-evidence		
.harness-gen-prompt.md	.harness-gen-prompt.md	file	0664	1774927582143120121	6344	75705c8002054bd6c2cb042cc71caf8c755f8417909e532fe93fd5127e523ed4		copy	run-evidence		
.prompt-extra.md	.prompt-extra.md	file	0664	1775720971491509852	6096	9081465728b29ea7d6a7562d85f10c8bfbdc3d55be1f67e1bea7f875e09b863f		copy	run-evidence		
.prompt.md	.prompt.md	file	0664	1774875425131625346	6779	0b5199c707d093115b20d4c0b0e678e63b5806a4424010263e7471f5f7d1982a		copy	run-evidence		
.spec-gen-prompt.md	.spec-gen-prompt.md	file	0664	1774918640116924308	6998	f3258268380df6554bc7345e41f74b472b60d385e0b2060d031cee07338ebc03		copy	run-evidence		
.spec-validation-prompt.md	.spec-validation-prompt.md	file	0664	1775440670100797741	6574	f6fe0a02863d1d03c1e9188f8a9048b378c028cacccf9939914ba1d9a2ba80ea		copy	run-evidence		
.specula-output		symlink	0777	1775387460763292709	1	cdb4ee2aea69cc6a83331bbe96dc2caa9a299d21329efb0336fc02a82e1839a8	.	reference	symlink-reference	relative-symlink-not-materialized	
agent.log	agent.log	file	0664	1774876530889452325	2452	9c232731453c20c734aeff3cb62e3fb6b05aa50012058cb473228cb5dad4c3e9		copy	run-evidence		
agent.pid		file	0664	1774875425132625366	8	46c817edf312e800573f9c2a35e40a742cb507d154e82b8354272e526a77f4a3		exclude	non-evidence	ephemeral-process-id	
agent.raw.json	agent.raw.json	file	0664	1774876530610446572	3643	cd6aa52cfc5089cf81a6e57d6554eb6ca4112682518e204c1f5c54c13aef908e		copy	run-evidence		
agent.usage.json	agent.usage.json	file	0664	1774876530908452717	1202	c2a1a649d99c5e594d028f14719f353ded03912015eeff7eb8ae99396e505cf8		copy	run-evidence		
analysis-report.md	analysis-report.md	file	0664	1775012472995942421	20763	c0a68070f6bbc2228ae85e569114b8cabf94f3542c29b07d36c45ae7cea09395		copy	run-evidence		
