source_path	destination_path	type	mode	mtime_ns	size	sha256	symlink_target	action	classification	reason	encoded
.prompt-extra.md	.prompt-extra.md	file	0664	1775545477901306244	3926	8c7dfc9bc4b353e8d6cb61401f14b3a20ae13421510fe2083ab9c2cf59c290a5		copy	run-evidence		
.prompt.md	.prompt.md	file	0664	1775574885596008696	7243	0224a87a4aa88e5b176ac1279310d0c4840ef43d493af7c6ab762762b70e9329		copy	run-evidence		
.specula-output		symlink	0777	1775545716599719871	1	cdb4ee2aea69cc6a83331bbe96dc2caa9a299d21329efb0336fc02a82e1839a8	.	reference	symlink-reference	relative-symlink-not-materialized	
agent.log	agent.log	file	0664	1775575402833505804	42	4530adc6b003dac48c18fb3068ac8a8b7c1537ec5f6a6e4a554c59ace32ce2d5		copy	run-evidence		
agent.pid		file	0664	1775574885597008715	7	1ef906aa173387b95d4ebc1887123d0b62d8df059798902acce5c347efe53820		exclude	non-evidence	ephemeral-process-id	
agent.raw.json	agent.raw.json	file	0664	1775575402543500481	988	90d74f7fd1097a73cab79b881eaf874329d75d53c35748aeec4c2b02d161016d		copy	run-evidence		
agent.usage.json	agent.usage.json	file	0664	1775575402856506226	941	7d55236551ca7c9386a62a6a6f189c68b5253303c458f27d209ff434a4623070		copy	run-evidence		
artifact	.record/source-snapshots/artifact.tar	directory	0775	1775545422143268966	0	0938c924e8c701b17d561184b9bd83f7e019e98a37a464d7e60340c2783bba8d		snapshot	source-snapshot	non-git-source-snapshot	"{""codec"": ""zstd"", ""codec_version"": ""1.5.5"", ""content_entries"": 1, ""content_id"": ""sha256:0938c924e8c701b17d561184b9bd83f7e019e98a37a464d7e60340c2783bba8d"", ""content_manifest"": "".record/source-snapshots/artifact.tar.files.tsv"", ""content_manifest_bytes"": 110, ""content_manifest_sha256"": ""524e38e78a840da60fda5f1ab8428b1373693ad2e39fdaa143a6ccdf08dbbddf"", ""encoded_bytes"": 23, ""encoded_sha256"": ""ef077a15315f941a8fc5700796762259eb286177402b33c31d5bddc62df4a397"", ""parts"": [{""bytes"": 23, ""path"": ""artifact.tar.zst"", ""sha256"": ""ef077a15315f941a8fc5700796762259eb286177402b33c31d5bddc62df4a397""}], ""tar_bytes"": 10240, ""tar_sha256"": ""84ff92691f909a05b224e1c56abb4864f01b4f8e3c854e4bb4c7baf1d3f6d652""}"
artifact/sonic-swss	.record/source-snapshots/artifact-sonic-swss-22039e966ebb.tar	directory	0775	1775724298382674299	846866041	3f56c9d016d0b7bf4e4bd752fbf0efb3f37af4989cc5e3c79ea6bcad5af2453d		snapshot	source-snapshot	non-git-source-snapshot	"{""codec"": ""zstd"", ""codec_version"": ""1.5.5"", ""content_entries"": 2108, ""content_id"": ""sha256:3f56c9d016d0b7bf4e4bd752fbf0efb3f37af4989cc5e3c79ea6bcad5af2453d"", ""content_manifest"": "".record/source-snapshots/artifact-sonic-swss-22039e966ebb.tar.files.tsv"", ""content_manifest_bytes"": 278308, ""content_manifest_sha256"": ""ca09751be2bee3a157db01cf7b4d6171688d08f31c9842097b752e43e049af08"", ""encoded_bytes"": 238586725, ""encoded_sha256"": ""49c27e354d3f88948d0a91ad7e4a097a65ec76532230013725f6dbd77e5eea87"", ""parts"": [{""bytes"": 50331648, ""path"": ""artifact-sonic-swss-22039e966ebb.tar.zst.part-0000"", ""sha256"": ""df4362b1f26dd1e50a090cd133dfedb7792e127f31b647c2c5d437e7cf62f4a7""}, {""bytes"": 50331648, ""path"": ""artifact-sonic-swss-22039e966ebb.tar.zst.part-0001"", ""sha256"": ""d0899aedddd83508fa5ee3e8d8f1399cbebe44592fb46084f78a78f41ce5de35""}, {""bytes"": 50331648, ""path"": ""artifact-sonic-swss-22039e966ebb.tar.zst.part-0002"", ""sha256"": ""2518f7bac5b92654ffb3c9db02082225d8f7c26ae3f6ecb06499999ff27c1ef1""}, {""bytes"": 50331648, ""path"": ""artifact-sonic-swss-22039e966ebb.tar.zst.part-0003"", ""sha256"": ""76c1f493d42b291a5581a3bfd2f1b0fda7cc8c1313399fb35e5fdb1ba233af7d""}, {""bytes"": 37260133, ""path"": ""artifact-sonic-swss-22039e966ebb.tar.zst.part-0004"", ""sha256"": ""12367d076a7ea3e828b1619b397084c9187dc24421a908de05e14f594885dad9""}], ""tar_bytes"": 849920000, ""tar_sha256"": ""1a91951129be5668409870470ab649ef8463fb90a2a9dd4d2462145c42a08889""}"
harness	harness	directory	0775	1775638127940241530				mkdir	run-directory		
harness/INSTRUMENTATION.md	harness/INSTRUMENTATION.md	file	0664	1775638127939241511	5239	98faf8834801e9ddac2891ba33f28ba1c4f993afc08005cf4a8d5801fe5f9706		copy	run-evidence		
harness/apply.sh	harness/apply.sh	file	0775	1775638127940241530	1198	751bc31fbcdb27a4d599fe6b7b12dd35613a15d8ea3fbd3648c6ee6bac5981a7		copy	run-evidence		
harness/fdb_harness	harness/fdb_harness	file	0775	1775638127939241511	1243656	115659f64f3abddcbe75f43a4eb5f6a28029e70f9146c1ad0c71e1cacc37d347		copy	run-evidence		
harness/patches	harness/patches	directory	0775	1778771469597881682				mkdir	run-directory		
harness/patches/instrumentation.patch	harness/patches/instrumentation.patch	file	0664	1778771469620882105	48598	a23c5dbe160750fd277dec027935f06f4827f580afb64d9dd6c4daaf0376a8a1		copy	run-evidence		
harness/patches/instrumentation.patch.pre-promote	harness/patches/instrumentation.patch.pre-promote	file	0664	1778771469597881682	14193	64f59d399ad2a00df3841bf8f257b54b39bfadc97ec8037aeafd2817c79cc82e		copy	run-evidence		
harness/run.sh	harness/run.sh	file	0775	1775638127940241530	2712	2fa8a0eba3e6af277be91b250b7a230fc635692c5383d6a26c26a4de3a8dbb4d		copy	run-evidence		
harness/src	harness/src	directory	0775	1775638127936241455				mkdir	run-directory		
harness/src/fdb_harness.cpp	harness/src/fdb_harness.cpp	file	0664	1775638127937241474	25412	845ad0396d02ef35cc6f655aa3c49a41a63594f1253be284acf1d2107530c40f		copy	run-evidence		
harness/src/tla_trace.h	harness/src/tla_trace.h	file	0664	1775638127936241455	2385	bceca42bb94a973f50dac1e833f2833996fa1c8301c34ec85a4ee61f49565759		copy	run-evidence		
invariants	invariants	directory	0775	1775545443039656416				mkdir	run-directory		
invariants/fdb-enhancements-hld.md	invariants/fdb-enhancements-hld.md	file	0664	1775545443039656416	14	d5558cd419c8d46bdc958064cb97f963d1ea793866414c025906ec15033512ed		copy	run-evidence		
invariants/swss_warm_restart.md	invariants/swss_warm_restart.md	file	0664	1775545443353662160	10022	8d24b545699f67057bf9156195623abb31d9f5c9960b8dbcc226b7a222027bdc		copy	run-evidence		
pipeline.log	pipeline.log	file	0664	1775588520559341345	2414	bade92f37011efdb37ee9a652c912a082defe07099078cb1df245d21453f0daf		copy	run-evidence		
repro	repro	directory	0775	1775638127935241436				mkdir	run-directory		
repro/test_bug1_stale_bridge_port.py	repro/test_bug1_stale_bridge_port.py	file	0664	1775638127935241436	10309	ada1737385e39b6a1732e29f0989669bae7db150435610e30d101c9865a661cc		copy	run-evidence		
repro/test_bug2_flush_pending_phantom.py	repro/test_bug2_flush_pending_phantom.py	file	0664	1775638127935241436	10438	409ca1e97409b47f1348562603cef9ac5c19306ae56fa8451f04c799ec0dd8b7		copy	run-evidence		
repro/test_bug3_tunnel_lifecycle_leak.py	repro/test_bug3_tunnel_lifecycle_leak.py	file	0664	1775638127935241436	10376	f2bafe0f498310067f155cdce3f54c66af1515234643ffcc572a9bba541e862c		copy	run-evidence		
spec	spec	directory	0775	1775638139116450047				mkdir	run-directory		
spec/MC.cfg	spec/MC.cfg	file	0664	1775638127927241287	1056	fec4efe8f98e7ae3b47fe55cd93e052844f67507e28c1cf50b0a61cc5388872f		copy	run-evidence		
spec/MC.tla	spec/MC.tla	file	0664	1775638127925241250	8219	380f5cce7e47955930af2e2c94e287871a52f067ab133eaf24168d07d0896b12		copy	run-evidence		
spec/MC_hunt_counter_drift.cfg	spec/MC_hunt_counter_drift.cfg	file	0664	1775638127928241306	949	4938425866f5d0a4d2e164e2cc6428d62d7b9a2bbc552b864ebcdf0816919013		copy	run-evidence		
