source_path	destination_path	type	mode	mtime_ns	size	sha256	symlink_target	action	classification	reason	encoded
.bug-confirmation-prompt.md	.bug-confirmation-prompt.md	file	0664	1775741837958614797	13024	11086790fe65d32c13ac7c87d5233043e6651799b8e145f73013e2521b4b447c		copy	run-evidence		
.harness-gen-prompt.md	.harness-gen-prompt.md	file	0664	1775642101250267721	7157	2ddd21bdc0c916af7091d9e68f4051db0fe7418566c59a0923ab85c03b263c10		copy	run-evidence		
.prompt-extra.md	.prompt-extra.md	file	0664	1775741034278976824	8524	0fa16b1a376febc5285f219f7e4b47d24790ffe9350311f508f55cf0cb1bc262		copy	run-evidence		
.prompt.md	.prompt.md	file	0664	1775639727206786826	8070	655de2bde545ec8d229c8cdc2767f95354f0479964b5b5e2fc1846150ad27aca		copy	run-evidence		
.spec-gen-prompt.md	.spec-gen-prompt.md	file	0664	1775641122001807687	8477	25d07c733f47f00b17c90aa564fb6b2173ed2d85fd5aa331e5117efcd3a79a6f		copy	run-evidence		
.spec-validation-prompt.md	.spec-validation-prompt.md	file	0664	1775643499678615109	7217	a48c731041c07ad25639b7d4d7f28fa8ef9198e955043334eceb2c47bff795c2		copy	run-evidence		
.specula-output		symlink	0777	1775545716601719908	1	cdb4ee2aea69cc6a83331bbe96dc2caa9a299d21329efb0336fc02a82e1839a8	.	reference	symlink-reference	relative-symlink-not-materialized	
agent.log	agent.log	file	0664	1775641121847804871	1454	2d99c3dcfb6958704d007ccd28d083917256300105a5d011241ea9e3d700927c		copy	run-evidence		
agent.pid		file	0664	1775639727207786844	8	2e2ec6099350064891e6928a9fc9bef07d687bb57d9699352fe10a592b6c27e3		exclude	non-evidence	ephemeral-process-id	
agent.raw.json	agent.raw.json	file	0664	1775641121594800247	2650	ee58b15fa38808f0c1b352bb4511485861e758c92f1b536527ef8dc9c08eafe8		copy	run-evidence		
agent.usage.json	agent.usage.json	file	0664	1775641121873805347	1245	4b9f7378e1c7fb0a3c2f608ea00ce4f4c294d3a538ec99b2f8a35cecd4918e3e		copy	run-evidence		
analysis-report.md	analysis-report.md	file	0664	1775641101526431843	15234	a940585a6a48739ed0bfeb3fae9c8698f9a8e8520048c129419c0fd3243334a6		copy	run-evidence		
artifact	.record/source-snapshots/artifact.tar	directory	0775	1775545700261418819	0	4863d0e12de14d870337d991ea76a1bad937f3ed19679d852c25de33862d23af		snapshot	source-snapshot	non-git-source-snapshot	"{""codec"": ""zstd"", ""codec_version"": ""1.5.5"", ""content_entries"": 2, ""content_id"": ""sha256:4863d0e12de14d870337d991ea76a1bad937f3ed19679d852c25de33862d23af"", ""content_manifest"": "".record/source-snapshots/artifact.tar.files.tsv"", ""content_manifest_bytes"": 297, ""content_manifest_sha256"": ""ed68425fa42b463ac5ce5b7a375a347b530c66d87f9dff0eeb7a44d62ad40649"", ""encoded_bytes"": 23, ""encoded_sha256"": ""ef077a15315f941a8fc5700796762259eb286177402b33c31d5bddc62df4a397"", ""parts"": [{""bytes"": 23, ""path"": ""artifact.tar.zst"", ""sha256"": ""ef077a15315f941a8fc5700796762259eb286177402b33c31d5bddc62df4a397""}], ""tar_bytes"": 10240, ""tar_sha256"": ""84ff92691f909a05b224e1c56abb4864f01b4f8e3c854e4bb4c7baf1d3f6d652""}"
