source_path	destination_path	type	mode	mtime_ns	size	sha256	symlink_target	action	classification	reason	encoded
agent.log	agent.log	file	0664	1772339831718880139	2031	1d0e94da9bffde9769ef16ebbd3012fe46887927fd4eae0ed6876e6ca3b359dd		copy	run-evidence		
agent.pid		file	0664	1772338414490388065	8	e04202366a6f80869777a9d01c34c611b3616ea1227e55e304d31a621d7c26e4		exclude	non-evidence	ephemeral-process-id	
analysis-report.md	analysis-report.md	file	0664	1773051741940997976	20715	79be70625b6bf5ba548ec3787379f2456e6a68eb8ed84619fc7740e637eeab3f		copy	run-evidence		
artifact	.record/source-snapshots/artifact.tar	directory	0775	1772443918842872964	0	7862f5b49cde95b69b78c15f3204ce927094a9ca631f62a4c6d0f66a61222141		snapshot	source-snapshot	non-git-source-snapshot	"{""codec"": ""zstd"", ""codec_version"": ""1.5.5"", ""content_entries"": 1, ""content_id"": ""sha256:7862f5b49cde95b69b78c15f3204ce927094a9ca631f62a4c6d0f66a61222141"", ""content_manifest"": "".record/source-snapshots/artifact.tar.files.tsv"", ""content_manifest_bytes"": 109, ""content_manifest_sha256"": ""00be8c0068fb6dcb4b681b2d25f0dc02b2e36d4e3b1ae648c22299658bd5618e"", ""encoded_bytes"": 23, ""encoded_sha256"": ""ef077a15315f941a8fc5700796762259eb286177402b33c31d5bddc62df4a397"", ""parts"": [{""bytes"": 23, ""path"": ""artifact.tar.zst"", ""sha256"": ""ef077a15315f941a8fc5700796762259eb286177402b33c31d5bddc62df4a397""}], ""tar_bytes"": 10240, ""tar_sha256"": ""84ff92691f909a05b224e1c56abb4864f01b4f8e3c854e4bb4c7baf1d3f6d652""}"
artifact/substrate	.record/source-snapshots/artifact-substrate-50f3d0c08f7d.tar	directory	0775	1778171647666281525	47430131	df17b5af33bb1f6f08bba6b7ff4bef398f582c44931048749629c7ae8c81b657		snapshot	source-snapshot	non-git-source-snapshot	"{""codec"": ""zstd"", ""codec_version"": ""1.5.5"", ""content_entries"": 3494, ""content_id"": ""sha256:df17b5af33bb1f6f08bba6b7ff4bef398f582c44931048749629c7ae8c81b657"", ""content_manifest"": "".record/source-snapshots/artifact-substrate-50f3d0c08f7d.tar.files.tsv"", ""content_manifest_bytes"": 446321, ""content_manifest_sha256"": ""0f83323cc12dbcbde4bd95cd9228d9a1b79866db294b71b8ec8998b9772fdf0b"", ""encoded_bytes"": 16133437, ""encoded_sha256"": ""5e249ace957ddcb9ab14fa404100ac03459c63eb423796a691250b1815c8afcc"", ""parts"": [{""bytes"": 16133437, ""path"": ""artifact-substrate-50f3d0c08f7d.tar.zst"", ""sha256"": ""5e249ace957ddcb9ab14fa404100ac03459c63eb423796a691250b1815c8afcc""}], ""tar_bytes"": 53504000, ""tar_sha256"": ""1619c3f6a608525feaf0586641546cc0c4b292f10ef96e7964bf39433f107f03""}"
bug-hunting.log	bug-hunting.log	file	0664	1772443134628778768	1657	c39e3df0385495a6e39ff00234bda8092f6e40959cca1cb39a860fb4a89fdc6b		copy	run-evidence		
bug-hunting.pid		file	0664	1772439955887841083	8	299d90348c7e78671d6a19112db16d5c43443018b0eba8045786fbcfda6bf27d		exclude	non-evidence	ephemeral-process-id	
bug-report.md	bug-report.md	file	0664	1775312925211614420	16748	b742c7cc553bfbee199223b372fd822244451e3200ba38333375b5258878c1e1		copy	run-evidence		
bug-summary.md	bug-summary.md	file	0664	1773051741941997994	18826	cfc7c91dc019f3f6351877a37e9411501ecc44f1640cb353a2ecf0b671dad3c0		copy	run-evidence		
harness	harness	directory	0775	1773051741941997994				mkdir	run-directory		
harness/INSTRUMENTATION.md	harness/INSTRUMENTATION.md	file	0664	1773051741941997994	2854	ac618775588fced497209517b33f9dbd3ea7f2bce6002228add3618d213016fc		copy	run-evidence		
harness/apply.sh	harness/apply.sh	file	0775	1773051741941997994	4364	526ddb34e65eac46f6e894abe1a9be8647e8e7a6b172150a27e2cf36b80fbde6		copy	run-evidence		
harness/run.sh	harness/run.sh	file	0775	1773051741941997994	1845	9dde3fc0b8364b4eeec71194099aea4f1bf336b746cced3d25dd363f13069a0c		copy	run-evidence		
modeling-brief.md	modeling-brief.md	file	0664	1773051741941997994	20024	6d902f86cc1fcb79c167ced63f73d3e66c4bbec330ac6679af1a894a666e625f		copy	run-evidence		
spec	spec	directory	0775	1780328256406879898				mkdir	run-directory		
spec-gen.log	spec-gen.log	file	0664	1772360643393355871	2083	ffed27c55a9e29e57210abae9dab2763b99fb4e944f2fab0ba808c0e7fc3028a		copy	run-evidence		
spec-gen.pid		file	0664	1772358808525809813	8	a156afd26a0e5679739d289cb98c446fd41a0d0aab4278d3378712198fe711e7		exclude	non-evidence	ephemeral-process-id	
spec-validation.log	spec-validation.log	file	0664	1772383937711124393	972	205c917a40cb5bb73544175f86956a3ce24f411be3344f093a79c1299cfcc322		copy	run-evidence		
spec-validation.pid		file	0664	1772373093306774916	8	69e2b7611b90e92ab0797fc3036571ef8cebd17b7c2d2e007a1c4a41b11b6a1f		exclude	non-evidence	ephemeral-process-id	
spec/MC.cfg	spec/MC.cfg	file	0664	1773051741941997994	1855	45001aa21329a5eeaf62b16b83e012d7320fa24cb7da2a5cb979ad33e2554b38		copy	run-evidence		
spec/MC.tla	spec/MC.tla	file	0664	1773051741941997994	12263	957ea094c3ea98593460fb417c158c23eb2dcc93e0c626def4459d95e8fb3cc5		copy	run-evidence		
spec/MC_hunt.cfg	spec/MC_hunt.cfg	file	0664	1773051741941997994	1217	bd8f9bb73a8489cb741cafbf99b6203112cdd671c1ac2acce00886c8c8ced809		copy	run-evidence		
spec/MC_hunt.tla	spec/MC_hunt.tla	file	0664	1773051741941997994	4594	d5293ca6a57f6459fcb8208822b71ba8e63e442a2d15e3d89f4da781db313a6a		copy	run-evidence		
spec/MC_mc2.cfg	spec/MC_mc2.cfg	file	0664	1773051741941997994	1037	b9e92711bed54dddd7fa35408d1a17fbbf6b8dc3b5a56010557ab040780df743		copy	run-evidence		
spec/MC_mc4.cfg	spec/MC_mc4.cfg	file	0664	1773051741941997994	995	f413774cd4b2254e8d31d573003cd6076f7efbce2073bdb5f52155c002ee75c9		copy	run-evidence		
spec/MC_mc4.tla	spec/MC_mc4.tla	file	0664	1773051741942998012	7709	f51b502ab990994b0e2b64cb8a4686144e7304fada4ff40c780177db6f5f7d8a		copy	run-evidence		
spec/MC_mc7.cfg	spec/MC_mc7.cfg	file	0664	1773051741942998012	1024	f8da24b1c943a9c4f3949ea9282ef89e193c16e3c3810689ba00dc0262b2e329		copy	run-evidence		
spec/MC_mc7.tla	spec/MC_mc7.tla	file	0664	1773051741942998012	8038	dc16c9b128a53937b0d34af0d42ad248a5e27da0c7d25af06e42bb2c6ecc1d43		copy	run-evidence		
spec/MC_sim.cfg	spec/MC_sim.cfg	file	0664	1773051741942998012	878	d58f377ae3cf5347ca83159afa2526f7a84d992ccfa397e258144cfe0a20edbd		copy	run-evidence		
spec/MC_v2.cfg	spec/MC_v2.cfg	file	0664	1773051741942998012	904	89656c7b811285576d250e90223518041931701be1e5e62f5eda740f10c6dbb2		copy	run-evidence		
spec/Trace.cfg	spec/Trace.cfg	file	0664	1773051741942998012	635	6bca8bb7a1cafd244d78f0613b8d9d14d4df8056258a548a5115a44847bdf5b1		copy	run-evidence		
spec/Trace.tla	spec/Trace.tla	file	0664	1773051741942998012	14808	2c1e864a78a8d69a361f3ff08e46965ee566a7a9a132a5a87c10491fa2b12e4b		copy	run-evidence		
spec/Trace_forced.cfg	spec/Trace_forced.cfg	file	0664	1773051741942998012	624	59b3ed2fd02a3b98a6722a5f2b633042440112ca7fb06d8099794bce2b7a624a		copy	run-evidence		
spec/base.cfg	spec/base.cfg	file	0664	1773051741942998012	585	9fef5c610227d698cc14c0a70210b28c52145100e52e0514e565ce3d8f54a35f		copy	run-evidence		
spec/base.tla	spec/base.tla	file	0664	1773051741942998012	40685	cc208aaad7a1262c137e7b69fd51b4839d4eb9b395c3a0c81e3d1d2afa882e6b		copy	run-evidence		
spec/changelog.md	spec/changelog.md	file	0664	1773051741942998012	5526	9996a3b2f03c0132cb135e9be2bfe9c36f113d50f919f1628ed7244ca1ac5a1b		copy	run-evidence		
spec/instrumentation-spec.md	spec/instrumentation-spec.md	file	0664	1773051741942998012	12599	44265ae861a7da828640655aea42f0b0e5e18b343ed162efeb879c4f18171f41		copy	run-evidence		
spec/nohup_hunt.out	spec/nohup_hunt.out	file	0664	1772440728007235301	13562	a8e1aaea3b4ed9ae6d42bf7dee67d7e3fd83f9430a977ebc9ceeafb63c2feb60		copy	run-evidence		
spec/nohup_mc2.out	spec/nohup_mc2.out	file	0664	1772443099625180818	8237	2f1021195b9a2afca6730ff1bceeeb0dfbd88f2c50a4543cfe5f6614bddc0318		copy	run-evidence		
spec/nohup_mc2_sim.out	spec/nohup_mc2_sim.out	file	0664	1772442510128774918	86936	dbe5b23a8ad76ba6f5f5ef76e965e79423ae0bf33a681083a53e6b107f28f7ca		copy	run-evidence		
spec/nohup_mc4.out	spec/nohup_mc4.out	file	0664	1772442977578949415	8339	2e15bb811d17cd1332c16817d462f2149bc6124dbe76d24d21c0db81e15f69d3		copy	run-evidence		
spec/nohup_mc4_sim.out	spec/nohup_mc4_sim.out	file	0664	1772442209956131354	76294	79654bcb7543d1effc7702eda227fa2dbb5b5af052d2c03ed22d9e3c28d47c14		copy	run-evidence		
spec/nohup_mc7.out	spec/nohup_mc7.out	file	0664	1772441306891112883	3966	e09300c87fad2e7ea21d3d3a0112fb244551acc46cc87e91279f4f7750110c60		copy	run-evidence		
spec/nohup_mc7_sim.out	spec/nohup_mc7_sim.out	file	0664	1772441408655595096	51386	b75c27e95d97e31fe18e8b9c1ebbb8f296f5015c3e5c014ea2a6632e528414c7		copy	run-evidence		
