source_path	destination_path	type	mode	mtime_ns	size	sha256	symlink_target	action	classification	reason	encoded
.prompt-extra.md	.prompt-extra.md	file	0664	1778558616821065240	3067	d08ac7654e4ac6e69a26a0e140f396028e9cd0cb8419e0c3627e95d796d2d030		copy	run-evidence		
.specula-output	.specula-output	directory	0775	1778771471201911121				mkdir	run-directory		
.specula-output/.bug-confirmation-prompt.md	.specula-output/.bug-confirmation-prompt.md	file	0664	1778576533748453168	8309	b5775f374c443b7a489138df8acfe1e5f86133062e8342ed0cfe30f3aadb4781		copy	run-evidence		
.specula-output/.harness-gen-prompt.md	.specula-output/.harness-gen-prompt.md	file	0664	1778565158235681152	5324	7f239baad2281172a4f9e966bf59b0eefd49df4c0874c3b328b64389d97e7547		copy	run-evidence		
.specula-output/.prompt.md	.specula-output/.prompt.md	file	0664	1778563216827809371	6351	b01950a547f7a7f1a168ffc35fa1b0b603151288b70d08ce71d11f8e676f563a		copy	run-evidence		
.specula-output/.spec-gen-prompt.md	.specula-output/.spec-gen-prompt.md	file	0664	1778564237364551035	7152	d19feae699094028906f8b0f99bc7632e8f85c0a10ab8d54af28821af57c263b		copy	run-evidence		
.specula-output/.spec-validation-prompt.md	.specula-output/.spec-validation-prompt.md	file	0664	1778566760132086367	5462	df22c0359a8e6b5512a8763f5db0e895879ea1ed38662b670cc3e80e8f83634d		copy	run-evidence		
.specula-output/agent.log	.specula-output/agent.log	file	0664	1778564237013544667	2265	fe5f77cef2f9e6d50ee9b68463d86a2e6185b3b529e89f29af8ef26dab154676		copy	run-evidence		
.specula-output/agent.pid		file	0664	1778563216828809389	8	341e1dd9a4ee32d62890f836c856deb0d6a3614270f3ad1500552b907e01523d		exclude	non-evidence	ephemeral-process-id	
.specula-output/agent.raw.json	.specula-output/agent.raw.json	file	0664	1778564236758540031	3693	3607457506a7b92b4e920c5ba53aaae22f4799f96d9de94d5917a8a95ec11fa6		copy	run-evidence		
.specula-output/agent.usage.json	.specula-output/agent.usage.json	file	0664	1778564237037545102	1559	4aa9669e0351b5120eb0aadc2703644348306a3d0539fb0c3dc3fa8e827994cf		copy	run-evidence		
.specula-output/bug-confirmation.log	.specula-output/bug-confirmation.log	file	0664	1778577489600163279	1178	87c44f4f0d2909d8d1679b5817978f04ba69ef89a218342e821ae4fc443e1240		copy	run-evidence		
.specula-output/bug-confirmation.pid		file	0664	1778576533749453187	7	30b0011352bd2748e88e543ffcc5a183dd27690cccfaef0109e573a6fe0ca754		exclude	non-evidence	ephemeral-process-id	
.specula-output/bug-confirmation.raw.json	.specula-output/bug-confirmation.raw.json	file	0664	1778577489363158804	2581	79e8ccfd090fecd1fb1f3828adc512698bef0c791daa28f2ff56a5238076ae53		copy	run-evidence		
.specula-output/bug-confirmation.usage.json	.specula-output/bug-confirmation.usage.json	file	0664	1778577489626163770	1551	39911fd656d288827086f54634a5b4ba5b8416c37feb492542e820fdb7528628		copy	run-evidence		
.specula-output/harness-gen.log	.specula-output/harness-gen.log	file	0664	1778566759770079747	1827	68d15869bb535122dda370deb2699d07a683261d2dfc3e125b7b5bc2852c804e		copy	run-evidence		
