source_path	destination_path	type	mode	mtime_ns	size	sha256	symlink_target	action	classification	reason	encoded
.gitignore	.record/source.gitignore	file	0664	1772767136947634024	12	2baf67d2b86db0b4e377cd0d503d76ff8e82a3db7a52e54c13cf57b5706729d9		copy	run-evidence		
artifact	.record/source-snapshots/artifact.tar	directory	0775	1772767136947634024	0	e0d1f4a24e567247cc99b49c1d8b76adb1f8d8138d9f2fe6a7950924302f938b		snapshot	source-snapshot	non-git-source-snapshot	"{""codec"": ""zstd"", ""codec_version"": ""1.5.5"", ""content_entries"": 1, ""content_id"": ""sha256:e0d1f4a24e567247cc99b49c1d8b76adb1f8d8138d9f2fe6a7950924302f938b"", ""content_manifest"": "".record/source-snapshots/artifact.tar.files.tsv"", ""content_manifest_bytes"": 241, ""content_manifest_sha256"": ""fd7e28cf2c38ff6cb25966ccdd7e1a33937c387193e7c353f126d7f48b2be1b9"", ""encoded_bytes"": 23, ""encoded_sha256"": ""ef077a15315f941a8fc5700796762259eb286177402b33c31d5bddc62df4a397"", ""parts"": [{""bytes"": 23, ""path"": ""artifact.tar.zst"", ""sha256"": ""ef077a15315f941a8fc5700796762259eb286177402b33c31d5bddc62df4a397""}], ""tar_bytes"": 10240, ""tar_sha256"": ""84ff92691f909a05b224e1c56abb4864f01b4f8e3c854e4bb4c7baf1d3f6d652""}"
docs	docs	directory	0775	1772767136947634024				mkdir	run-directory		
docs/bug_family3_recovery_conflict_status.md	docs/bug_family3_recovery_conflict_status.md	file	0664	1772767136947634024	2676	4fdf7312e11c94fa1fafd2f5a15992fc2a77f93f437bbb1f539f8f79b979c68e		copy	run-evidence		
docs/bug_family5_durable_metadata_bal_overwrite.md	docs/bug_family5_durable_metadata_bal_overwrite.md	file	0664	1772767136947634024	2367	d0602ac7de077ef8737512282103d65ed22f9c60b623bcf1e2666f04faba71f3		copy	run-evidence		
docs/modelling_brief.md	docs/modelling_brief.md	file	0664	1772767136947634024	12775	ce69f816a3df4b6097fbe833e5d94956d63e9218e8ba5150740f4dd7d0eb14e6		copy	run-evidence		
docs/spec_closeness_audit.md	docs/spec_closeness_audit.md	file	0664	1772767136947634024	6054	627e3cc3d030f0b82a5c8e8ceac326df63618075aa6286117dae0323a1a16865		copy	run-evidence		
patches	patches	directory	0775	1772767136947634024				mkdir	run-directory		
patches/0001-feat-add-epaxos-instrumentation.patch	patches/0001-feat-add-epaxos-instrumentation.patch	file	0664	1772767136947634024	12382	e0d43b8e1fa3656dd1a56424712d89cf78ce43ce800e1b847e2f465fa493c35e		copy	run-evidence		
spec	spec	directory	0775	1780328256426880302				mkdir	run-directory		
spec/.gitignore	.record/source-control/spec/gitignore.source	file	0664	1772767136948634042	25	51ef239b320275d9ee5f7cd8a62a2900d9842506fbbe9b477bcd207ddd4b1a14		copy	run-evidence		
spec/MC.cfg	spec/MC.cfg	file	0664	1772767136948634042	409	d2aed75b138972da70d5ed3b3fe235a8c46a5ddca5fba8138d480ea7940285c9		copy	run-evidence		
spec/MC.tla	spec/MC.tla	file	0664	1772767136948634042	2776	b5763bfa5b1cca21e32a0466874507d7bfffac92cddfd7eb4638d4ada233491d		copy	run-evidence		
spec/Trace.cfg	spec/Trace.cfg	file	0664	1772767136948634042	272	a546f3c0d08dd1e6de7baa3c3326a775d3317ebaea391564b21800efeac178fb		copy	run-evidence		
spec/Trace.tla	spec/Trace.tla	file	0664	1772767136948634042	13766	244b830039750719e105e07425319f9033fb287143c31b2bcf80954d33c3e4f9		copy	run-evidence		
spec/base.cfg	spec/base.cfg	file	0664	1772767136948634042	253	0a82f222f752e9863be0d388b00244242fed7aa137f7863f6cdcff50858538c4		copy	run-evidence		
spec/base.tla	spec/base.tla	file	0664	1772767136948634042	53868	9a422c3bc25348ddb3ca3cc15139b1b7c7dc0a8f0f8ae6814d0b184b108f196d		copy	run-evidence		
spec/fix_log.md	spec/fix_log.md	file	0664	1772767136948634042	14366	bb55f3b6c03f560fbb4f616e40a65d181308f9cd581f68f38c289d6172cfc199		copy	run-evidence		
spec/instrumentation-spec.md	spec/instrumentation-spec.md	file	0664	1772767136948634042	2828	22ce5447df1adcd72e93398bbb92c3749fb31cb1053d09a12c264142687b3a82		copy	run-evidence		
