source_path	destination_path	type	mode	mtime_ns	size	sha256	symlink_target	action	classification	reason	encoded
.gitignore	.record/source.gitignore	file	0664	1772767136949634060	195	bd6bed633631fdcbf1a168b5a7b2fc09e8825af6e910ccf7a267288c2a531651		copy	run-evidence		
artifact	.record/source-snapshots/artifact.tar	directory	0775	1784107471836889898	0	c8d2fb79af24743845489bd7c047ea3b15b16a10d4e67d01a73c472622e2a10a		snapshot	source-snapshot	non-git-source-snapshot	"{""codec"": ""zstd"", ""codec_version"": ""1.5.5"", ""content_entries"": 1, ""content_id"": ""sha256:c8d2fb79af24743845489bd7c047ea3b15b16a10d4e67d01a73c472622e2a10a"", ""content_manifest"": "".record/source-snapshots/artifact.tar.files.tsv"", ""content_manifest_bytes"": 101, ""content_manifest_sha256"": ""afb624f946e1f4be95d3116d7ed0eafac2b72242800a3bc214da268991c16d85"", ""encoded_bytes"": 160, ""encoded_sha256"": ""bd33b4910b79cf976571a5313279033c323be4d99e7c10a705491692d70fe19e"", ""parts"": [{""bytes"": 160, ""path"": ""artifact.tar.zst"", ""sha256"": ""bd33b4910b79cf976571a5313279033c323be4d99e7c10a705491692d70fe19e""}], ""tar_bytes"": 10240, ""tar_sha256"": ""0fe99029621b52f42b14116e721793ce9853cf378fc01f108a48a86b2a097cba""}"
bugs	bugs	directory	0775	1772767136950634078				mkdir	run-directory		
bugs/README.md	bugs/README.md	file	0664	1772767136949634060	214	20a684354203e4d1ae4f919a65104df778fd0cbb9ad7bdfd58be9465e8be06e7		copy	run-evidence		
bugs/bug_report_ack_newleader_ordering.md	bugs/bug_report_ack_newleader_ordering.md	file	0664	1772767136949634060	2321	c0c5a27ff03ef7552697606c898b71dd3b67e3f75e93f5556260074049279bf6		copy	run-evidence		
bugs/bug_report_recovery_merge_overwrite.md	bugs/bug_report_recovery_merge_overwrite.md	file	0664	1772767136950634078	2278	709ff8ee2d8ef45f00f97a843c1bebb6a25672549b625e75628348994c66045b		copy	run-evidence		
bugs/bug_report_start_dep.md	bugs/bug_report_start_dep.md	file	0664	1772767136950634078	4403	82b909575a0bea294730d573c5fbd8bc592ee5056ce2f4950cdc8313f656d8e4		copy	run-evidence		
patches	patches	directory	0775	1772767136950634078				mkdir	run-directory		
patches/trace-instrumentation.patch	patches/trace-instrumentation.patch	file	0664	1772767136950634078	16764	5c48350803a9b2c019685c4e11ecc547ec705cba2dab941131aa63972495cae9		copy	run-evidence		
spec	spec	directory	0775	1780328256482881432				mkdir	run-directory		
spec/.gitignore	.record/source-control/spec/gitignore.source	file	0664	1772767136950634078	132	fa2d1dd4eb1829e41719114dceb8adf18504581968eedf00fcf034d3d61a578c		copy	run-evidence		
spec/StrictPaxosImpl.cfg	spec/StrictPaxosImpl.cfg	file	0664	1772767136950634078	209	0c0b01d2e5c7f151f87588c7acce658cca39fd1a940dadf41abc06d006f19792		copy	run-evidence		
spec/StrictPaxosImpl.tla	spec/StrictPaxosImpl.tla	file	0664	1772767136950634078	52962	85b1dfd1348445307b3ef6d4ce79cc756b851cf5578dd06bcaee73d7305a4086		copy	run-evidence		
spec/TraceStrictPaxosImpl.cfg	spec/TraceStrictPaxosImpl.cfg	file	0664	1772767136950634078	331	09ee5a46eab49eb9677f33c1c13afceeeee8de314b22829f8643e9b170e54a31		copy	run-evidence		
spec/TraceStrictPaxosImpl.requested_minus2.withstep.cfg	spec/TraceStrictPaxosImpl.requested_minus2.withstep.cfg	file	0664	1772767136950634078	831	d5c8b07a3ccd7777f54ad7388fc6247d28692816abdf9d13f88c5074f4841200		copy	run-evidence		
spec/TraceStrictPaxosImpl.tla	spec/TraceStrictPaxosImpl.tla	file	0664	1772767136950634078	18238	a3026b8d3a28b600ffefe3826d3860c3a5fd520c5e38674e6467896054a8d27d		copy	run-evidence		
spec/fix_log.md	spec/fix_log.md	file	0664	1772767136950634078	5574	665d38162c4f9dd5c9561d71acfbaed1e38ab8c4e3823af101734fc8e0a60c8c		copy	run-evidence		
