source_path	destination_path	type	mode	mtime_ns	size	sha256	symlink_target	action	classification	reason	encoded
external:artifact	.record/source-snapshots/external-artifact-539554476da0.tar	directory	0700	1784141183379429136	5846564	0874ce89845484137a324f7449d97b31b44a16ceb96d0bccdba18706d426dd88		snapshot	source-snapshot	non-git-source-snapshot	"{""codec"": ""zstd"", ""codec_version"": ""1.5.5"", ""content_entries"": 966, ""content_id"": ""sha256:0874ce89845484137a324f7449d97b31b44a16ceb96d0bccdba18706d426dd88"", ""content_manifest"": "".record/source-snapshots/external-artifact-539554476da0.tar.files.tsv"", ""content_manifest_bytes"": 120148, ""content_manifest_sha256"": ""99c2b10e4c3c2710dd5aa75b707732d061f72f1ea1640be6d80e9f051e00ed41"", ""encoded_bytes"": 1141366, ""encoded_sha256"": ""c4a19dd92ceb43b34247a3a6c9f33cae0b9482da70a9105c8f92077b4c4c1bc0"", ""parts"": [{""bytes"": 1141366, ""path"": ""external-artifact-539554476da0.tar.zst"", ""sha256"": ""c4a19dd92ceb43b34247a3a6c9f33cae0b9482da70a9105c8f92077b4c4c1bc0""}], ""tar_bytes"": 7546880, ""tar_sha256"": ""afe7ed7ee39a3924f89fd8e7fa7fde64c96a5f8a89d717e82478d87b1db00394""}"
pipeline-summary.md	pipeline-summary.md	file	0600	1784156392126028080	931	bfa2bec2cfb0727d4cc00b2f1787031107ba185f2cf3354b52879b6e5283ed6e		copy	run-evidence		
pipeline.log	pipeline.log	file	0600	1784156392126028080	577659	6115beea9a111140a901fe3306c3d96511f56d33b4e2a705802999000065eeb7		copy	run-evidence		
run.json	run.json	file	0600	1784137714940203849	897	2505be8d4fada3a995b0b526727d3cb3c5f687362cbe85ad15270a16604495f4		copy	run-evidence		
tlc-resources.json	tlc-resources.json	file	0600	1784137714934203730	69	956d517f25871eb7b57781472b71aa2c2a4d27f67c40580600fb31b14137f9bc		copy	run-evidence		
tokio-watch	tokio-watch	directory	0700	1784137714836201780				mkdir	run-directory		
tokio-watch/.specula-output	tokio-watch/.specula-output	directory	0700	1784156379296788169				mkdir	run-directory		
tokio-watch/.specula-output/.bug-classification-prompt.md	tokio-watch/.specula-output/.bug-classification-prompt.md	file	0600	1784156252681551671	1077	df2fee6d34ede2eda0e8362f9e2a88398b5b549eaced480e1b19d4a782b7a4e6		copy	run-evidence		
tokio-watch/.specula-output/.harness-gen-prompt.md	tokio-watch/.specula-output/.harness-gen-prompt.md	file	0600	1784140156861676103	2759	0745a4a63cff1b0a141b14ff07da1c3823096ae3faa25d8b189abb7ad300d254		copy	run-evidence		
tokio-watch/.specula-output/.prompt-extra.md	tokio-watch/.specula-output/.prompt-extra.md	file	0600	1784137714838201819	394	301f9560323c623306da3780f11995154fbc1c5f50b0618eec68258229199f51		copy	run-evidence		
