source_path	destination_path	type	mode	mtime_ns	size	sha256	symlink_target	action	classification	reason	encoded
.prompt-extra.md	.prompt-extra.md	file	0664	1777148443528382713	2604	9427ce86cdac84949ace04285ba76c8bffd6146230ad79465a8ff118dfb71e11		copy	run-evidence		
.specula-output	.specula-output	directory	0775	1777231993606426838				mkdir	run-directory		
.specula-output/.spec-gen-prompt.md	.specula-output/.spec-gen-prompt.md	file	0664	1777231993606426838	6441	f934a1e4504265955867d5228ef87f2c84e88c988abc2285d67d2ebebddf4445		copy	run-evidence		
.specula-output/modeling-brief.md	.specula-output/modeling-brief.md	file	0664	1777148443528382713	9886	d20b8991df58404b4f2a72f8ee48ca377fa79b4ed1a49b7fbc72bcfd88ddb1bf		copy	run-evidence		
.specula-output/pipeline-summary.md	.specula-output/pipeline-summary.md	file	0664	1777157421008171949	436	a85e0fbe8d70acd90c3b56c9a7ccd25b25f24207358d86e4f485c05da8b45445		copy	run-evidence		
.specula-output/pipeline.log	.specula-output/pipeline.log	file	0664	1777231993605426819	2949	2e16582f2ad4d01bbf517b849519972e2e637220d0d04815ab262a55a4b06ad4		copy	run-evidence		
.specula-output/spec	.specula-output/spec	directory	0775	1777157392777649105				mkdir	run-directory		
.specula-output/spec-gen.log	.specula-output/spec-gen.log	file	0664	1777231993601426747	1487	b7b6cc0afeb04e890bf7bc8406c36a8dadd07a5607becf29848f538f178b4bdc		copy	run-evidence		
.specula-output/spec-gen.pid		file	0664	1777156656375142775	8	1481897222a0e4c49be130006ec41732d57d3ec8eb54603e16315dbad0e76bad		exclude	non-evidence	ephemeral-process-id	
.specula-output/spec-gen.raw.json	.specula-output/spec-gen.raw.json	file	0664	1777231993605426819	2872	a954b5d9d7e4b4a04fc73c705b579796411eecd8068a36fd53b3e40c5781d330		copy	run-evidence		
.specula-output/spec-gen.usage.json	.specula-output/spec-gen.usage.json	file	0664	1777157420979171419	1480	1df36c7a61dd83164bae862f82a7a15ecb5056add769b1295588cafd1350822f		copy	run-evidence		
.specula-output/spec/MC.cfg	.specula-output/spec/MC.cfg	file	0664	1777157075076836993	126	75501244548a89181c9bfbb77a6a1ee6d715506942b10cce1bcd73a40048acd4		copy	run-evidence		
.specula-output/spec/MC.tla	.specula-output/spec/MC.tla	file	0664	1777157070943760748	880	58fdd57496b3d1282ccd32533ae1d82dffada2cad1165637d8dfaf14136a7e55		copy	run-evidence		
.specula-output/spec/Trace.cfg	.specula-output/spec/Trace.cfg	file	0664	1777157161226432693	83	ed93fdda9841bb8ecde693da83d252b5cd1c317344bd879da77267bcbbdfd4c4		copy	run-evidence		
.specula-output/spec/Trace.tla	.specula-output/spec/Trace.tla	file	0664	1777157156189339851	4553	80646b966ad142b753e09d5df4bfc38b4def0b82b133976da9d75db6467a7b1a		copy	run-evidence		
.specula-output/spec/base.cfg	.specula-output/spec/base.cfg	file	0664	1777157006033560150	53	3e0e6136884b167aa95e6df2088cdb0e671934ab0976221ae14475728be6efce		copy	run-evidence		
.specula-output/spec/base.tla	.specula-output/spec/base.tla	file	0664	1777157392774649050	11687	a96623210596d97cabd6af927b6e578792b17911ada74dbace7566bf7d522a9f		copy	run-evidence		
.specula-output/spec/instrumentation-spec.md	.specula-output/spec/instrumentation-spec.md	file	0664	1777157221687538639	9434	d9b631cac682acd2261648b2f60c9cc8be937101676ebf3f2399343f5141743e		copy	run-evidence		
